cell,dataset,system,geometry,moderate_gap_kitti,scheme,split,t_cheap,t_full,n_frames,n_units,cheap_det_per_frame,cheap_precision,cheap_recall,full_det_per_frame,full_precision,full_recall,affected,harmed,harm_rate,harm_rate_lo,harm_rate_hi,rho,rho_lo,rho_hi,all_full_reduction,oracle20_reduction,exact_FN_sign_disagreement,exact_FN_n_both_nonzero,exact_FN_spearman,exact_FN_harmed_given_gain_pos,exact_FN_harmed_given_gain_pos_affected,FN_FP_sign_disagreement,FN_FP_n_both_nonzero,FN_FP_spearman,FN_FP_harmed_given_gain_pos,FN_FP_harmed_given_gain_pos_affected,E5_combined_sign_disagreement,E5_combined_n_both_nonzero,E5_combined_spearman,E5_combined_harmed_given_gain_pos,E5_combined_harmed_given_gain_pos_affected,E_risk_sign_disagreement,E_risk_n_both_nonzero,E_risk_spearman,E_risk_harmed_given_gain_pos,E_risk_harmed_given_gain_pos_affected,brake_vs_plan_both_nonzero,brake_vs_plan_opposite_sign
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S0,all,0.25,0.25,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,4.177725118483412,0.5787010777084515,0.49871685201026517,295,143,0.4847457627118644,0.3698137627708801,0.5962655216169673,0.6021266017262225,0.2996245808908872,1.07493236956548,0.09958698093321117,0.25029816359998336,0.4256410256410256,195.0,0.04625267866603725,0.05121470781352593,0.430939226519337,0.3426294820717131,251.0,0.10106808430722398,0.02857142857142857,0.3125,0.38408304498269896,289.0,0.09277260070350121,0.025139664804469275,0.32432432432432434,0.4044943820224719,178.0,0.06440217156815474,0.052152317880794705,0.40384615384615385,153.0,80.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S0,test,0.25,0.25,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,3.1905759162303666,0.6160157531998687,0.4915792042958262,62,29,0.46774193548387094,0.18419709989258862,0.7043120260021667,0.5869377957499561,0.04645704003686047,2.371528574976207,0.08206268223587822,0.1986690658005644,0.4473684210526316,38.0,0.013074500843968063,0.040983606557377046,0.45454545454545453,0.36,50.0,0.0875951032404707,0.028070175438596492,0.4,0.38333333333333336,60.0,0.08471039417014359,0.020100502512562814,0.32,0.43333333333333335,30.0,0.03861571275488724,0.04365079365079365,0.44,32.0,17.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S1,all,0.25,0.498046875,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,2.593601895734597,0.7643901324805847,0.4099230111206159,224,98,0.4375,0.34888822115384616,0.5255179888856951,0.5854868983160186,0.2935530509749819,1.029563070216519,0.08181304007724331,0.19737142142159977,0.3524590163934426,122.0,0.05609203436733006,0.028971028971028972,0.3625,0.29239766081871343,171.0,0.09614722454002995,0.02654232424677188,0.3217391304347826,0.3256880733944954,218.0,0.10307047679263648,0.02177376526818906,0.3037037037037037,0.3697478991596639,119.0,0.06148995744994146,0.0332541567695962,0.3684210526315789,120.0,58.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S1,test,0.25,0.498046875,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.095287958115183,0.7731134432783608,0.4068830851842812,60,28,0.4666666666666667,0.24673195656802213,0.6863590263691682,0.5765615681693054,0.20987377950168323,1.6485689671002823,0.08491586893222731,0.20053888015100987,0.3142857142857143,35.0,0.08086444017981748,0.0321285140562249,0.38095238095238093,0.3023255813953488,43.0,0.08781498572385225,0.02849002849002849,0.37037037037037035,0.3728813559322034,59.0,0.07874678277557115,0.026748971193415638,0.37142857142857144,0.3333333333333333,33.0,0.09343693918825369,0.045714285714285714,0.42105263157894735,30.0,21.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S2,all,0.25,0.4,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,3.0906398104265405,0.7026068621813303,0.4495580268035358,249,114,0.4578313253012048,0.3606435815504307,0.545853199358346,0.5114919999439795,0.25493803127923365,0.8583068996628903,0.10494438270394651,0.21482633384082161,0.4482758620689655,145.0,0.014449255191746274,0.04582651391162029,0.45901639344262296,0.3507853403141361,191.0,0.0697019143078563,0.033582089552238806,0.36,0.4107883817427386,241.0,0.06406677066529701,0.03297931805477921,0.39072847682119205,0.42857142857142855,140.0,0.03564386736053846,0.046,0.42201834862385323,120.0,57.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S2,test,0.25,0.4,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.4544502617801047,0.7226962457337884,0.4449597266292409,57,24,0.42105263157894735,0.20407218442932729,0.6470795360397681,0.3900696453739429,0.07132496368844275,1.3833732384666764,0.11517223224378872,0.18882849717227093,0.3888888888888889,36.0,0.02685826631731645,0.03666666666666667,0.4074074074074074,0.36363636363636365,44.0,0.0529400449452645,0.029940119760479042,0.3448275862068966,0.44642857142857145,56.0,0.03154347709366561,0.02813852813852814,0.3939393939393939,0.3870967741935484,31.0,0.062002860322990176,0.043478260869565216,0.4090909090909091,26.0,17.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S3,all,0.25,0.34,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,3.4410545023696684,0.6597228200051648,0.4695181066438551,271,124,0.4575645756457565,0.3720181654855774,0.5461563876651981,0.5295486058671101,0.29933212575967805,0.9204473981876949,0.1095016708675155,0.2327587339162703,0.4269005847953216,171.0,0.02701350168054908,0.049253731343283584,0.4370860927152318,0.36538461538461536,208.0,0.06757735812596528,0.03349282296650718,0.3559322033898305,0.41825095057034223,263.0,0.06491879478359264,0.03503562945368171,0.3881578947368421,0.40625,160.0,0.048882567519983135,0.05004633920296571,0.40601503759398494,135.0,71.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S3,test,0.25,0.34,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.6848167539267016,0.6879875195007801,0.4639980473517208,62,28,0.45161290322580644,0.25,0.6667910447761193,0.4764395922486779,0.1190682092500322,1.6272634226105334,0.10411826605451015,0.1988658128327449,0.35135135135135137,37.0,0.0508303758682915,0.03333333333333333,0.3793103448275862,0.3333333333333333,48.0,0.07598232206556998,0.024539877300613498,0.32,0.4166666666666667,60.0,0.060908353791313374,0.026905829596412557,0.375,0.3548387096774194,31.0,0.07790646252105941,0.04017857142857143,0.391304347826087,29.0,18.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S4,all,0.25,0.35,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,3.382701421800948,0.6671628721541156,0.4665526090675791,268,124,0.4626865671641791,0.370618842364532,0.542875830564784,0.5383480113587714,0.27788553718524756,0.9291714763528192,0.10569718299305389,0.2289542460418087,0.43373493975903615,166.0,0.023237329553873896,0.048982667671439335,0.4452054794520548,0.36097560975609755,205.0,0.06820605376712277,0.033123028391167195,0.35294117647058826,0.40384615384615385,260.0,0.06571370674055846,0.03430232558139535,0.38311688311688313,0.41025641025641024,156.0,0.04671329153551653,0.04953271028037383,0.4108527131782946,127.0,63.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S4,test,0.25,0.35,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.649214659685864,0.6940711462450593,0.4615572370026849,61,28,0.45901639344262296,0.26229508196721313,0.6616666666666665,0.5017650841747436,0.14400756627647784,1.6965025372810862,0.09408095039403616,0.18882849717227093,0.37142857142857144,35.0,0.03852197263547981,0.03363914373088685,0.4074074074074074,0.3333333333333333,48.0,0.07381530650917789,0.024390243902439025,0.3076923076923077,0.4067796610169492,59.0,0.05637377110484488,0.026373626373626374,0.375,0.36666666666666664,30.0,0.07058892098230249,0.04054054054054054,0.4090909090909091,26.0,17.0
