cell,t_cheap,t_full,affected,harm_rate,rho
nuScenes oracle Y8 320->640 q_brake,0.15,0.15,361,0.43213296398891965,0.6068937086584678
nuScenes oracle Y8 320->640 q_brake,0.15,0.25,339,0.39823008849557523,0.5348891704679525
nuScenes oracle Y8 320->640 q_brake,0.15,0.35,310,0.3741935483870968,0.4769037801316676
nuScenes oracle Y8 320->640 q_brake,0.15,0.45,293,0.35494880546075086,0.5251100054990713
nuScenes oracle Y8 320->640 q_brake,0.15,0.55,302,0.36423841059602646,0.6987705635583029
nuScenes oracle Y8 320->640 q_brake,0.25,0.15,330,0.5151515151515151,0.6847973525611796
nuScenes oracle Y8 320->640 q_brake,0.25,0.25,295,0.4847457627118644,0.6021266017262223
nuScenes oracle Y8 320->640 q_brake,0.25,0.35,268,0.4626865671641791,0.5383480113587714
nuScenes oracle Y8 320->640 q_brake,0.25,0.45,245,0.4448979591836735,0.5957906381177468
nuScenes oracle Y8 320->640 q_brake,0.25,0.55,213,0.4507042253521127,0.7632813017918921
nuScenes oracle Y8 320->640 q_brake,0.35,0.15,334,0.5598802395209581,0.524836500874407
nuScenes oracle Y8 320->640 q_brake,0.35,0.25,293,0.5392491467576792,0.4500338848335797
nuScenes oracle Y8 320->640 q_brake,0.35,0.35,262,0.5267175572519084,0.3942515741256888
nuScenes oracle Y8 320->640 q_brake,0.35,0.45,232,0.5086206896551724,0.410260854683659
nuScenes oracle Y8 320->640 q_brake,0.35,0.55,195,0.5282051282051282,0.45015453557514845
nuScenes oracle Y8 320->640 q_brake,0.45,0.15,362,0.5524861878453039,0.4845942329583111
nuScenes oracle Y8 320->640 q_brake,0.45,0.25,316,0.5379746835443038,0.4148152561084483
nuScenes oracle Y8 320->640 q_brake,0.45,0.35,278,0.5287769784172662,0.35794215772680016
nuScenes oracle Y8 320->640 q_brake,0.45,0.45,244,0.5122950819672131,0.34455138707042726
nuScenes oracle Y8 320->640 q_brake,0.45,0.55,195,0.5333333333333333,0.34897119749275934
nuScenes oracle Y8 320->640 q_brake,0.55,0.15,399,0.5288220551378446,0.4142954132923814
nuScenes oracle Y8 320->640 q_brake,0.55,0.25,354,0.5141242937853108,0.3549379260011534
nuScenes oracle Y8 320->640 q_brake,0.55,0.35,318,0.5031446540880503,0.3061890331707727
nuScenes oracle Y8 320->640 q_brake,0.55,0.45,285,0.48771929824561405,0.28928009055369935
nuScenes oracle Y8 320->640 q_brake,0.55,0.55,227,0.5022026431718062,0.26467147106334626
nuScenes oracle Y8 320->640 q_plan,0.15,0.15,1423,0.5101897399859452,0.8297612638836402
nuScenes oracle Y8 320->640 q_plan,0.15,0.25,1338,0.5014947683109118,0.7778342253178891
nuScenes oracle Y8 320->640 q_plan,0.15,0.35,1276,0.5007836990595611,0.7802209220947839
nuScenes oracle Y8 320->640 q_plan,0.15,0.45,1248,0.500801282051282,0.8167374512364873
nuScenes oracle Y8 320->640 q_plan,0.15,0.55,1254,0.48165869218500795,0.8404536092395978
nuScenes oracle Y8 320->640 q_plan,0.25,0.15,1347,0.5270972531551597,0.8845324316959484
nuScenes oracle Y8 320->640 q_plan,0.25,0.25,1226,0.5138662316476346,0.8244363412400275
nuScenes oracle Y8 320->640 q_plan,0.25,0.35,1137,0.5127528583992964,0.8212830124220025
nuScenes oracle Y8 320->640 q_plan,0.25,0.45,1083,0.5161588180978762,0.86102334322647
nuScenes oracle Y8 320->640 q_plan,0.25,0.55,1053,0.49572649572649574,0.883740875725525
nuScenes oracle Y8 320->640 q_plan,0.35,0.15,1364,0.5234604105571847,0.8196649529349038
nuScenes oracle Y8 320->640 q_plan,0.35,0.25,1237,0.5101050929668552,0.7514412688763802
nuScenes oracle Y8 320->640 q_plan,0.35,0.35,1135,0.4951541850220264,0.7302891323808786
nuScenes oracle Y8 320->640 q_plan,0.35,0.45,1046,0.502868068833652,0.7515897728542646
nuScenes oracle Y8 320->640 q_plan,0.35,0.55,981,0.47910295616717635,0.7614277453219792
nuScenes oracle Y8 320->640 q_plan,0.45,0.15,1412,0.5177053824362606,0.7709578058133973
nuScenes oracle Y8 320->640 q_plan,0.45,0.25,1288,0.5100931677018633,0.710704440025934
nuScenes oracle Y8 320->640 q_plan,0.45,0.35,1182,0.5,0.6809200107181824
nuScenes oracle Y8 320->640 q_plan,0.45,0.45,1078,0.5092764378478665,0.6865496666381701
nuScenes oracle Y8 320->640 q_plan,0.45,0.55,992,0.49193548387096775,0.6782672957964903
nuScenes oracle Y8 320->640 q_plan,0.55,0.15,1520,0.5125,0.6857809255618901
nuScenes oracle Y8 320->640 q_plan,0.55,0.25,1408,0.5078125,0.6284992014662288
nuScenes oracle Y8 320->640 q_plan,0.55,0.35,1322,0.5,0.5985240087340613
nuScenes oracle Y8 320->640 q_plan,0.55,0.45,1228,0.505700325732899,0.5916630819201816
nuScenes oracle Y8 320->640 q_plan,0.55,0.55,1124,0.5,0.5685998095219905
nuScenes mono Y8 320->640 q_brake,0.15,0.15,549,0.42805100182149364,0.5280636421197203
nuScenes mono Y8 320->640 q_brake,0.15,0.25,520,0.3903846153846154,0.44947336231419255
nuScenes mono Y8 320->640 q_brake,0.15,0.35,482,0.3506224066390041,0.3825707308746099
nuScenes mono Y8 320->640 q_brake,0.15,0.45,454,0.32599118942731276,0.3614727839235249
nuScenes mono Y8 320->640 q_brake,0.15,0.55,460,0.3173913043478261,0.3812782135799883
nuScenes mono Y8 320->640 q_brake,0.25,0.15,521,0.4932821497120921,0.6257619771926543
nuScenes mono Y8 320->640 q_brake,0.25,0.25,486,0.4547325102880658,0.5354762833963242
nuScenes mono Y8 320->640 q_brake,0.25,0.35,448,0.421875,0.45519784354158327
nuScenes mono Y8 320->640 q_brake,0.25,0.45,419,0.39618138424821003,0.432066138555296
nuScenes mono Y8 320->640 q_brake,0.25,0.55,396,0.37626262626262624,0.42501211804987177
nuScenes mono Y8 320->640 q_brake,0.35,0.15,503,0.5447316103379721,0.6803616249318903
nuScenes mono Y8 320->640 q_brake,0.35,0.25,465,0.5096774193548387,0.5855529507927418
nuScenes mono Y8 320->640 q_brake,0.35,0.35,420,0.4785714285714286,0.5000327344297041
nuScenes mono Y8 320->640 q_brake,0.35,0.45,387,0.45478036175710596,0.46926324289263893
nuScenes mono Y8 320->640 q_brake,0.35,0.55,352,0.4318181818181818,0.44454008605615064
nuScenes mono Y8 320->640 q_brake,0.45,0.15,512,0.583984375,0.7452224868656442
nuScenes mono Y8 320->640 q_brake,0.45,0.25,471,0.5562632696390658,0.6450064210129388
nuScenes mono Y8 320->640 q_brake,0.45,0.35,426,0.5305164319248826,0.5590062282683255
nuScenes mono Y8 320->640 q_brake,0.45,0.45,391,0.5115089514066496,0.5279145226183077
nuScenes mono Y8 320->640 q_brake,0.45,0.55,333,0.4954954954954955,0.495536589629979
nuScenes mono Y8 320->640 q_brake,0.55,0.15,520,0.5923076923076923,0.7381086274964608
nuScenes mono Y8 320->640 q_brake,0.55,0.25,478,0.5648535564853556,0.6421828836585659
nuScenes mono Y8 320->640 q_brake,0.55,0.35,434,0.5391705069124424,0.5621855097475731
nuScenes mono Y8 320->640 q_brake,0.55,0.45,397,0.5239294710327456,0.5315198398575525
nuScenes mono Y8 320->640 q_brake,0.55,0.55,337,0.516320474777448,0.4973870306784676
nuScenes mono Y8 320->640 q_plan,0.15,0.15,1655,0.5178247734138973,0.8383048316205245
nuScenes mono Y8 320->640 q_plan,0.15,0.25,1604,0.513715710723192,0.7636904513287124
nuScenes mono Y8 320->640 q_plan,0.15,0.35,1561,0.5060858424087123,0.7205902121185097
nuScenes mono Y8 320->640 q_plan,0.15,0.45,1537,0.5113858165256994,0.7522360826658697
nuScenes mono Y8 320->640 q_plan,0.15,0.55,1526,0.5144167758846658,0.8656721831541584
nuScenes mono Y8 320->640 q_plan,0.25,0.15,1605,0.518380062305296,0.8132184051701089
nuScenes mono Y8 320->640 q_plan,0.25,0.25,1531,0.5160026126714565,0.7221234271707488
nuScenes mono Y8 320->640 q_plan,0.25,0.35,1477,0.5077860528097495,0.6683386652311136
nuScenes mono Y8 320->640 q_plan,0.25,0.45,1448,0.5117403314917127,0.68749398085307
nuScenes mono Y8 320->640 q_plan,0.25,0.55,1418,0.5070521861777151,0.8082111431175849
nuScenes mono Y8 320->640 q_plan,0.35,0.15,1605,0.5208722741433022,0.8045051056890999
nuScenes mono Y8 320->640 q_plan,0.35,0.25,1519,0.5207373271889401,0.7132509936365642
nuScenes mono Y8 320->640 q_plan,0.35,0.35,1470,0.5102040816326531,0.653265417169365
nuScenes mono Y8 320->640 q_plan,0.35,0.45,1427,0.5178696566222845,0.6628929201467836
nuScenes mono Y8 320->640 q_plan,0.35,0.55,1385,0.5104693140794224,0.7742389008543252
nuScenes mono Y8 320->640 q_plan,0.45,0.15,1618,0.5098887515451175,0.8132819234002358
nuScenes mono Y8 320->640 q_plan,0.45,0.25,1534,0.5078226857887875,0.7310990793159359
nuScenes mono Y8 320->640 q_plan,0.45,0.35,1479,0.49898580121703856,0.6705584669456275
nuScenes mono Y8 320->640 q_plan,0.45,0.45,1436,0.5055710306406686,0.6719405086610893
nuScenes mono Y8 320->640 q_plan,0.45,0.55,1379,0.5003625815808557,0.7767424630176457
nuScenes mono Y8 320->640 q_plan,0.55,0.15,1649,0.5003032140691328,0.7242447244793209
nuScenes mono Y8 320->640 q_plan,0.55,0.25,1570,0.49936305732484076,0.6579694685087727
nuScenes mono Y8 320->640 q_plan,0.55,0.35,1513,0.4910773298083278,0.6101761899946708
nuScenes mono Y8 320->640 q_plan,0.55,0.45,1463,0.48872180451127817,0.6012573343808495
nuScenes mono Y8 320->640 q_plan,0.55,0.55,1396,0.4835243553008596,0.6534187293328986
KITTI mono Y8 320->640 q_traj,0.15,0.15,1380,0.3855072463768116,0.13373425734616892
KITTI mono Y8 320->640 q_traj,0.15,0.25,1317,0.3447228549734245,0.12516000757413648
KITTI mono Y8 320->640 q_traj,0.15,0.35,1292,0.32894736842105265,0.12062161197033724
KITTI mono Y8 320->640 q_traj,0.15,0.45,1269,0.3207249802994484,0.1413010830915932
KITTI mono Y8 320->640 q_traj,0.15,0.55,1262,0.3232963549920761,0.21684742794973402
KITTI mono Y8 320->640 q_traj,0.25,0.15,1424,0.3925561797752809,0.06326383619654576
KITTI mono Y8 320->640 q_traj,0.25,0.25,1355,0.35202952029520296,0.06219486441839134
KITTI mono Y8 320->640 q_traj,0.25,0.35,1325,0.3350943396226415,0.05906136070620276
KITTI mono Y8 320->640 q_traj,0.25,0.45,1301,0.32436587240584164,0.06715359564384979
KITTI mono Y8 320->640 q_traj,0.25,0.55,1283,0.323460639127046,0.09988702388352985
KITTI mono Y8 320->640 q_traj,0.35,0.15,1481,0.3916272788656313,0.032722448722829194
KITTI mono Y8 320->640 q_traj,0.35,0.25,1410,0.350354609929078,0.03205971145518963
KITTI mono Y8 320->640 q_traj,0.35,0.35,1377,0.3333333333333333,0.03141944659837741
KITTI mono Y8 320->640 q_traj,0.35,0.45,1349,0.32320237212750186,0.0363472198980099
KITTI mono Y8 320->640 q_traj,0.35,0.55,1304,0.3159509202453988,0.04924834373075933
KITTI mono Y8 320->640 q_traj,0.45,0.15,1607,0.37336652146857496,0.018151307436304578
KITTI mono Y8 320->640 q_traj,0.45,0.25,1538,0.3342002600780234,0.017685558987125663
KITTI mono Y8 320->640 q_traj,0.45,0.35,1505,0.31827242524916943,0.017211557078086328
KITTI mono Y8 320->640 q_traj,0.45,0.45,1476,0.30826558265582654,0.020611139446301052
KITTI mono Y8 320->640 q_traj,0.45,0.55,1420,0.2992957746478873,0.02816858223240737
KITTI mono Y8 320->640 q_traj,0.55,0.15,1735,0.3636887608069164,0.011268509948291682
KITTI mono Y8 320->640 q_traj,0.55,0.25,1654,0.32769044740024184,0.010839981265010038
KITTI mono Y8 320->640 q_traj,0.55,0.35,1621,0.3133867982726712,0.01046878667489255
KITTI mono Y8 320->640 q_traj,0.55,0.45,1587,0.30245746691871456,0.010524558701070351
KITTI mono Y8 320->640 q_traj,0.55,0.55,1533,0.29354207436399216,0.01515276052126631
KITTI mono Y8 320->640 q_brake,0.15,0.15,3206,0.425764192139738,0.31034307309696013
KITTI mono Y8 320->640 q_brake,0.15,0.25,3020,0.38741721854304634,0.2684401082705113
KITTI mono Y8 320->640 q_brake,0.15,0.35,2883,0.353451266042317,0.2498888838055204
KITTI mono Y8 320->640 q_brake,0.15,0.45,2738,0.3162892622352082,0.22964036502980573
