log,split,n_scenarios,cam_f0_width,cam_f0_height,cam_f0_images_log,cam_f0_images_scenario_windows,log_duration_s,example_blob_path
2021.05.12.22.00.38_veh-35_01008_01518,val,3,1920,1080,5100,660,509.899981,2021.05.12.22.00.38_veh-35_01008_01518/CAM_F0/ed564f55883d50d3.jpg
2021.05.12.22.28.35_veh-35_00620_01164,val,1,1920,1080,5440,219,543.900182,2021.05.12.22.28.35_veh-35_00620_01164/CAM_F0/5cb0541fc5ce5e13.jpg
2021.05.12.23.36.44_veh-35_00152_00504,test,2,1920,1080,3520,329,351.899824,2021.05.12.23.36.44_veh-35_00152_00504/CAM_F0/132cff13bff754fa.jpg
2021.05.12.23.36.44_veh-35_01133_01535,test,1,1920,1080,4020,220,401.899828,2021.05.12.23.36.44_veh-35_01133_01535/CAM_F0/c4d1ab5e4d935dba.jpg
2021.05.12.23.36.44_veh-35_02035_02387,test,1,1920,1080,3520,220,351.900235,2021.05.12.23.36.44_veh-35_02035_02387/CAM_F0/a0d72e79cda455b5.jpg
2021.05.25.14.16.10_veh-35_01690_02183,train,2,1920,1080,4930,440,492.900154,2021.05.25.14.16.10_veh-35_01690_02183/CAM_F0/14fffca1394c537d.jpg
2021.06.03.12.02.06_veh-35_00233_00609,train,1,1920,1080,3760,220,375.899911,2021.06.03.12.02.06_veh-35_00233_00609/CAM_F0/5c29922330215b9e.jpg
2021.06.03.13.55.17_veh-35_00073_00426,train,2,1920,1080,3530,440,352.899715,2021.06.03.13.55.17_veh-35_00073_00426/CAM_F0/39c46d2d3a7b5767.jpg
2021.06.07.12.54.00_veh-35_01843_02314,train,2,1920,1080,4710,440,470.900037,2021.06.07.12.54.00_veh-35_01843_02314/CAM_F0/be1d8de44f355742.jpg
2021.06.08.16.31.33_veh-38_01589_02072,train,3,1920,1080,4830,659,482.899739,2021.06.08.16.31.33_veh-38_01589_02072/CAM_F0/ba3acf083b1952be.jpg
2021.06.09.12.39.51_veh-26_05620_06003,val,2,1920,1080,3830,438,382.900157,2021.06.09.12.39.51_veh-26_05620_06003/CAM_F0/2ffedfad346d5627.jpg
2021.06.09.14.03.17_veh-12_02584_02970,val,3,1920,1080,3860,660,385.899914,2021.06.09.14.03.17_veh-12_02584_02970/CAM_F0/da186257700158d5.jpg
2021.06.09.14.58.55_veh-35_01894_02311,test,2,1920,1080,4170,440,416.899862,2021.06.09.14.58.55_veh-35_01894_02311/CAM_F0/001e7dbab0545ca6.jpg
2021.06.09.17.23.18_veh-38_02526_03027,test,1,1920,1080,5010,220,500.899904,2021.06.09.17.23.18_veh-38_02526_03027/CAM_F0/e401c1aaa7cb5994.jpg
