scenario,log,iteration,planner,n_tracks_cheap,shared_cheap,collision_cheap,min_clearance_cheap,log_deviation_mean_cheap,log_deviation_final_cheap,ok_cheap,n_tracks_full,shared_full,collision_full,min_clearance_full,log_deviation_mean_full,log_deviation_final_full,ok_full,n_tracks_cheap_nofp,shared_cheap_nofp,collision_cheap_nofp,min_clearance_cheap_nofp,log_deviation_mean_cheap_nofp,log_deviation_final_cheap_nofp,ok_cheap_nofp,n_tracks_full_nofp,shared_full_nofp,collision_full_nofp,min_clearance_full_nofp,log_deviation_mean_full_nofp,log_deviation_final_full_nofp,ok_full_nofp,n_tracks_full_s1,shared_full_s1,collision_full_s1,min_clearance_full_s1,log_deviation_mean_full_s1,log_deviation_final_full_s1,ok_full_s1,n_tracks_cheap_iou50,shared_cheap_iou50,collision_cheap_iou50,min_clearance_cheap_iou50,log_deviation_mean_cheap_iou50,log_deviation_final_cheap_iou50,ok_cheap_iou50,n_tracks_full_iou50,shared_full_iou50,collision_full_iou50,min_clearance_full_iou50,log_deviation_mean_full_iou50,log_deviation_final_full_iou50,ok_full_iou50,sig_reference,n_tracks_reference,collision_reference,min_clearance_reference,log_deviation_mean_reference,log_deviation_final_reference,ok_reference,sig_identity_equals_reference
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,4,idm,124,,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1,128,,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1,124,,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1,126,,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1,125,,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1,123,,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1,128,,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1,b9d13c68ffccea3b41cb76a1bdcc2d794d768c8f,150,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,17,idm,122,,0.0,8.994951436877015,58.68348020246428,58.68284818565253,1,126,,0.0,8.994951436877015,58.68348020246428,58.68284818565253,1,121,,0.0,8.994951436877015,58.68348020246428,58.68284818565253,1,125,,0.0,8.994951436877015,58.68348020246428,58.68284818565253,1,121,,0.0,8.994951436877015,58.68348020246428,58.68284818565253,1,122,,0.0,8.994951436877015,58.68348020246428,58.68284818565253,1,125,,0.0,8.994951436877015,58.68348020246428,58.68284818565253,1,e13a866047855a65d1c9ab67db5d7a86ec7106dc,150,0.0,8.994951436877015,58.68348020246428,58.68284818565253,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,30,idm,121,,0.0,8.994407074393873,58.68353388395234,58.682937042212515,1,124,,0.0,8.994407074393873,58.68353388395234,58.682937042212515,1,119,,0.0,8.994407074393873,58.68353388395234,58.682937042212515,1,122,,0.0,8.994407074393873,58.68353388395234,58.682937042212515,1,121,,0.0,8.994407074393873,58.68353388395234,58.682937042212515,1,121,,0.0,8.994407074393873,58.68353388395234,58.682937042212515,1,124,,0.0,8.994407074393873,58.68353388395234,58.682937042212515,1,acde2e5ed5abae276555905e970f44ffd13b5ef2,149,0.0,8.994407074393873,58.68353388395234,58.682937042212515,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,43,idm,122,,0.0,9.007169595970172,58.68351232855636,58.68295488526293,1,127,,0.0,9.007169595970172,58.68351232855636,58.68295488526293,1,122,cheap,0.0,9.007169595970172,58.68351232855636,58.68295488526293,1,125,,0.0,9.007169595970172,58.68351232855636,58.68295488526293,1,122,,0.0,9.007169595970172,58.68351232855636,58.68295488526293,1,120,,0.0,9.007169595970172,58.68351232855636,58.68295488526293,1,127,,0.0,9.007169595970172,58.68351232855636,58.68295488526293,1,384f7320f75b1ddbdd7aa63b1bd0787af322f067,152,0.0,9.007169595970172,58.68351232855636,58.68295488526293,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,57,idm,132,,0.0,9.017457649728502,58.6835604524454,58.6830106613536,1,137,,0.0,9.017457649728502,58.6835604524454,58.6830106613536,1,129,,0.0,9.017457649728502,58.6835604524454,58.6830106613536,1,132,,0.0,9.017457649728502,58.6835604524454,58.6830106613536,1,130,,0.0,9.017457649728502,58.6835604524454,58.6830106613536,1,131,,0.0,9.017457649728502,58.6835604524454,58.6830106613536,1,135,,0.0,9.017457649728502,58.6835604524454,58.6830106613536,1,7f4e5bfa84371bc23ce06abc7393243c0b4af9c2,159,0.0,9.017457649728502,58.6835604524454,58.6830106613536,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,70,idm,127,,0.0,8.975665261201643,58.68281219887622,58.676685433746464,1,133,,0.0,8.975665261201643,58.68281219887622,58.676685433746464,1,126,,0.0,8.975665261201643,58.68281219887622,58.676685433746464,1,131,,0.0,8.975665261201643,58.68281219887622,58.676685433746464,1,126,,0.0,8.975665261201643,58.68281219887622,58.676685433746464,1,125,,0.0,8.975665261201643,58.68281219887622,58.676685433746464,1,131,,0.0,8.975665261201643,58.68281219887622,58.676685433746464,1,ab15d6c886bb96c9317087d813d6d5d7dbb775e6,155,0.0,8.975665261201643,58.68281219887622,58.676685433746464,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,83,idm,126,,0.0,8.974546710057146,58.667866189408784,58.5682545768505,1,127,,0.0,8.974546710057146,58.667866189408784,58.5682545768505,1,125,,0.0,8.974546710057146,58.667866189408784,58.5682545768505,1,126,,0.0,8.974546710057146,58.667866189408784,58.5682545768505,1,123,,0.0,8.974546710057146,58.667866189408784,58.5682545768505,1,124,,0.0,8.974546710057146,58.667866189408784,58.5682545768505,1,126,,0.0,8.974546710057146,58.667866189408784,58.5682545768505,1,3e319d904817053a9752f9455d9ca9181ba0cb43,154,0.0,8.974546710057146,58.667866189408784,58.5682545768505,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,96,idm,121,,0.0,8.888750040817756,58.54183070399647,57.78295562739817,1,123,,0.0,8.888750040817756,58.54183070399647,57.78295562739817,1,120,,0.0,8.888750040817756,58.54183070399647,57.78295562739817,1,122,,0.0,8.888750040817756,58.54183070399647,57.78295562739817,1,119,,0.0,8.888750040817756,58.54183070399647,57.78295562739817,1,119,,0.0,8.888750040817756,58.54183070399647,57.78295562739817,1,122,,0.0,8.888750040817756,58.54183070399647,57.78295562739817,1,25039243308894c2717f57997404ad515b52520e,151,0.0,8.888750040817756,58.54183070399647,57.78295562739817,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,110,idm,119,,0.0,8.938263619588874,58.10066829943648,55.84181942748596,1,125,,0.0,8.938263619588874,58.10066829943648,55.84181942748596,1,118,,0.0,8.938263619588874,58.10066829943648,55.84181942748596,1,124,,0.0,8.938263619588874,58.10066829943648,55.84181942748596,1,120,,0.0,8.938263619588874,58.10066829943648,55.84181942748596,1,118,,0.0,8.938263619588874,58.10066829943648,55.84181942748596,1,124,,0.0,8.938263619588874,58.10066829943648,55.84181942748596,1,60188f7b4c5044aafc2cabc83b9728575dbcbb7a,148,0.0,8.938263619588874,58.10066829943648,55.84181942748596,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,123,idm,124,,0.0,8.871313287384876,57.24997314364585,53.10685429335127,1,125,,0.0,8.871313287384876,57.24997314364585,53.10685429335127,1,123,,0.0,8.871313287384876,57.24997314364585,53.10685429335127,1,125,full,0.0,8.871313287384876,57.24997314364585,53.10685429335127,1,123,,0.0,8.871313287384876,57.24997314364585,53.10685429335127,1,122,,0.0,8.871313287384876,57.24997314364585,53.10685429335127,1,124,,0.0,8.871313287384876,57.24997314364585,53.10685429335127,1,7d1eba1a5bf7f11eaab6a9be217545883e6ffa72,150,0.0,8.871313287384876,57.24997314364585,53.10685429335127,1,True
