scenario,log,iteration,planner,n_tracks,n_tracks_reference,collision_reference,min_clearance_reference,log_deviation_mean_reference,log_deviation_final_reference,ok_reference,n_tracks_cheap,collision_cheap,min_clearance_cheap,log_deviation_mean_cheap,log_deviation_final_cheap,ok_cheap,n_tracks_full,collision_full,min_clearance_full,log_deviation_mean_full,log_deviation_final_full,ok_full
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,4,idm,150,150,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1,128,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1,141,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,17,idm,150,150,0.0,8.994951436877015,58.68348020246428,58.68284818565253,1,127,0.0,8.994951436877015,58.68348020246428,58.68284818565253,1,142,0.0,8.994951436877015,58.68348020246428,58.68284818565253,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,30,idm,149,149,0.0,8.994407074393873,58.68353388395234,58.682937042212515,1,125,0.0,8.994407074393873,58.68353388395234,58.682937042212515,1,135,0.0,8.994407074393873,58.68353388395234,58.682937042212515,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,43,idm,152,152,0.0,9.007169595970172,58.68351232855636,58.68295488526293,1,126,0.0,9.007169595970172,58.68351232855636,58.68295488526293,1,137,0.0,9.007169595970172,58.68351232855636,58.68295488526293,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,57,idm,159,159,0.0,9.017457649728502,58.6835604524454,58.6830106613536,1,139,0.0,9.017457649728502,58.6835604524454,58.6830106613536,1,146,0.0,9.017457649728502,58.6835604524454,58.6830106613536,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,70,idm,155,155,0.0,8.975665261201643,58.68281219887622,58.676685433746464,1,135,0.0,8.975665261201643,58.68281219887622,58.676685433746464,1,144,0.0,8.975665261201643,58.68281219887622,58.676685433746464,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,83,idm,154,154,0.0,8.974546710057146,58.667866189408784,58.5682545768505,1,130,0.0,8.974546710057146,58.667866189408784,58.5682545768505,1,137,0.0,8.974546710057146,58.667866189408784,58.5682545768505,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,96,idm,151,151,0.0,8.888750040817756,58.54183070399647,57.78295562739817,1,130,0.0,8.888750040817756,58.54183070399647,57.78295562739817,1,144,0.0,8.888750040817756,58.54183070399647,57.78295562739817,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,110,idm,148,148,0.0,8.938263619588874,58.10066829943648,55.84181942748596,1,126,0.0,8.938263619588874,58.10066829943648,55.84181942748596,1,134,0.0,8.938263619588874,58.10066829943648,55.84181942748596,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,123,idm,150,150,0.0,8.871313287384876,57.24997314364585,53.10685429335127,1,130,0.0,8.871313287384876,57.24997314364585,53.10685429335127,1,140,0.0,8.871313287384876,57.24997314364585,53.10685429335127,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,136,idm,152,152,0.0,8.887857040869989,55.89231565108741,49.95114167401479,1,129,0.0,8.887857040869989,55.89231565108741,49.95114167401479,1,140,0.0,8.887857040869989,55.89231565108741,49.95114167401479,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,149,idm,163,163,0.0,8.915964308005643,54.00381403432532,46.69879895232711,1,141,0.0,8.915964308005643,54.00381403432532,46.69879895232711,1,152,0.0,8.915964308005643,54.00381403432532,46.69879895232711,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,163,idm,178,178,0.0,8.871696373760047,51.35635748510015,42.963141383188756,1,159,0.0,8.871696373760047,51.35635748510015,42.963141383188756,1,169,0.0,8.871696373760047,51.35635748510015,42.963141383188756,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,176,idm,190,190,0.0,9.404057457755211,48.36788097108653,39.06978595594508,1,167,0.0,9.404057457755211,48.36788097108653,39.06978595594508,1,179,0.0,9.404057457755211,48.36788097108653,39.06978595594508,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,189,idm,202,202,0.0,8.315501161325837,45.080386656894994,35.10918355344827,1,185,0.0,8.315501161325837,45.080386656894994,35.10918355344827,1,194,0.0,8.315501161325837,45.080386656894994,35.10918355344827,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,202,idm,213,213,0.0,6.723381806967057,41.61977082846214,31.027838811667497,1,202,0.0,6.723381806967057,41.61977082846214,31.027838811667497,1,206,0.0,6.723381806967057,41.61977082846214,31.027838811667497,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,216,idm,222,222,0.0,6.408891242835367,37.5341616158677,26.28319069889185,1,207,0.0,6.408891242835367,37.5341616158677,26.28319069889185,1,213,0.0,6.408891242835367,37.5341616158677,26.28319069889185,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,229,idm,237,237,0.0,6.427757589448307,33.50498377123542,21.795759786916058,1,221,0.0,6.427757589448307,33.50498377123542,21.795759786916058,1,226,0.0,6.427757589448307,33.50498377123542,21.795759786916058,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,242,idm,274,274,0.0,5.557521351094022,29.393574165826305,17.42538920479377,1,262,0.0,5.557521351094022,29.393574165826305,17.42538920479377,1,267,0.0,5.557521351094022,29.393574165826305,17.42538920479377,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,255,idm,295,295,0.0,4.822196971916167,25.135130440067257,13.140700594233337,1,285,0.0,4.822196971916167,25.135130440067257,13.140700594233337,1,287,0.0,4.822196971916167,25.135130440067257,13.140700594233337,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,269,idm,298,298,0.0,4.6064421943948455,20.413665682886442,8.677806027336377,1,287,0.0,4.6064421943948455,20.413665682886442,8.677806027336377,1,293,0.0,4.6064421943948455,20.413665682886442,8.677806027336377,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,282,idm,300,300,0.0,4.886819852627386,16.182761404820265,5.0209742394891075,1,290,0.0,4.886819852627386,16.182761404820265,5.0209742394891075,1,293,0.0,4.886819852627386,16.182761404820265,5.0209742394891075,1
