planner,cost,n_states,v_pos,v_zero,v_neg,harmful_among_affected,all_cheap_cost,all_full_cost,all_full_reduction,oracle10_reduction,oracle20_reduction,oracle30_reduction,oracle50_reduction,oracle20_beats_all_full,selective_extra_share
idm,collision,1440,14,1421,5,0.2631578947368421,220.0,211.0,0.04090909090909091,0.06363636363636363,0.06363636363636363,0.06363636363636363,0.06363636363636363,True,0.3571428571428571
pdm_closed,collision,1440,27,1405,8,0.22857142857142856,108.0,89.0,0.17592592592592593,0.25,0.25,0.25,0.25,True,0.2962962962962963
idm,clearance_shortfall,1440,24,1405,11,0.3142857142857143,285.491477445788,277.5504386969458,0.027815326817768687,0.04732829935478005,0.04732829935478005,0.04732829935478005,0.04732829935478005,True,0.4122897463680067
pdm_closed,clearance_shortfall,1440,44,1370,26,0.37142857142857144,261.3654065074318,243.62555649154166,0.06787374906627416,0.10416517663910842,0.10416517663910842,0.10416517663910842,0.10416517663910842,True,0.348402688343436
idm,log_deviation,1440,56,1344,40,0.4166666666666667,26205.384762259193,26178.94090659491,0.0010091000725303595,0.0024889291594698583,0.0024889291594698583,0.0024889291594698583,0.0024889291594698583,True,0.5945645665763755
pdm_closed,log_deviation,1440,122,1265,53,0.3028571428571429,3575.934477898384,3439.666654183354,0.038106912908291435,0.04912633891881369,0.04912633891881369,0.04912633891881369,0.04912633891881369,True,0.22430790189215985
idm,safety,1440,24,1405,11,0.3142857142857143,2628.237216168682,2526.3256580454185,0.03877563162727959,0.060979175766835696,0.060979175766835696,0.060979175766835696,0.060979175766835696,True,0.3641168293985336
pdm_closed,safety,1440,44,1370,26,0.37142857142857144,1472.0481097611478,1255.4383347373125,0.147148570476397,0.21116005553292316,0.21116005553292316,0.21116005553292316,0.21116005553292316,True,0.3031420165853563
idm,scalar_J,1440,57,1344,39,0.40625,5248.775692394602,5144.21974870491,0.019920063233258754,0.03166797899269372,0.03166797899269372,0.03166797899269372,0.03166797899269372,True,0.3709714397039794
pdm_closed,scalar_J,1440,122,1265,53,0.3028571428571429,1829.6415575509864,1599.405000155648,0.12583697415766773,0.17896367397165572,0.17896367397165572,0.17896367397165572,0.17896367397165572,True,0.29685744953136245
