group,track,geometry,trained_for,evaluated_on,diagonal,signal,quota,coverage,n_test_frames,n_test_units,gain,gain_random,delta_vs_random,gain_share_all_cheap,ndg,official_ndg,matches_3dp,undefined_reason,ndg_diag,transfer_regret,delta_lo_all_draws,delta_hi_all_draws,beats_random_all_draws,delta_lo_filtered,beats_random_filtered,draws_dropped_by_filter,delta_share_lo_all_draws,n_entries,median_transfer_regret,off_diag_beating_random_all_draws,off_diag_beating_random_filtered,diag_beating_random_all_draws,n_diag_entries
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_ridge,0.1,1.0,3536.0,6.0,69.59410700535652,80.83086618948832,-11.236759184131799,0.008746505964985402,0.03404858335391997,0.0340485833539199,True,,0.03404858335391997,0.0,-182.57207303395032,351.5917341859878,False,-182.57207303395032,False,1.0,-0.02294544458639708,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_ridge,0.2,1.0,3536.0,6.0,346.5465620059353,161.43339659878035,185.11316540715495,0.04355356656127222,0.14930733082883615,0.1493073308288361,True,,0.14930733082883615,0.0,-210.2085386305127,356.8965974587946,False,-211.5140976473005,False,4.0,-0.026418763256508642,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_ridge,0.3,1.0,3536.0,6.0,541.0585654680157,242.26426278826864,298.79430267974703,0.06799960763787374,0.2328304911763842,0.2328304911763842,True,,0.2328304911763842,0.0,-159.51084510732457,446.72515679008023,False,-159.67912914182398,False,4.0,-0.020047136435038873,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_ridge,0.5,1.0,3536.0,6.0,372.72917722598197,403.697659387049,-30.968482161067016,0.0468441670166158,0.16039431393943074,0.1603943139394307,True,,0.16039431393943074,0.0,-292.70949645939197,403.2380792298216,False,-292.70949645939197,False,4.0,-0.03678738713599548,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_gbm,0.1,1.0,3536.0,6.0,122.90031351380988,80.83086618948832,42.06944732432156,0.01544596764729487,0.060128389442166044,0.060128389442166,True,,0.060128389442166044,0.0,-125.64161225146772,354.89386627574265,False,-125.6674440558737,False,1.0,-0.015790490866177266,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_gbm,0.2,1.0,3536.0,6.0,263.24607802484263,161.43339659878035,101.81268142606228,0.033084459170172,0.11341785944589929,0.1134178594458992,True,,0.11341785944589929,0.0,-168.4363805212307,644.219666440775,False,-168.4363805212307,False,4.0,-0.02116888728575975,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_gbm,0.3,1.0,3536.0,6.0,528.8429364557508,242.26426278826864,286.5786736674821,0.06646436167209678,0.22757381272329674,0.2275738127232967,True,,0.22757381272329674,0.0,-118.78922550844625,827.8821061498959,False,-120.75426623037043,False,4.0,-0.014929290915474383,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_gbm,0.5,1.0,3536.0,6.0,850.9843108775558,403.697659387049,447.2866514905068,0.1069507128042702,0.3661989805366657,0.3661989805366657,True,,0.3661989805366657,0.0,140.1403127583475,839.7906375614546,True,140.49436787551477,True,4.0,0.017612670586914257,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_reg,0.1,1.0,3536.0,6.0,149.56204226041922,80.83086618948832,68.7311760709309,0.018796782530243115,0.0731725124671035,0.0731725124671035,True,,0.0731725124671035,0.0,-24.801746160812055,418.68222770596117,False,-24.801746160812055,False,1.0,-0.003117054447166049,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_reg,0.2,1.0,3536.0,6.0,404.81879922595425,161.43339659878035,243.3854026271739,0.05087715317470073,0.17441354498483397,0.1744135449848339,True,,0.17441354498483397,0.0,8.115746365396433,688.8649297148647,True,8.115746365396433,True,4.0,0.001019977510305362,,,,,,
