archive,url,source,size,login_required,range_supported,logs_covered,needed_images,needed_bytes
nuPlan download page (archive index),https://www.nuscenes.org/nuplan#download,third_party/nuplan_devkit/docs/dataset_setup.md (official devkit docs: account + Terms of Use; archives visible after logging in),,True,unknown,n/a,"test 9 logs: 3320 scenario-window / 37000 whole-log CAM_F0 images; all 34 logs: 12921 / 144939",Task 3 estimate at 212 KB/image: 0.70 / 7.8 GB (test) and 2.7 / 30.7 GB (all 34)
v1.1 Mini Sensors Metadata,unknown (link not yet provided),official download page as transcribed by the user in chat 2026-09-14,0.00 GB (as displayed),True,unknown,unknown (likely the log-to-shard index),n/a,n/a
v1.1 Mini Sensors Camera 0,unknown (link not yet provided),official download page as transcribed by the user in chat 2026-09-14,48.63 GB,True,unknown,unknown,unknown,unknown
v1.1 Mini Sensors Camera 1,unknown (link not yet provided),official download page as transcribed by the user in chat 2026-09-14,50.48 GB,True,unknown,unknown,unknown,unknown
v1.1 Mini Sensors Camera 2,unknown (link not yet provided),official download page as transcribed by the user in chat 2026-09-14,46.53 GB,True,unknown,unknown,unknown,unknown
v1.1 Mini Sensors Camera 3,unknown (link not yet provided),official download page as transcribed by the user in chat 2026-09-14,46.51 GB,True,unknown,unknown,unknown,unknown
v1.1 Mini Sensors Camera 4,unknown (link not yet provided),official download page as transcribed by the user in chat 2026-09-14,45.78 GB,True,unknown,unknown,unknown,unknown
v1.1 Mini Sensors Camera 5,unknown (link not yet provided),official download page as transcribed by the user in chat 2026-09-14,47.30 GB,True,unknown,unknown,unknown,unknown
v1.1 Mini Sensors Camera 6,unknown (link not yet provided),official download page as transcribed by the user in chat 2026-09-14,46.47 GB,True,unknown,unknown,unknown,unknown
v1.1 Mini Sensors Camera 7,unknown (link not yet provided),official download page as transcribed by the user in chat 2026-09-14,45.95 GB,True,unknown,unknown,unknown,unknown
v1.1 Mini Sensors Camera 8,unknown (link not yet provided),official download page as transcribed by the user in chat 2026-09-14,42.06 GB,True,unknown,unknown,unknown,unknown
