min_height_10px,category,band_m,n_nuplan,recall_320_iou30,recall_640_iou30,recall_320_iou50,recall_640_iou50,p_640_given_320_iou30,share_320_hit_640_miss_iou30,transported_pred_320,transported_pred_640,n_kitti,kitti_recall_320,kitti_recall_640
False,all,all,26611,0.2932621848107925,0.4154297095186201,0.23644357596482657,0.3204314005486453,0.935545873910815,0.018901957836984704,0.20368954929433103,0.5398106410236345,46469,0.47463900664959435,0.7171447631754503
False,all,"[0.0, 10.0)",1107,0.6467931345980127,0.6476964769647696,0.4932249322493225,0.4986449864498645,0.9594972067039106,0.026196928635953028,0.882703891316194,0.9180273261901735,8252,0.8087736306349976,0.8477944740668929
False,all,"[10.0, 20.0)",3098,0.6113621691413815,0.6778566817301485,0.48321497740477726,0.5171078114912847,0.9683210137275607,0.019367333763718526,0.6702000624599103,0.8222734705068295,12984,0.6233826247689463,0.7843499691928527
False,all,"[20.0, 30.0)",4111,0.42520068109948916,0.519095110678667,0.3412794940403795,0.39114570664072,0.9262013729977117,0.031379226465580154,0.34930039911839966,0.6815660356537421,10395,0.42674362674362676,0.7037999037999038
False,all,"[30.0, 40.0)",3725,0.31221476510067114,0.4491275167785235,0.2716778523489933,0.35570469798657717,0.9320722269991402,0.021208053691275167,0.14896211254441957,0.5774040579633678,6495,0.35211701308699,0.6526558891454965
False,all,"[40.0, 60.0)",7597,0.21653284191128078,0.35237593787021193,0.18204554429380018,0.2697117283138081,0.9264437689969605,0.015927339739370803,0.04091337511753575,0.4650191732281066,6196,0.08408650742414461,0.6121691413815364
False,all,"[60.0, inf)",6973,0.09149576939624265,0.2515416606912376,0.06467804388355083,0.19948372293130648,0.8667711598746082,0.012189875233041733,0.009360802281943246,0.33210135652620887,2080,0.0057692307692307696,0.36682692307692305
False,vehicle,all,14625,0.4687179487179487,0.6172307692307692,0.3978803418803419,0.5130940170940171,0.9480671043034281,0.024341880341880343,0.29699708147322273,0.5917780474690905,32385,0.4909989192527405,0.743121815655396
False,vehicle,"[0.0, 10.0)",838,0.6372315035799523,0.636038186157518,0.5322195704057279,0.5322195704057279,0.9925093632958801,0.00477326968973747,0.9441252620189761,0.9584653106398257,4004,0.9008491508491508,0.9150849150849151
False,vehicle,"[10.0, 20.0)",1803,0.7870216306156406,0.8036605657237936,0.7221297836938436,0.7265668330560178,0.9915433403805497,0.0066555740432612314,0.8569329764051707,0.922926017608048,6517,0.7926960257787325,0.8717201166180758
False,vehicle,"[20.0, 30.0)",2113,0.7160435399905348,0.7378135352579271,0.599621391386654,0.6384287742546143,0.9497686715135493,0.035967818267865596,0.5524478223381785,0.7839454218589765,7889,0.5421472937000887,0.7634681201673216
False,vehicle,"[30.0, 40.0)",2128,0.5244360902255639,0.6306390977443609,0.4591165413533835,0.5408834586466166,0.9435483870967742,0.029605263157894735,0.2351769020467539,0.6221211818789059,5855,0.3904355251921435,0.7023057216054654
False,vehicle,"[40.0, 60.0)",4211,0.38850629304203277,0.574447874614106,0.32676323913559724,0.4452624079791023,0.9284841075794621,0.027784374257895986,0.06662110034642833,0.47508523945537573,5999,0.08684780796799467,0.6316052675445908
False,vehicle,"[60.0, inf)",3532,0.1803510758776897,0.48839184597961494,0.12768969422423557,0.38873159682899205,0.8681318681318682,0.02378255945639864,0.016714337712509738,0.34161662214016064,2054,0.005842259006815969,0.3714703018500487
False,pedestrian,all,11762,0.07966332256418976,0.16867879612310832,0.039959190613841185,0.08586975004250978,0.8441835645677694,0.012412854956640027,0.09090225206538613,0.4809412885784812,12146,0.481393051210275,0.7173555079861683
False,pedestrian,"[0.0, 10.0)",263,0.6920152091254753,0.6958174904942965,0.38022813688212925,0.40304182509505704,0.8626373626373627,0.09505703422053231,0.6973566711103607,0.8011347911752588,3912,0.7597137014314929,0.8225971370143149
False,pedestrian,"[10.0, 20.0)",1280,0.36796875,0.5046875,0.1515625,0.2265625,0.8980891719745223,0.0375,0.4128692784257103,0.6865649774973243,5541,0.49106659447753115,0.7579859231185706
False,pedestrian,"[20.0, 30.0)",1962,0.11671763506625892,0.28491335372069315,0.06880733944954129,0.1309887869520897,0.7729257641921398,0.026503567787971458,0.13616530701406912,0.5785932661729274,2106,0.07264957264957266,0.5641025641025641
False,pedestrian,"[30.0, 40.0)",1557,0.028901734104046242,0.20680796403339757,0.021836865767501604,0.10982658959537572,0.6444444444444445,0.010276172125883108,0.03467293438662914,0.5245958808150404,478,0.0020920502092050207,0.2175732217573222
False,pedestrian,"[40.0, 60.0)",3315,0.0027149321266968325,0.07420814479638009,0.0021116138763197585,0.05067873303167421,0.5555555555555556,0.0012066365007541479,0.009045487761773724,0.45705908942387413,89,0.0,0.033707865168539325
False,pedestrian,"[60.0, inf)",3385,0.0002954209748892171,0.00827178729689808,0.0,0.005317577548005908,0.0,0.0002954209748892171,0.001827747348381853,0.3250171813542051,20,0.0,0.0
False,bicycle,all,224,0.05357142857142857,0.19642857142857142,0.013392857142857142,0.05803571428571429,0.9166666666666666,0.004464285714285714,0.03396424523432264,0.23801601689461607,1938,0.15892672858617132,0.28173374613003094
