planner,cost,n_states,v_pos,v_zero,v_neg,harmful_among_affected,all_cheap_cost,all_full_cost,all_full_reduction,oracle10_reduction,oracle20_reduction,oracle30_reduction,oracle50_reduction,oracle20_beats_all_full,selective_extra_share
idm,collision,1440,23,1412,5,0.17857142857142858,98.0,80.0,0.1836734693877551,0.23469387755102042,0.23469387755102042,0.23469387755102042,0.23469387755102042,True,0.21739130434782608
pdm_closed,collision,1440,27,1405,8,0.22857142857142856,108.0,89.0,0.17592592592592593,0.25,0.25,0.25,0.25,True,0.2962962962962963
idm,clearance_shortfall,1440,34,1393,13,0.2765957446808511,165.48159728466985,147.71678440147386,0.10735219610332897,0.14099045641263308,0.14099045641263308,0.14099045641263308,0.14099045641263308,True,0.23858537070662356
pdm_closed,clearance_shortfall,1440,44,1370,26,0.37142857142857144,261.3654065074318,243.62555649154166,0.06787374906627416,0.10416517663910842,0.10416517663910842,0.10416517663910842,0.10416517663910842,True,0.348402688343436
idm,log_deviation,1440,69,1335,36,0.34285714285714286,2907.4043455444607,2847.692734576367,0.020537773172004985,0.03438021956981207,0.03438021956981207,0.03438021956981207,0.03438021956981207,True,0.4026282138686978
pdm_closed,log_deviation,1440,122,1265,53,0.3028571428571429,3575.934477898384,3439.666654183354,0.038106912908291435,0.04912633891881369,0.04912633891881369,0.04912633891881369,0.04912633891881369,True,0.22430790189215985
idm,safety,1440,34,1393,13,0.2765957446808511,1228.2223959270048,1021.5751766022108,0.16824902396347063,0.21575651915513094,0.21575651915513094,0.21575651915513094,0.21575651915513094,True,0.2201903116424583
pdm_closed,safety,1440,44,1370,26,0.37142857142857144,1472.0481097611478,1255.4383347373125,0.147148570476397,0.21116005553292316,0.21116005553292316,0.21116005553292316,0.21116005553292316,True,0.3031420165853563
idm,scalar_J,1440,70,1335,35,0.3333333333333333,1518.9628304814507,1306.3444500598475,0.1399760258479871,0.18083814008647284,0.18083814008647284,0.18083814008647284,0.18083814008647284,True,0.22595960243202218
pdm_closed,scalar_J,1440,122,1265,53,0.3028571428571429,1829.6415575509864,1599.405000155648,0.12583697415766773,0.17896367397165572,0.17896367397165572,0.17896367397165572,0.17896367397165572,True,0.29685744953136245
