section,track,geometry,system,target,split,n_inputs,n_affected,n_harmed,harmed_over_affected,harmed_over_all_inputs,signal,quota,ndg_recomputed,ndg_released,matches_3dp,trivial,n_test_frames,n_test_units,all_cheap_loss,gain,gain_random,delta_vs_random,delta_share_all_cheap,ndg,oracle_prize,undefined_reason,delta_lo_all_draws,delta_hi_all_draws,delta_share_lo_all_draws,delta_share_hi_all_draws,delta_lo_filtered,delta_hi_filtered,draws_dropped_by_filter,beats_random_all_draws,beats_random_filtered,available,ndg_full,ndg_min_leave_one_out,ndg_max_leave_one_out,gain_full,gain_min_leave_one_out,gain_max_leave_one_out,most_influential_unit,ndg_without_that_unit,gain_without_that_unit,ndg_change_without_that_unit
harm,nuScenes,oracle,brake,J,test,955.0,62.0,29.0,0.46774193548387094,0.030366492146596858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,brake,J,all,3376.0,295.0,143.0,0.4847457627118644,0.04235781990521327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,plan_ade,JC_ade,test,752.0,308.0,154.0,0.5,0.2047872340425532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,plan_ade,JC_ade,all,2655.0,1226.0,630.0,0.5138662316476346,0.23728813559322035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,plan_fde,JC_fde,test,752.0,120.0,51.0,0.425,0.0678191489361702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,plan_fde,JC_fde,all,2655.0,510.0,256.0,0.5019607843137255,0.09642184557438795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,brake,J,test,955.0,120.0,57.0,0.475,0.05968586387434555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,brake,J,all,3376.0,486.0,221.0,0.4547325102880658,0.06546208530805687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,plan_ade,JC_ade,test,752.0,422.0,225.0,0.533175355450237,0.2992021276595745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,plan_ade,JC_ade,all,2655.0,1531.0,790.0,0.5160026126714565,0.2975517890772128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,plan_fde,JC_fde,test,752.0,178.0,88.0,0.4943820224719101,0.11702127659574468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,plan_fde,JC_fde,all,2655.0,658.0,331.0,0.5030395136778115,0.12467043314500942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,oracle,brake,J,test,3536.0,888.0,407.0,0.4583333333333333,0.11510180995475112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,oracle,brake,J,all,8008.0,1846.0,630.0,0.3412784398699892,0.07867132867132867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,oracle,traj,JB,test,3536.0,250.0,43.0,0.172,0.012160633484162896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,oracle,traj,JB,all,8008.0,779.0,74.0,0.09499358151476252,0.00924075924075924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,mono,brake,J,test,3536.0,1508.0,741.0,0.49137931034482757,0.20955882352941177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,mono,brake,J,all,8008.0,3026.0,1232.0,0.4071381361533377,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,mono,traj,JB,test,3536.0,478.0,192.0,0.401673640167364,0.05429864253393665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,mono,traj,JB,all,8008.0,1355.0,477.0,0.35202952029520296,0.05956543456543457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuPlan,n/a,pdm_closed,safety,test,384.0,27.0,9.0,0.3333333333333333,0.0234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
