n,delta_median,wilcoxon_p,n_better,baseline,candidate,model,target,baseline_score,candidate_score
8,0.14684224770593396,0.0078125,7,A_conf,B_uncertainty,linear,value_task,0.10958034334458602,0.25642259105052
8,0.05103541295189254,0.00390625,8,B_uncertainty,E_unc_crit,linear,value_task,0.25642259105052,0.36268756160292426
8,0.25246668452174076,0.00390625,8,C_complexity,E_unc_crit,linear,value_task,0.056956401839690154,0.36268756160292426
8,0.10906726107496328,0.00390625,8,F_all_visual,G_all,linear,value_task,0.23792263168963962,0.36210302353701285
8,0.0394700511871552,0.0390625,6,B_uncertainty,D_criticality,linear,value_task,0.25642259105052,0.3569607286667653
8,0.10503614174085621,0.02734375,6,F_all_visual,D_criticality,linear,value_task,0.23792263168963962,0.3569607286667653
8,0.20185332900096759,0.0078125,7,A_conf,B_uncertainty,tree,value_task,0.05756257864751234,0.24290235845835992
8,0.023973952708016985,0.07421875,5,B_uncertainty,E_unc_crit,tree,value_task,0.24290235845835992,0.2792842757894149
8,0.28521841565152756,0.00390625,8,C_complexity,E_unc_crit,tree,value_task,0.01705350588344393,0.2792842757894149
8,0.0424236214809843,0.00390625,8,F_all_visual,G_all,tree,value_task,0.21897702165447142,0.2460461752885167
8,0.024099050920495357,0.07421875,5,B_uncertainty,D_criticality,tree,value_task,0.24290235845835992,0.2778438348699606
8,0.058947837353635624,0.00390625,8,F_all_visual,D_criticality,tree,value_task,0.21897702165447142,0.2778438348699606
8,0.16044072834071577,0.00390625,8,A_conf,B_uncertainty,gbm,value_task,0.025183059799846204,0.20500039093008576
8,0.071100587063852,0.07421875,5,B_uncertainty,E_unc_crit,gbm,value_task,0.20500039093008576,0.30927101533660806
8,0.28884540529041125,0.00390625,8,C_complexity,E_unc_crit,gbm,value_task,0.06319988847817881,0.30927101533660806
8,0.15732089970947494,0.01171875,7,F_all_visual,G_all,gbm,value_task,0.1844098061186475,0.32439222202387596
8,0.11363316709488963,0.0546875,5,B_uncertainty,D_criticality,gbm,value_task,0.20500039093008576,0.35427719146426884
8,0.1794717046349855,0.02734375,6,F_all_visual,D_criticality,gbm,value_task,0.1844098061186475,0.35427719146426884
8,0.08508650033478304,0.00390625,8,A_conf,B_uncertainty,linear,value_task_pos,0.5155848055483255,0.6334200951640403
8,0.026225609372407865,0.15625,5,B_uncertainty,E_unc_crit,linear,value_task_pos,0.6334200951640403,0.6488089767156863
8,0.16713716843340654,0.00390625,8,C_complexity,E_unc_crit,linear,value_task_pos,0.4844779606203545,0.6488089767156863
8,0.04713167117808659,0.0546875,5,F_all_visual,G_all,linear,value_task_pos,0.6213843016190395,0.6499222285067874
8,0.02727539231953846,0.52734375,5,B_uncertainty,D_criticality,linear,value_task_pos,0.6334200951640403,0.644836107519931
8,0.042045550191230296,0.19140625,5,F_all_visual,D_criticality,linear,value_task_pos,0.6213843016190395,0.644836107519931
8,0.10251066382085416,0.01171875,7,A_conf,B_uncertainty,tree,value_task_pos,0.520473533351473,0.6296855527876726
8,0.03820428406428944,0.23046875,6,B_uncertainty,E_unc_crit,tree,value_task_pos,0.6296855527876726,0.6506852560735833
8,0.13741244199282024,0.00390625,8,C_complexity,E_unc_crit,tree,value_task_pos,0.5178677738608846,0.6506852560735833
8,0.030457464374023968,0.19140625,6,F_all_visual,G_all,tree,value_task_pos,0.601404206471698,0.631568287037037
8,0.03779000330773902,0.23046875,6,B_uncertainty,D_criticality,tree,value_task_pos,0.6296855527876726,0.6506313883726568
8,0.03402909386929548,0.07421875,7,F_all_visual,D_criticality,tree,value_task_pos,0.601404206471698,0.6506313883726568
8,0.08766248745563165,0.00390625,8,A_conf,B_uncertainty,gbm,value_task_pos,0.5107329292873724,0.5935171237892006
8,0.0677631946465797,0.0390625,6,B_uncertainty,E_unc_crit,gbm,value_task_pos,0.5935171237892006,0.6361953635620915
8,0.12448683851609385,0.00390625,8,C_complexity,E_unc_crit,gbm,value_task_pos,0.5178953675916245,0.6361953635620915
8,0.06484800049827627,0.07421875,5,F_all_visual,G_all,gbm,value_task_pos,0.5934550918929951,0.6516109388466925
8,0.042532573333227075,0.07421875,5,B_uncertainty,D_criticality,gbm,value_task_pos,0.5935171237892006,0.6371553308823529
8,0.06084532204508558,0.0390625,6,F_all_visual,D_criticality,gbm,value_task_pos,0.5934550918929951,0.6371553308823529
