arm,model,target,task,n,spearman,r2,pearson,per_seq_median,per_seq_iqr,per_seq_n,per_seq_pos,auc,ap,base_rate
A_conf,linear,value_task,reg,2502,-0.020083467217679122,-0.016207839214164688,-0.05529195447827985,0.10958034334458602,0.10004219805358286,8,7,,,
A_conf,tree,value_task,reg,2502,-0.006117246730752757,-0.03629868287121618,0.007028964779901304,0.05756257864751234,0.035571708160598146,8,8,,,
A_conf,gbm,value_task,reg,2502,-0.015805038651252833,-0.08260578147214148,-0.01856927584890961,0.025183059799846204,0.059812136682720105,8,6,,,
B_uncertainty,linear,value_task,reg,2502,0.2556993662444702,0.07055747667092771,0.27527146957575993,0.25642259105052,0.13970449230557777,8,8,,,
B_uncertainty,tree,value_task,reg,2502,0.21547691131752025,0.03587830333403963,0.22998573426666533,0.24290235845835992,0.11087340441784874,8,8,,,
B_uncertainty,gbm,value_task,reg,2502,0.20456274456385767,0.010481594064407629,0.22233531947492166,0.20500039093008576,0.10093781988830758,8,8,,,
C_complexity,linear,value_task,reg,2502,-0.05622599773971342,-0.01649397450081147,-0.06814107580022295,0.056956401839690154,0.08999088534996574,8,7,,,
C_complexity,tree,value_task,reg,2502,-0.04565019703524993,-0.059075967147513175,-0.0008250434517137276,0.01705350588344393,0.06612851260381565,8,6,,,
C_complexity,gbm,value_task,reg,2502,0.010082624450179037,-0.07228476964918196,0.02907042653161873,0.06319988847817881,0.06235727492270848,8,8,,,
D_criticality,linear,value_task,reg,2502,0.33023266514268745,0.2112453001957617,0.4602029807046672,0.3569607286667653,0.10426110459572918,8,8,,,
D_criticality,tree,value_task,reg,2502,0.24138311134936097,0.16275450316555162,0.4117694035644428,0.2778438348699606,0.19354116650455272,8,8,,,
D_criticality,gbm,value_task,reg,2502,0.3281371941525258,0.17681613930264384,0.4298520735830426,0.35427719146426884,0.13093663993431437,8,8,,,
E_unc_crit,linear,value_task,reg,2502,0.3408624372858363,0.2088779699609331,0.4576780135606438,0.36268756160292426,0.12169518975254923,8,8,,,
E_unc_crit,tree,value_task,reg,2502,0.24185972918276222,0.17718825000566307,0.4252540330887476,0.2792842757894149,0.19259338886381538,8,8,,,
E_unc_crit,gbm,value_task,reg,2502,0.30042348599351887,0.17189253522489134,0.4264781481399285,0.30927101533660806,0.20314234751827961,8,8,,,
F_all_visual,linear,value_task,reg,2502,0.23021622475172562,0.05861545451591832,0.256854964779105,0.23792263168963962,0.07391186343809697,8,8,,,
F_all_visual,tree,value_task,reg,2502,0.2027209832918816,0.010772735756209406,0.19338360667323598,0.21897702165447142,0.07556856888266628,8,8,,,
F_all_visual,gbm,value_task,reg,2502,0.15880496119326457,-0.022985861182467593,0.18830520714092006,0.1844098061186475,0.03670565066707979,8,8,,,
G_all,linear,value_task,reg,2502,0.34109828202863895,0.20100139210285417,0.4489231866944267,0.36210302353701285,0.09222058157705904,8,8,,,
G_all,tree,value_task,reg,2502,0.21492576633603383,0.16616172919142846,0.41384716455971937,0.2460461752885167,0.14309917254762405,8,8,,,
G_all,gbm,value_task,reg,2502,0.308131146364666,0.17196834292037055,0.4279514740950817,0.32439222202387596,0.1287894545456613,8,8,,,
A_conf,linear,value_task_pos,clf,2502,-0.042210750304733965,,,0.5155848055483255,0.05823858310115648,8,4,0.47557970256659654,0.5220550633725597,0.5319744204636291
A_conf,tree,value_task_pos,clf,2502,0.008853406324530595,,,0.520473533351473,0.03164970184433047,8,6,0.5051026529560804,0.5350812243071937,0.5319744204636291
A_conf,gbm,value_task_pos,clf,2502,-0.028967456519592816,,,0.5107329292873724,0.04531540280126528,8,5,0.48324138121302374,0.5247645121585485,0.5319744204636291
B_uncertainty,linear,value_task_pos,clf,2502,0.19642097590195082,,,0.6334200951640403,0.0820818108759156,8,8,0.6136362032361073,0.6561528786677202,0.5319744204636291
B_uncertainty,tree,value_task_pos,clf,2502,0.17365267003145185,,,0.6296855527876726,0.04260513373689223,8,8,0.6003832924526546,0.6174479405855599,0.5319744204636291
B_uncertainty,gbm,value_task_pos,clf,2502,0.14189474433675664,,,0.5935171237892006,0.05537575203234746,8,8,0.5820909264141367,0.6171511009191545,0.5319744204636291
C_complexity,linear,value_task_pos,clf,2502,-0.08722316531463029,,,0.4844779606203545,0.044379537690867166,8,3,0.4495384001421788,0.4921467257605756,0.5319744204636291
C_complexity,tree,value_task_pos,clf,2502,-0.0678510348802618,,,0.5178677738608846,0.04422534388040611,8,5,0.4608559214321048,0.5083587719792229,0.5319744204636291
C_complexity,gbm,value_task_pos,clf,2502,0.02101742309182151,,,0.5178953675916245,0.06462329493271102,8,5,0.5121593018354281,0.5408554251124685,0.5319744204636291
D_criticality,linear,value_task_pos,clf,2502,0.18655409772683307,,,0.644836107519931,0.10710638385116755,8,8,0.6079278789119216,0.671663996916647,0.5319744204636291
D_criticality,tree,value_task_pos,clf,2502,0.20097631776055472,,,0.6506313883726568,0.08660254081858332,8,8,0.6161676400823559,0.6666803390115481,0.5319744204636291
D_criticality,gbm,value_task_pos,clf,2502,0.21909639157880503,,,0.6371553308823529,0.09101804011445225,8,8,0.6267546986047102,0.6781232293177502,0.5319744204636291
E_unc_crit,linear,value_task_pos,clf,2502,0.22085139864298453,,,0.6488089767156863,0.10265635548631258,8,8,0.6277700322276195,0.6835452582427547,0.5319744204636291
E_unc_crit,tree,value_task_pos,clf,2502,0.19783470266820838,,,0.6506852560735833,0.09064395161672512,8,8,0.6143538339831682,0.6639075219509005,0.5319744204636291
E_unc_crit,gbm,value_task_pos,clf,2502,0.23319525548110626,,,0.6361953635620915,0.09563977580177241,8,8,0.6349113724423376,0.6882199539421554,0.5319744204636291
F_all_visual,linear,value_task_pos,clf,2502,0.16999420573138352,,,0.6213843016190395,0.04215131351938639,8,8,0.5983474923986318,0.6395572622701434,0.5319744204636291
F_all_visual,tree,value_task_pos,clf,2502,0.15902410073763998,,,0.601404206471698,0.08996403695278621,8,8,0.5919141589155917,0.612487190798367,0.5319744204636291
F_all_visual,gbm,value_task_pos,clf,2502,0.14536639713575358,,,0.5934550918929951,0.03775562325662685,8,8,0.5840994584245743,0.6154310468580817,0.5319744204636291
G_all,linear,value_task_pos,clf,2502,0.21973667877771072,,,0.6499222285067874,0.11497805797073912,8,8,0.6271252231969568,0.6793429422348046,0.5319744204636291
G_all,tree,value_task_pos,clf,2502,0.19291652319657943,,,0.631568287037037,0.08181180689818568,8,8,0.6114669501687732,0.6615019600044704,0.5319744204636291
G_all,gbm,value_task_pos,clf,2502,0.2371171001002987,,,0.6516109388466925,0.10029061577315046,8,8,0.6371803944691425,0.683826919320053,0.5319744204636291
A_conf,linear,value_visual,reg,2502,-0.052342933929503635,-0.031127848084675946,-0.03212898705193805,0.14165138274364464,0.15212792526626087,8,7,,,
A_conf,tree,value_visual,reg,2502,-0.10592021745088098,-0.05617495468402689,-0.04895701525431467,0.05544447419479856,0.09313217704466195,8,5,,,
A_conf,gbm,value_visual,reg,2502,-0.04665950324885186,-0.09140483199127658,-0.030427879405149117,0.021271794872899458,0.07797443010839689,8,6,,,
B_uncertainty,linear,value_visual,reg,2502,0.2113168981496608,0.06715707245644909,0.26702283858149384,0.23736020172155467,0.11536761845662505,8,8,,,
B_uncertainty,tree,value_visual,reg,2502,0.17484046363958666,0.03513146367597764,0.22318979861047994,0.2260536498947157,0.142597397977194,8,8,,,
B_uncertainty,gbm,value_visual,reg,2502,0.16408023080738968,0.009436112105235428,0.20979687108491693,0.2369353279723555,0.11757870504182416,8,8,,,
C_complexity,linear,value_visual,reg,2502,-0.10238787001936249,-0.05616514690152674,-0.07096837886693089,0.043594313976542,0.12991018526167541,8,5,,,
C_complexity,tree,value_visual,reg,2502,-0.11724442929769664,-0.08429757385537728,-0.03776252695186344,0.04105764805648181,0.04004156405573157,8,7,,,
C_complexity,gbm,value_visual,reg,2502,-0.022960235110652892,-0.11110970658248309,-0.002599565336138983,0.05652641406308654,0.0886316449703798,8,6,,,
D_criticality,linear,value_visual,reg,2502,0.08146129621744225,-0.0016477252457725022,0.16638849890412766,0.21617864587192387,0.1678995875998707,8,8,,,
D_criticality,tree,value_visual,reg,2502,0.07229601111166437,-0.021273407408950673,0.1314297656570816,0.19741406166927994,0.06233736630541273,8,8,,,
D_criticality,gbm,value_visual,reg,2502,0.12407094588796255,-0.057745263741733055,0.1411371587949683,0.19729383688176388,0.08621653035440413,8,8,,,
E_unc_crit,linear,value_visual,reg,2502,0.193801204561526,0.04651701424958421,0.24674337110354988,0.2370553973262425,0.1402849100909032,8,8,,,
E_unc_crit,tree,value_visual,reg,2502,0.1980840608518039,0.043622116559662305,0.23284394309430326,0.22824132139539594,0.11928169709294453,8,8,,,
E_unc_crit,gbm,value_visual,reg,2502,0.16526256504604112,-0.03039155506350477,0.19361190171108492,0.21409048032737688,0.08648443714150744,8,8,,,
F_all_visual,linear,value_visual,reg,2502,0.17695726060506473,0.04250804569428035,0.23298754268378016,0.2228929887407034,0.11714260815752048,8,8,,,
F_all_visual,tree,value_visual,reg,2502,0.16860823613260215,0.03144755517366238,0.2175247315385367,0.21651662542849054,0.13509983069361323,8,8,,,
F_all_visual,gbm,value_visual,reg,2502,0.14638108866181743,-0.011668756841649142,0.18536148440161382,0.20514867780570445,0.0782400007011746,8,8,,,
G_all,linear,value_visual,reg,2502,0.17439580326756293,0.029655998439052422,0.22564707793252484,0.22453530087220447,0.14892484747845616,8,8,,,
G_all,tree,value_visual,reg,2502,0.17692948945949782,0.03181163640412821,0.2206561575728002,0.22824132139539594,0.0907414148906038,8,8,,,
G_all,gbm,value_visual,reg,2502,0.13881798528396516,-0.043634637827497214,0.17062309129616424,0.2273525805133505,0.09931870082559721,8,8,,,
