n,delta_median,wilcoxon_p,n_better,baseline,candidate,model,target,baseline_score,candidate_score
21,0.1771577391687649,0.0021424293518066406,15,A_conf,B_uncertainty,linear,value_task,0.14778606506109168,0.28598813961364283
21,0.03932560302057092,0.029753684997558594,15,B_uncertainty,E_unc_crit,linear,value_task,0.28598813961364283,0.3524390117855039
21,0.31513876683240966,0.00017690658569335938,19,C_complexity,E_unc_crit,linear,value_task,-0.02386998062965408,0.3524390117855039
21,0.09073738875303627,0.0027709007263183594,16,F_all_visual,G_all,linear,value_task,0.25630331004572227,0.34170258871900516
21,0.02575355960869591,0.16882991790771484,11,B_uncertainty,D_criticality,linear,value_task,0.28598813961364283,0.3420285286868745
21,0.08787862034749416,0.04109764099121094,15,F_all_visual,D_criticality,linear,value_task,0.25630331004572227,0.3420285286868745
21,0.013428723485936878,0.0785670280456543,14,F_all_visual,H_visual_plus_stakes,linear,value_task,0.25630331004572227,0.24787067619457742
21,0.08872434075332598,0.0035505294799804688,16,H_visual_plus_stakes,G_all,linear,value_task,0.24787067619457742,0.34170258871900516
21,0.10090782013935429,0.008773326873779297,15,A_conf,B_uncertainty,tree,value_task,0.15471036619765316,0.24304095522931618
21,0.11717980719557636,0.0005879402160644531,18,B_uncertainty,E_unc_crit,tree,value_task,0.24304095522931618,0.3585478696487876
21,0.3370127864182928,4.76837158203125e-06,19,C_complexity,E_unc_crit,tree,value_task,0.0550948849740321,0.3585478696487876
21,0.09925214300165774,0.0008001327514648438,18,F_all_visual,G_all,tree,value_task,0.2372937074123385,0.36520832155330823
21,0.11514365997869264,0.0005879402160644531,18,B_uncertainty,D_criticality,tree,value_task,0.24304095522931618,0.3581846152080088
21,0.10234651080371338,0.005062580108642578,16,F_all_visual,D_criticality,tree,value_task,0.2372937074123385,0.3581846152080088
21,0.0,0.4180693308705205,9,F_all_visual,H_visual_plus_stakes,tree,value_task,0.2372937074123385,0.2125817477841211
21,0.12774834635551857,0.0016393661499023438,18,H_visual_plus_stakes,G_all,tree,value_task,0.2125817477841211,0.36520832155330823
21,0.13572876648019092,0.00021314620971679688,16,A_conf,B_uncertainty,gbm,value_task,0.11710955389391024,0.2537711880988667
21,0.08547831196779837,0.03799009323120117,15,B_uncertainty,E_unc_crit,gbm,value_task,0.2537711880988667,0.3270782447889345
21,0.308411401999547,0.0003604888916015625,19,C_complexity,E_unc_crit,gbm,value_task,0.005759189966134519,0.3270782447889345
21,0.07943908505040592,0.005062580108642578,17,F_all_visual,G_all,gbm,value_task,0.20720211927322582,0.2928440516587015
21,0.0687251364938701,0.021039962768554688,17,B_uncertainty,D_criticality,gbm,value_task,0.2537711880988667,0.34051356157023077
21,0.1555840129675235,0.014507293701171875,15,F_all_visual,D_criticality,gbm,value_task,0.20720211927322582,0.34051356157023077
21,0.002923617906035625,0.5541338920593262,11,F_all_visual,H_visual_plus_stakes,gbm,value_task,0.20720211927322582,0.1829821477227256
21,0.12263699633598163,0.0021424293518066406,17,H_visual_plus_stakes,G_all,gbm,value_task,0.1829821477227256,0.2928440516587015
21,0.06964285714285715,9.870529174804688e-05,18,A_conf,B_uncertainty,linear,value_task_pos,0.6272038227055529,0.6662498238692405
21,-0.0006727506727506327,0.5809030532836914,10,B_uncertainty,E_unc_crit,linear,value_task_pos,0.6662498238692405,0.6704417359447654
21,0.16149755613306271,0.0021424293518066406,16,C_complexity,E_unc_crit,linear,value_task_pos,0.5396098003629765,0.6704417359447654
21,0.007840909090909065,0.17770814895629883,14,F_all_visual,G_all,linear,value_task_pos,0.6477107146326457,0.66519244734931
