baseline,candidate,model,delta_value_task,p_value_task,nbetter_value_task,n_value_task,delta_value_visual,p_value_visual,nbetter_value_visual,n_value_visual,specificity
B_uncertainty,E_unc_crit,linear,0.03932560302057092,0.029753684997558594,15,21,-0.02961454226300364,0.9996962547302246,3,21,0.06894014528357456
F_all_visual,G_all,linear,0.09073738875303627,0.0027709007263183594,16,21,-0.019139118590474846,0.9824719429016113,6,21,0.10987650734351112
C_complexity,D_criticality,linear,0.2779194018759767,0.0003604888916015625,18,21,0.11239605948092378,0.10784006118774414,14,21,0.1655233423950529
F_all_visual,H_visual_plus_stakes,linear,0.013428723485936878,0.0785670280456543,14,21,-0.002121948623450276,0.9726533889770508,8,21,0.015550672109387154
H_visual_plus_stakes,G_all,linear,0.08872434075332598,0.0035505294799804688,16,21,-0.01605159764530123,0.9676752090454102,7,21,0.10477593839862721
B_uncertainty,E_unc_crit,gbm,0.08547831196779837,0.03799009323120117,15,21,-0.028095492458592997,0.8480920791625977,9,21,0.11357380442639137
F_all_visual,G_all,gbm,0.07943908505040592,0.005062580108642578,17,21,-0.028078987475689043,0.9403290748596191,7,21,0.10751807252609497
C_complexity,D_criticality,gbm,0.293121076120654,0.0006871223449707031,17,21,0.15194269011155725,0.008773326873779297,15,21,0.14117838600909677
F_all_visual,H_visual_plus_stakes,gbm,0.002923617906035625,0.5541338920593262,11,21,-0.007154463992872673,0.9749040603637695,7,21,0.010078081898908298
H_visual_plus_stakes,G_all,gbm,0.12263699633598163,0.0021424293518066406,17,21,-0.01721592570700256,0.9046564102172852,7,21,0.1398529220429842
