axis,value,crit_model,iou_thr,op_conf,error,fp_lambda,class_aware,frac_value_gt0,gain_top20,risk_reduction_rel,rho_B_uncertainty,rhoseq_B_uncertainty,rho_C_complexity,rhoseq_C_complexity,rho_D_criticality,rhoseq_D_criticality,rho_E_unc_crit,rhoseq_E_unc_crit,rho_F_all_visual,rhoseq_F_all_visual,rho_G_all,rhoseq_G_all,delta_B_uncertainty_to_E_unc_crit,p_B_uncertainty_to_E_unc_crit,nbetter_B_uncertainty_to_E_unc_crit,n_B_uncertainty_to_E_unc_crit,delta_F_all_visual_to_G_all,p_F_all_visual_to_G_all,nbetter_F_all_visual_to_G_all,n_F_all_visual_to_G_all,eta20_random,eta20_highest_uncertainty,eta20_lowest_confidence,eta20_scene_complexity,eta20_criticality_heuristic,eta20_learned_uncertainty,eta20_learned_unc_crit,eta20_learned_all_visual,eta20_learned_all,eta20_oracle
crit_model,composite,composite,0.5,0.25,miss,0.0,0,0.5975274725274725,0.854981179513672,0.4472915797237586,0.2634453822231782,0.2537711880988667,0.09935920043757096,0.005759189966134519,0.34817113845416936,0.34051356157023077,0.34477590190364155,0.3270782447889345,0.21001130597901743,0.20720211927322582,0.3091709969774107,0.2928440516587015,0.08547831196779837,0.03799009323120117,15,21,0.07943908505040592,0.005062580108642578,17,21,0.23634790066405456,0.3470367817086472,0.17794973123915042,0.3634236095937921,0.4279423646553516,0.43488079851951594,0.5531974242927282,0.4486506970432737,0.5373761464626838,1.0
crit_model,uniform,uniform,0.5,0.25,miss,0.0,0,0.6810689310689311,0.5412192741148283,0.4615983287592676,0.36851920442576047,0.24284975886322802,0.0838634895193996,-0.010873826643862924,0.3514161664647963,0.32882902606091047,0.3683081108578691,0.2776752384070522,0.30730856395956513,0.2910686591695847,0.2826238870825858,0.22653353932412998,0.00046339571523812406,0.5541338920593262,12,21,-0.03178754462996297,0.9770035743713379,7,21,0.3698881330929356,0.5599082117685625,0.27765940009834456,0.5348303556793969,0.5348303556793969,0.6066218652679889,0.6084248483855106,0.6082609408293722,0.5858056056384199,1.0
crit_model,corridor,corridor,0.5,0.25,miss,0.0,0,0.6055194805194806,0.6684434066886974,0.49270724562088514,0.2245552515476934,0.2603389186394614,-0.022142815861546605,0.002153591626158235,0.34468398011803547,0.3480114563587166,0.3165477714294665,0.27741708231708667,0.12190746752679865,0.1664485382461907,0.27437914330654045,0.31156969150987546,0.08886794549732979,0.0894937515258789,12,21,0.07639732843575345,0.02734661102294922,14,21,0.30051485961179464,0.44701203455714905,0.26221188605617207,0.44936446022842713,0.4522055737714239,0.45990248052912536,0.5810280964055546,0.3389577801567679,0.5515707689647487,1.0
crit_model,proximity,proximity,0.5,0.25,miss,0.0,0,0.6838161838161838,0.672581589377501,0.41816242111214813,0.44554492433770426,0.34198810546997915,0.20922346587178564,0.061280536939689996,0.3899815383486555,0.3216432756498331,0.4318191239800856,0.35547620595875296,0.4161945881865933,0.328017379834444,0.4017917146041408,0.34397344559818227,-0.0066207940935646414,0.8855071067810059,9,21,-0.005168157610550783,0.7416195869445801,9,21,0.29765266650297045,0.5326536919495681,0.1960043316804438,0.49060770643361973,0.5228120729671161,0.6913848611101818,0.6731231985510517,0.6888187128664898,0.6652339162218757,1.0
crit_model,ttc,ttc,0.5,0.25,miss,0.0,0,0.40322177822177824,0.7890596613311746,0.4655650764150608,0.17921332922768096,0.17005279348649566,0.16237816739853916,0.12905674277593276,0.27486884888554775,0.16233385010595042,0.31174980902908334,0.24878172999318404,0.2413609012394155,0.20693663032983528,0.2808917565661957,0.22625088430757978,0.05857670684558454,0.004154205322265625,17,20,0.021713396689699002,0.05699348449707031,12,20,0.2564986276476043,0.24859909470662755,0.24392757620926503,0.2774425561581094,0.36372185742298097,0.35559276138556445,0.4620091180670776,0.3992926222532987,0.41407943449226453,1.0
crit_model,binary,binary,0.5,0.25,miss,0.0,0,0.05194805194805195,1.097447795823666,0.5268948655256723,0.09395414034323539,0.040824866428648285,0.040287311479104485,0.018347948210983768,0.13884057331967906,0.15207122364527043,0.15213508588235164,0.14211514263580666,0.0622334631240696,0.0032453905259698006,0.13347897067463219,0.14130574733258003,0.04912425209472554,5.340576171875e-05,16,17,0.03558058386072159,0.001922607421875,15,17,0.1799022198731501,0.3403805496828753,0.19661733615221988,0.32346723044397463,0.25792811839323465,0.35095137420718814,0.5517970401691332,0.27061310782241016,0.4693446088794926,1.0
crit_model,composite_wide,composite_wide,0.5,0.25,miss,0.0,0,0.6424825174825175,0.7879974602204953,0.4352505718067552,0.3222244165738052,0.2781056206859832,0.1687666580731665,0.11933883069966386,0.3676121397436819,0.3432020304562693,0.37309392883440007,0.31811955249978086,0.28893552083378327,0.2447274075152258,0.34596137676894767,0.30025082658227825,0.04488210634172202,0.06403923034667969,14,21,0.06373262409148289,0.02299642562866211,16,21,0.25621801128907973,0.3844821622079665,0.16377763775696713,0.39684419296977536,0.454910220943724,0.4989780687059059,0.5622640242734478,0.5276311006070096,0.5783810646459361,1.0
crit_model,composite_narrow,composite_narrow,0.5,0.25,miss,0.0,0,0.4935064935064935,0.9724249271804561,0.48296937251507843,0.19245759931747544,0.2106503547916924,-0.03837461809834276,-0.04482866548534403,0.3127982120596079,0.27975474706730424,0.30140561956888823,0.2917674181696583,0.09262706796232281,0.08347370932336153,0.23973982725885237,0.21936441804112505,0.07280709970032258,0.02299642562866211,16,21,0.11201452400086671,6.67572021484375e-06,20,21,0.2071838600643878,0.31012961375583514,0.21171379365982057,0.30807788652174467,0.34438750486674186,0.3906053262297588,0.5593675377376214,0.3229048053710195,0.517823470864216,1.0
crit_model,composite_near,composite_near,0.5,0.25,miss,0.0,0,0.5937812187812188,0.9579210675273636,0.41896793946538935,0.2541984173579065,0.25072353558603455,0.14525489597221014,0.09133893252137144,0.3098255726559691,0.2791947166599171,0.32126037604665025,0.30020752387092947,0.23028079623172004,0.18635808659214703,0.30294426887945614,0.28491877078193245,0.056201016523297675,0.12142086029052734,15,21,0.09725541123849674,0.0016393661499023438,16,21,0.21180721479355974,0.3019061801551775,0.1465255116786975,0.3258673775599405,0.3882903551181346,0.3766232219422554,0.49428165881391095,0.4304011940406301,0.5043938737991607,1.0
crit_model,composite_far,composite_far,0.5,0.25,miss,0.0,0,0.5996503496503497,0.7752125186151073,0.46755008446945345,0.25726185614321323,0.2368025654020385,0.06554472595698599,0.03463524959596737,0.3652217088476218,0.35285032789710624,0.35478676364479655,0.33392438202966834,0.19575684823475048,0.20170519127193334,0.32137513923528543,0.3264036117355007,0.08751110156196634,0.02509593963623047,15,21,0.10163075065878543,0.0031404495239257812,17,21,0.26019607861776595,0.3788862201200684,0.20605272143210118,0.3928551115311295,0.43601326554524866,0.4435569253710932,0.5730954046167349,0.43352952459066035,0.5531515272065761,1.0
