policy,quota,eta,total_J,collisions,shortfall,excess,extra_ms,J_reduction,J_per_extra_s
random,0.1,0.08372487614780233,18452.350713553264,34.0,4644.678362302043,4946.7517938121855,4707.903200000002,919.7825549647823,195.36989523590503
random,0.2,0.16833606806291276,17350.432578727745,32.0,4401.975690637224,5083.549122147367,9415.806400000003,2021.700689790301,214.7134938745449
random,0.3,0.24749522947193942,16397.11963611834,32.0,4155.974739046111,5235.548170556254,14123.709600000004,2975.0136323997067,210.63967729835693
random,0.5,0.4293584736629165,14211.034547306814,29.0,3612.816380402586,5700.889811912728,23539.516000000007,5161.098721211232,219.25254203235235
confidence (low first),0.1,0.13381987447709717,17902.01839090002,35.0,4375.07295751638,5075.646389026523,4707.903200000002,1470.114877618027,312.2653153994387
confidence (low first),0.2,0.6314131931770671,11788.918911202225,27.0,3383.82816484959,5326.901596359732,9415.806400000003,7583.214357315821,805.3706751357822
confidence (low first),0.3,0.6610086414741626,11426.486301037392,27.0,3233.2307376017307,5486.304169111873,14123.709600000004,7945.646967480654,562.5750735826975
confidence (low first),0.5,0.7319809677003772,10573.364248961449,26.0,2944.1573049812278,5685.73073649137,23539.516000000007,8798.769019556597,373.7871679076407
uncertainty,0.1,0.009382814548962289,19269.05578980825,35.0,4845.567907637753,4761.1413391478945,4707.903200000002,103.07747870979438,21.89456204405272
uncertainty,0.2,0.024153154001849492,19082.056111150316,34.0,4804.221549919267,4807.29498142941,9415.806400000003,290.07715736773025,30.807468319201014
uncertainty,0.3,0.011122652184387422,19238.433552577684,36.0,4737.652798469846,5118.726229979989,14123.709600000004,133.69971594036178,9.466331419074331
uncertainty,0.5,0.019731480370433468,19134.951229839106,36.0,4609.681536146612,5436.254967656756,23539.516000000007,237.18203867894044,10.075909745932771
scene complexity,0.1,0.009095042101640104,19272.217192834745,35.0,4845.711053504779,4765.284485014921,4707.903200000002,99.91607568330073,21.223052267366224
scene complexity,0.2,0.015944358483632844,19180.642990079457,34.0,4783.335955224051,4955.409386734193,9415.806400000003,191.49027843858858,20.337108719502613
scene complexity,0.3,0.006935439425358337,19288.765896625075,36.0,4769.824715368966,5076.398146879109,14123.709600000004,83.36737189297128,5.902654065683371
scene complexity,0.5,0.014828235167355068,19193.890633856226,37.0,4598.032776689513,5466.106208199657,23539.516000000007,178.24263466181947,7.572060303271291
criticality,0.1,0.009553443373257614,19267.18130013228,35.0,4864.266274664136,4695.839706174278,4707.903200000002,104.95196838576521,22.292720119174323
criticality,0.2,0.00886854844105326,19265.622817685755,35.0,4833.90685883585,4798.980290345991,9415.806400000003,106.5104508322911,11.311877741272491
criticality,0.3,0.0037043787159049533,19327.60482567532,36.0,4797.52617908118,4943.099610591323,14123.709600000004,44.52844284272578,3.15274415177198
criticality,0.5,0.04186441360281685,18868.902553944128,36.0,4617.592409759202,5227.665841269345,23539.516000000007,503.2307145739178,21.378124961189418
uncertainty x criticality,0.1,0.011774299932773801,19242.783472216524,35.0,4865.121625362267,4646.69505687241,4707.903200000002,129.34979630152156,27.475033110604638
uncertainty x criticality,0.2,0.008066365689138452,19275.256958731974,36.0,4827.747351440348,4825.320782950492,9415.806400000003,96.87630978607194,10.288689642776843
uncertainty x criticality,0.3,0.005598553358634479,19304.835920608788,36.0,4803.014496862941,4917.587928373084,14123.709600000004,67.29734790925795,4.764849307667578
uncertainty x criticality,0.5,0.02129193403042623,19116.193814105834,36.0,4635.065335302123,5343.138766812266,23539.516000000007,255.9394544122115,10.872757724169496
PERCEPTION-GAIN ORACLE,0.1,0.03906143772602492,18943.01314741072,34.0,4679.9100626982045,5166.983494208347,4707.903200000002,429.1201211073276,91.14888367019259
PERCEPTION-GAIN ORACLE,0.2,0.155092544589673,17509.486077179998,28.0,4344.448855042036,5439.022286552178,9415.806400000003,1862.6471913380483,197.821313672937
PERCEPTION-GAIN ORACLE,0.3,0.3315206471154514,15387.093044935624,26.0,3740.8567457525182,5806.930177262661,14123.709600000004,3985.040223582422,282.1525177480583
PERCEPTION-GAIN ORACLE,0.5,0.42043220849369145,14318.33261774445,28.0,3250.3896810926744,6361.463112602817,23539.516000000007,5053.800650773595,214.6943314711141
DECISION-VALUE ORACLE,0.1,1.0,8386.359418688045,25.0,2689.050859125796,4562.124290635938,4707.903200000002,10985.77384983,2333.4748789715977
DECISION-VALUE ORACLE,0.2,1.0,7362.225272836902,25.0,2460.12518089525,3764.6986124053933,9415.806400000003,12009.907995681144,1275.504984435655
DECISION-VALUE ORACLE,0.3,1.0,7351.644474664309,25.0,2453.653955378521,3782.727386888663,14123.709600000004,12020.488793853736,851.0858077862018
DECISION-VALUE ORACLE,0.5,1.0,7351.644474664309,25.0,2453.653955378521,3782.727386888663,23539.516000000007,12020.488793853736,510.65148467172105
decision sensitivity (learned),0.1,0.2774042537475524,16324.632871866579,35.0,3814.6316319326993,5449.205063442842,4707.903200000002,3047.500396651467,647.3158574397762
decision sensitivity (learned),0.2,0.830857795820983,9393.607583213612,28.0,2952.248489362113,4365.321920872256,9415.806400000003,9978.525685304434,1059.7632599268854
decision sensitivity (learned),0.3,0.8406252138731602,9267.407305324823,28.0,2934.1783475357724,4272.751779045915,14123.709600000004,10104.725963193223,715.4441891946873
decision sensitivity (learned),0.5,0.8355750077149774,9328.113251855912,30.0,2800.9356837652113,4806.509115275354,23539.516000000007,10044.020016662134,426.68761824423797
visual+criticality (learned),0.1,0.017391791944065583,19181.070975377246,35.0,4757.582477168821,4945.155908678964,4707.903200000002,191.06229314079974,40.58330960177764
visual+criticality (learned),0.2,0.1993271422783425,16978.232628713107,35.0,4053.968603114906,5403.0420346250485,9415.806400000003,2393.9006398049387,254.24276350934085
visual+criticality (learned),0.3,0.6862399866527975,11123.193199063757,26.0,3143.3078693330885,5614.881300843232,14123.709600000004,8248.94006945429,584.0491133755885
