seq,policy,eta
0000,random,-0.3685199455854782
0000,confidence (low first),-0.14632351849871045
0000,uncertainty,-0.019121765299277487
0000,scene complexity,-0.019121765299277487
0000,criticality,-0.054563926048015035
0000,uncertainty x criticality,0.046813758122006374
0000,PERCEPTION-GAIN ORACLE,-0.3117589359328697
0000,DECISION-VALUE ORACLE,1.0
0000,decision sensitivity (learned),0.4955316229773677
0000,visual+criticality (learned),-0.4195190596450001
0000,all cheap-side (learned),0.6150387360415721
0001,random,-0.3141614988692531
0001,confidence (low first),-0.004608910398459614
0001,uncertainty,-0.3975203794661299
0001,scene complexity,-0.10438871297755392
0001,criticality,-0.466260995090048
0001,uncertainty x criticality,-0.6191352159460243
0001,PERCEPTION-GAIN ORACLE,-0.35971387646663233
0001,DECISION-VALUE ORACLE,1.0
0001,decision sensitivity (learned),-0.33786849244882766
0001,visual+criticality (learned),-0.11260709582394059
0001,all cheap-side (learned),-0.5525649606963992
0002,random,0.2954865293908642
0002,confidence (low first),0.0
0002,uncertainty,0.3918226764651242
0002,scene complexity,0.6169496424336766
0002,criticality,0.7910438723629686
0002,uncertainty x criticality,0.623423263002048
0002,PERCEPTION-GAIN ORACLE,0.30960409022860413
0002,DECISION-VALUE ORACLE,1.0
0002,decision sensitivity (learned),0.2949327809180159
0002,visual+criticality (learned),0.0
0002,all cheap-side (learned),0.2083907365840358
0003,random,0.1299504089025654
0003,confidence (low first),0.6320030225760837
0003,uncertainty,0.1062711155383004
0003,scene complexity,0.07486006266733544
0003,criticality,0.0006019176188033087
0003,uncertainty x criticality,0.0
0003,PERCEPTION-GAIN ORACLE,0.6454540921309412
0003,DECISION-VALUE ORACLE,1.0
0003,decision sensitivity (learned),0.5722203921578426
0003,visual+criticality (learned),0.8842722646248359
0003,all cheap-side (learned),0.8546731338018158
0004,random,0.38661962279002837
0004,confidence (low first),0.6399661223672549
0004,uncertainty,0.10312111379918636
0004,scene complexity,0.09548133264058914
0004,criticality,0.20512673640860266
0004,uncertainty x criticality,0.19602881601314343
0004,PERCEPTION-GAIN ORACLE,0.35502197551159803
0004,DECISION-VALUE ORACLE,1.0
0004,decision sensitivity (learned),0.38789710288243034
0004,visual+criticality (learned),0.6399661223672549
0004,all cheap-side (learned),0.6676038992930363
0005,random,0.2327605093009313
0005,confidence (low first),0.5892464234831428
0005,uncertainty,0.0012077205413775112
0005,scene complexity,-0.0006115490742554936
0005,criticality,0.00047226469958664373
0005,uncertainty x criticality,0.0011748233253434026
0005,PERCEPTION-GAIN ORACLE,0.33294160203940004
0005,DECISION-VALUE ORACLE,1.0
0005,decision sensitivity (learned),0.7897415047727161
0005,visual+criticality (learned),0.7459795918526229
0005,all cheap-side (learned),0.8147459780685059
0006,random,0.020455759854557058
0006,confidence (low first),0.008523233272731981
0006,uncertainty,0.0
0006,scene complexity,0.0
0006,criticality,0.42343470354509954
0006,uncertainty x criticality,0.08335231922690148
0006,PERCEPTION-GAIN ORACLE,0.0
0006,DECISION-VALUE ORACLE,1.0
0006,decision sensitivity (learned),0.5874755095997632
0006,visual+criticality (learned),0.0
0006,all cheap-side (learned),0.4319579368178315
0007,random,0.14750824486081676
0007,confidence (low first),-0.013001316750952981
0007,uncertainty,-0.04347203868548806
0007,scene complexity,-0.16491552205640286
0007,criticality,0.021464678605296272
0007,uncertainty x criticality,0.004279077642079618
0007,PERCEPTION-GAIN ORACLE,-0.2960909867912379
0007,DECISION-VALUE ORACLE,1.0
0007,decision sensitivity (learned),0.16316651299727664
0007,visual+criticality (learned),-0.013001316750952981
0007,all cheap-side (learned),0.2959998392691163
0008,random,0.3071992287928227
0008,confidence (low first),0.5222467142341419
0008,uncertainty,0.0664758155608071
0008,scene complexity,0.05991860645351417
0008,criticality,0.0794403701007005
0008,uncertainty x criticality,0.057424742169311815
0008,PERCEPTION-GAIN ORACLE,0.5344532173626559
0008,DECISION-VALUE ORACLE,1.0
0008,decision sensitivity (learned),0.2301539352593265
0008,visual+criticality (learned),0.48456204937439407
0008,all cheap-side (learned),0.3106047098363422
0009,random,0.11228573204770735
0009,confidence (low first),0.0
0009,uncertainty,-0.05749999517851295
0009,scene complexity,-0.05171223024547624
0009,criticality,-0.058197163590290424
0009,uncertainty x criticality,-0.03953050809001757
0009,PERCEPTION-GAIN ORACLE,0.16604717086252763
0009,DECISION-VALUE ORACLE,1.0
0009,decision sensitivity (learned),0.23934147172604153
0009,visual+criticality (learned),0.0
0009,all cheap-side (learned),0.19200905082388273
0010,random,0.42769742682812395
0010,confidence (low first),0.7920935396938745
0010,uncertainty,0.10417292635074425
