kind,variant,action_differs,corr_dE_dJ,corr_crit_dJ,eta_dE_oracle,eta_criticality,eta_decision_learned,eta_visual_learned
planner,default,0.272977022977023,0.04116641398007735,-0.1543006081329895,0.155092544589673,0.00886854844105326,0.830857795820983,0.1993271422783425
planner,insensitive,0.05506993006993007,0.038244774347498775,-0.15884694139414476,0.13494282013880549,0.00950465095590082,0.9003804065955558,0.7223267893207506
planner,aggressive,0.2775974025974026,0.05092810340605112,-0.14856336045318824,0.1481678884856598,0.007078248744704536,0.8385362700757166,0.20311550500619205
planner,wide_corridor,0.2736013986013986,0.06984203497997499,-0.11682655355663192,0.14656991071690054,-0.00017042980487584316,0.6618488500531823,0.14360809277428563
planner,narrow_corridor,0.2571178821178821,0.03866494120034004,-0.15153711618796947,0.1458039651834739,0.011439447311971728,0.8777864723088522,0.21125226726746008
planner,no_ttc,0.13586413586413587,0.12576342570103138,-0.20726524372341526,0.16864656206310344,0.004395112624290903,0.9354757984695103,0.25301214240028164
cost,safety_heavy,0.272977022977023,0.056365687789823794,-0.16514220859243495,0.18359230354460224,0.006675438018158157,0.8510170661624402,0.22288891398750124
cost,comfort_heavy,0.272977022977023,0.02044355224357788,-0.11508590258732829,0.07779133431919981,0.01465975796308184,0.5544599558306188,0.13387146509975575
cost,no_collision_term,0.272977022977023,0.04116671695304056,-0.15430059787245728,0.15235658651062875,0.00891307706057531,0.8421471527759029,0.20039658053210527
cost,symmetric,0.272977022977023,-0.00032657434609607486,-0.09029859886743755,-0.022462700293858617,0.02138223788901044,0.4772687038155961,0.045102656907466704
