test,n,corr_dE_dJ,eta_E@20,eta_crit@20,eta_unc@20,eta_random@20,eta_speed@20,oracle_gap,act_diff,note
all KITTI 320->640,8008,0.04116641398007735,0.155092544589673,0.020832505692494604,0.024153154001849492,0.16583503116033743,0.7873982389547349,0.844907455410327,0.272977022977023,
speed-stratified budget,8008,0.04116641398007735,0.21272008239172938,0.12833864755553473,0.0335153668403071,0.18100424833902617,0.28529419054894706,0.7872799176082707,0.272977022977023,
non-empty CHEAP only,6839,-0.006486324522417954,0.10662462898896499,0.0456021988141676,0.04777590929812383,0.10868720368288656,0.57749222158074,0.893375371011035,0.2640736949846469,
non-empty + speed-stratified,6839,-0.006486324522417954,0.14986485290961174,0.07720835424939476,0.06322944716752196,0.10839873724125137,0.26564949538917765,0.8501351470903883,0.2640736949846469,
>=2 CHEAP candidates,5618,-0.03319560208738213,0.061298254876736936,0.07563035813732277,0.04506244028940947,0.10272060100663263,0.40106828721319887,0.9387017451232631,0.27020291918832323,
non-empty AND moving >5 m/s,3765,0.0430583217742753,0.12755185974120734,0.004171652016240235,0.020193006642347244,0.13341726253247443,0.5824911328950109,0.8724481402587927,0.3139442231075697,
oracle range,8008,0.14066368863586826,0.19796790236129846,0.020494076058021424,0.016257256443351745,0.1883309909131174,0.8642133312258609,0.8020320976387015,0.1717032967032967,
calibrated-noise GT range,8008,0.05559624445624511,0.1411053686063034,-0.009557306666248917,-0.007975300919255992,0.14832613190206234,0.7270540695632862,0.8588946313936966,0.34565434565434566,sigma=0.352
oracle range + non-empty,6839,0.10229272271506569,0.21045642050267027,0.05920385067285653,0.038100146971449964,0.14249734547785636,0.75352371277477,0.7895435794973298,0.14344202368767364,
moderate pair 384->640,8008,0.03196780570207961,0.1598532557078223,0.03599688322535845,0.059367390087529406,0.09360336984679887,0.5076465204605207,0.8401467442921777,0.22627372627372627,
384->640 non-empty,7243,0.006653758686931036,0.1665459114791074,0.04627895194902954,0.10221380495080509,0.08721792823105051,0.3963859856992446,0.8334540885208925,0.23194808780891896,
moderate pair 512->640,8008,0.0394466554330195,0.21329548506148446,0.03826249426484943,0.06667705295799309,0.058836910452922775,0.21380444734962872,0.7867045149385156,0.19068431568431568,
512->640 non-empty,7523,0.028102691569748085,0.1612854382392162,0.03777492970965708,0.07507554978119825,0.06489174989957887,0.1809495560212313,0.8387145617607838,0.1983251362488369,
