task,heuristic,eta_pooled,eta_speed_stratified
longitudinal,ego speed,0.7873982389547349,0.28529419054894706
longitudinal,empty-frame indicator,0.5599770218760464,0.11632978616028376
longitudinal,few cheap detections,0.6390085213165458,0.13024708295752926
longitudinal,low confidence,0.6314131931770671,0.12836474338973303
longitudinal,speed x empty,0.7316929610845623,0.563191717088386
longitudinal,criticality,0.020832505692494604,0.12833864755553473
longitudinal,uncertainty,0.024153154001849492,0.0335153668403071
longitudinal,PERCEPTION-GAIN ORACLE,0.155092544589673,0.21272008239172938
lateral,ego speed,-1.3252180130675901,-0.5958881040811324
lateral,empty-frame indicator,-0.8991067737547139,-0.5584147141442984
lateral,few cheap detections,-1.1600932180971026,-0.5331870828258131
lateral,low confidence,-1.0477756436969643,-0.548672475630638
lateral,speed x empty,-1.2192731968944732,-0.9076651269610094
lateral,criticality,-0.20883006244574884,-0.30854331667294016
lateral,uncertainty,-0.1428134167740966,-0.20382076484333758
lateral,PERCEPTION-GAIN ORACLE,-0.2567998003336294,-0.3193520038963845
