config,task,n,eta_E@20,oracle_gap,per_group_median,per_group_max,groups_above_0.5,n_groups
KITTI 320->640,longitudinal,8008,0.155092544589673,0.844907455410327,0.15926783835874103,0.6454540921309412,3,18
KITTI 320->640,lateral,8008,-0.2567998003336294,1.2567998003336294,-0.3079597712551491,0.5803530681010672,2,15
KITTI 512->640 (moderate),longitudinal,8008,0.21329548506148446,0.7867045149385156,-0.016012196662379453,0.9797842470868092,4,17
KITTI 512->640 (moderate),lateral,8008,-0.12963456097642934,1.1296345609764293,-0.0767657039596785,0.4999999999998579,0,14
KITTI oracle range,longitudinal,8008,0.19796790236129846,0.8020320976387015,0.4054221129785732,0.996268339220998,6,18
KITTI oracle range,lateral,8008,-0.24311418438032995,1.24311418438033,-0.2015503875969011,0.9166666666666684,2,15
nuScenes mini 320->640,longitudinal,404,0.058278508240641735,0.9417214917593583,0.0,1.0,2,7
nuScenes mini 320->640,lateral,404,-0.18073331607480086,1.1807333160748008,0.0,1.0,2,5
nuScenes mini oracle range,longitudinal,404,0.2705943278611892,0.7294056721388108,0.0,1.0,1,5
nuScenes mini oracle range,lateral,404,-0.2772656279628991,1.277265627962899,0.0,0.0,0,2
KITTI non-empty,longitudinal,6839,0.10662462898896499,0.893375371011035,0.12999225378598134,0.629299586311331,1,18
KITTI non-empty,lateral,6839,-0.07116708457390161,1.0711670845739016,-0.30795977125515817,0.5803530681010672,1,15
