config,task,metric,corr,eta@10,eta@20,eta@30,eta@50
KITTI 320->640,longitudinal,E1_fn_only,0.04116641398007735,0.03906143772602492,0.155092544589673,0.3315206471154514,0.42043220849369145
KITTI 320->640,longitudinal,E2_fn_fp,0.11353061388070307,0.13104874560219812,0.24368882694485025,0.32968363819488555,0.7558217898271121
KITTI 320->640,longitudinal,E3_class_aware,0.04285456739708848,0.03912437600901598,0.15252416206837863,0.326029368271161,0.44001253074503976
KITTI 320->640,longitudinal,E4_localization,0.05894073469896318,0.07243925492660692,0.17333351938938346,0.30146538037102677,0.6506456042899263
KITTI 320->640,longitudinal,E5_combined,0.11896128015629874,0.1237531691271824,0.22832401053882168,0.3295110327794692,0.7450818491758519
KITTI 320->640,longitudinal,E5_fp_heavy,0.1277099614122334,0.05321037145184053,0.19349308345646718,0.6008450794912998,0.6485644100449126
KITTI 320->640,longitudinal,E5_loc_heavy,0.1522622847762264,0.12175282247900064,0.2510619430498482,0.6303347321046852,0.7552594280787106
KITTI 320->640,longitudinal,E6_risk_weighted,0.04889800374713223,0.10067246008243937,0.2737974881634721,0.6259245308236124,0.7999652468382449
KITTI 320->640,lateral,E1_fn_only,-0.034026157580016786,-0.009756550253614792,-0.2567998003336294,-0.7576838329765633,-1.0531813956703244
KITTI 320->640,lateral,E2_fn_fp,-0.05031847217764449,-0.19117141161495707,-0.45564462007470413,-0.7335303399153221,-1.6201488056749516
KITTI 320->640,lateral,E3_class_aware,-0.03614742988612538,-0.0008334302020251509,-0.24997393361420384,-0.7631905698739807,-1.0627142188340668
KITTI 320->640,lateral,E4_localization,-0.04836609445557068,-0.0747246340510641,-0.3530336058981532,-0.6808801688020758,-1.3959414726496626
KITTI 320->640,lateral,E5_combined,-0.061578134159839405,-0.1703185963553774,-0.39594809414428633,-0.7448543523260611,-1.6131744236719796
KITTI 320->640,lateral,E5_fp_heavy,-0.049967612157187084,-0.12425485467374617,-0.47923759314865616,-1.207205389052442,-1.3227342780330025
KITTI 320->640,lateral,E5_loc_heavy,-0.07983886900657905,-0.23371968855120814,-0.6338404544104528,-1.3401516825487947,-1.6782787608372502
KITTI 320->640,lateral,E6_risk_weighted,-0.09402365023602328,-0.21526721411378333,-0.42607452592009293,-1.1364836858238312,-1.6840631561051236
KITTI 512->640,longitudinal,E1_fn_only,0.0394466554330195,0.018290080992192544,0.21329548506148446,0.2153857415510729,0.25270774673177304
KITTI 512->640,longitudinal,E2_fn_fp,0.04851900270686745,0.05089224512644218,0.09201657989584254,0.18509293265502752,0.3058589955567132
KITTI 512->640,longitudinal,E3_class_aware,0.03935553114507959,0.027541482909104277,0.22128795055527456,0.2163084990351347,0.2597892072640879
KITTI 512->640,longitudinal,E4_localization,0.04297477270820147,0.028554449515370943,0.1774668611242957,0.22624553241782827,0.2768164364003064
KITTI 512->640,longitudinal,E5_combined,0.053180426733983766,0.08635896583479645,0.14101734493974116,0.1986231781117409,0.27721855072760526
KITTI 512->640,longitudinal,E5_fp_heavy,0.04201662671942939,0.04464842103647999,0.06488421721606596,0.16769767296361932,0.21286275647487168
KITTI 512->640,longitudinal,E5_loc_heavy,0.047138658455700026,0.07286791574722952,0.14506744495428422,0.17048355247954128,0.21994165522333278
KITTI 512->640,longitudinal,E6_risk_weighted,0.03427129523729132,-0.0012152495135926004,0.19537917616447492,0.20204972034340954,0.24700452656594427
KITTI 512->640,lateral,E1_fn_only,-0.01469787237310294,0.010444452166205851,-0.12963456097642934,-0.21874206961627696,-0.0940252966686839
KITTI 512->640,lateral,E2_fn_fp,-0.0005506127051837513,0.004313335064875692,0.010420005502647193,-0.0678305555877594,-0.08969748908294273
KITTI 512->640,lateral,E3_class_aware,-0.01763953200087908,0.0028606657640078774,-0.1382174212868596,-0.2207402174327461,-0.18668707574060905
KITTI 512->640,lateral,E4_localization,-0.011603212743138278,-0.04809210355588927,-0.17390700926679015,-0.11516727816323914,-0.028221357052698213
KITTI 512->640,lateral,E5_combined,-0.0045233145337518,-0.00645489830766234,-0.1146846021738003,-0.09496840960022335,-0.1161108568773769
KITTI 512->640,lateral,E5_fp_heavy,0.00196217959017298,0.004896938383309221,-0.016658077952044822,-0.08144871581734157,-0.09248480050264209
KITTI 512->640,lateral,E5_loc_heavy,0.0015918802484376933,0.003042582948870549,-0.07209004757841439,-0.04361322134120813,-0.1083896637541498
KITTI 512->640,lateral,E6_risk_weighted,-0.015515194188767897,-0.0023109515541452188,-0.1919032334048892,-0.2199555131679001,-0.10792232718869026
nuScenes 320->640,longitudinal,E1_fn_only,0.0010446027778174623,-0.001740350947357407,0.04723266773504287,0.0767915656614851,0.10671467166420258
nuScenes 320->640,longitudinal,E2_fn_fp,0.07114753935906021,0.01705207976182026,0.03772574705106307,0.14455135732951427,0.21346354929074826
nuScenes 320->640,longitudinal,E3_class_aware,0.01185400921262934,0.015311100065014602,0.10760941277755025,0.11137147723691346,0.16831873233749386
nuScenes 320->640,longitudinal,E4_localization,0.004504222525220746,-0.002665392868402672,0.0433538209113576,0.08482165604774196,0.282071978390118
nuScenes 320->640,longitudinal,E5_combined,0.07463536364508201,0.0378774835510484,0.05729104519164042,0.1590690461231648,0.23259742036888
nuScenes 320->640,longitudinal,E5_fp_heavy,0.07141143654445181,0.026912865069634327,0.07901322192388778,0.14938087050736404,0.19939662725691473
nuScenes 320->640,longitudinal,E5_loc_heavy,0.08375728237000885,0.03702497123502918,0.15657288612685658,0.21026044140635372,0.2847693947500243
nuScenes 320->640,longitudinal,E6_risk_weighted,0.020512844728279998,0.10090553754626763,0.1646490591780407,0.17251465390340825,0.1506381891669974
nuScenes 320->640,lateral,E1_fn_only,-0.027481663907343957,-0.08451227767316148,-0.07257260624715331,-0.09795559575127051,-0.5267102031468401
nuScenes 320->640,lateral,E2_fn_fp,-0.002188960548255764,-0.18041601410652622,-0.10036946848812597,-0.11574886259377488,-0.023522860405598325
nuScenes 320->640,lateral,E3_class_aware,-0.031896667985047665,-0.1795551725740952,-0.3492415660543133,-0.43478017146515685,-0.5958853719588781
nuScenes 320->640,lateral,E4_localization,-0.018382678208944743,-0.09876871190830208,0.01296599916368756,-0.2586461663513685,-0.41195276211766985
nuScenes 320->640,lateral,E5_combined,-0.002862295446272326,-0.05301350724291017,-0.09376648510159558,-0.08901434035655051,-0.12511139715486896
nuScenes 320->640,lateral,E5_fp_heavy,-0.00593489625361062,0.037442729118226825,-0.11623677375537866,-0.10091049192642655,-0.09422309514908682
nuScenes 320->640,lateral,E5_loc_heavy,0.009482596335319596,0.03269058437317906,0.02318629488308758,0.017725651498798563,-0.09831820419127066
nuScenes 320->640,lateral,E6_risk_weighted,-0.050301424831874685,-0.2395022093334904,-0.31553652525423576,-0.4438444333704984,-0.6183237173678722
