task,variant,signal,n_frames,n_scenes,eta_10,eta_20,eta_30,eta_50,spearman_vs_dJ,kendall_vs_dJ,inversion_rate_vs_dJ,top10_overlap_vs_dJ,top20_overlap_vs_dJ
longitudinal,oracle,random,595,15,0.09394636043498733,0.1580746342577103,0.10012799605079363,0.16386204629204623,,,,,
longitudinal,oracle,uncertainty,595,15,0.5791369916996687,0.16765017720048786,0.15647365847554792,0.44503008195425064,-0.03209786248522548,-0.02651009580617918,0.5414343209038452,0.08333333333333333,0.2184873949579832
longitudinal,oracle,criticality,595,15,-0.1629421448132068,-0.41527438778396486,-0.08816009068659203,0.21866219610235324,-0.08979478305608317,-0.07200666711977668,0.6096341522042209,0.016666666666666666,0.14285714285714285
longitudinal,oracle,perception_oracle_dE,595,15,0.21472021399942956,0.21767997197936817,0.4249335921739116,0.13538376005688194,-0.037375381726471896,-0.033613296082622736,0.565385607428424,0.016666666666666666,0.3277310924369748
longitudinal,oracle,best_dE_metric (E5_combined),595,15,0.152794073363669,0.42076226124612065,0.45390650423010975,0.19457891965565832,0.034931825715840484,0.02874156165839369,0.45803436555891236,0.016666666666666666,0.24369747899159663
longitudinal,oracle,PKL_gain,595,15,0.3320880362137926,0.057241923982962344,0.012845554283880675,0.22713203203144763,-0.04544002043425883,-0.03741754878708816,0.5545608516815872,0.03333333333333333,0.16806722689075632
longitudinal,oracle,decision_oracle_dJ,595,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
lateral,oracle,random,595,15,,,,,,,,,
lateral,oracle,uncertainty,595,15,,,,,,,,0.0,0.21008403361344538
lateral,oracle,criticality,595,15,,,,,,,,0.0,0.15126050420168066
lateral,oracle,perception_oracle_dE,595,15,,,,,,,,0.06666666666666667,0.31092436974789917
lateral,oracle,best_dE_metric (E1_fn_only),595,15,,,,,,,,0.06666666666666667,0.31092436974789917
lateral,oracle,PKL_gain,595,15,,,,,,,,0.0,0.15966386554621848
lateral,oracle,decision_oracle_dJ,595,15,,,,,,,,1.0,1.0
