task,variant,signal,scene_normalised,n_frames,n_scenes,eta_10,eta_10_lo,eta_10_hi,eta_20,eta_20_lo,eta_20_hi,eta_30,eta_30_lo,eta_30_hi,eta_50,eta_50_lo,eta_50_hi,spearman_vs_dJ,kendall_vs_dJ,inversion_rate_vs_dJ,top10_overlap_vs_dJ,top20_overlap_vs_dJ
longitudinal,oracle,random,False,595,15,0.09394636043498733,-0.5557383825900448,0.4979631154527307,0.1580746342577103,-1.2273828697581357,0.6393997302243011,0.10012799605079363,-1.7549801477815536,0.7253722458155033,0.16386204629204623,-4.0898569761909656,0.7265065724576386,,,,,
longitudinal,oracle,uncertainty,False,595,15,0.5791369916996687,-2.113845520301335,0.8515672115114252,0.16765017720048786,-6.589788066101256,0.67101938938355,0.15647365847554792,-6.676445512767432,0.6734257797744743,0.44503008195425064,-6.889597414743751,0.9042582189521837,-0.03209786248522548,-0.02651009580617918,0.5414343209038452,0.08333333333333333,0.2184873949579832
longitudinal,oracle,criticality,False,595,15,-0.1629421448132068,-2.5097451740516905,0.013833421534132157,-0.41527438778396486,-6.8412813781263395,0.8482390686763707,-0.08816009068659203,-6.015646912838794,0.8482390686763707,0.21866219610235324,-6.238061177526389,0.8482390686763707,-0.08979478305608317,-0.07200666711977668,0.6096341522042209,0.016666666666666666,0.14285714285714285
longitudinal,oracle,perception_oracle_dE,False,595,15,0.21472021399942956,-0.11932384051140121,0.3956295387069709,0.21767997197936817,-0.7918664791048916,0.3329441686636299,0.4249335921739116,-1.3143613055542696,0.5500619371951653,0.13538376005688194,-6.768549951049543,0.7078079585933611,-0.037375381726471896,-0.033613296082622736,0.565385607428424,0.016666666666666666,0.3277310924369748
longitudinal,oracle,best_dE_metric (E5_combined),False,595,15,0.152794073363669,-1.2176414172110304,0.8058311661059204,0.42076226124612065,-1.381620414938679,0.821877559740322,0.45390650423010975,-0.902348138328971,0.8571924906321724,0.19457891965565832,-6.612993503726601,0.7527886811663298,0.034931825715840484,0.02874156165839369,0.45803436555891236,0.016666666666666666,0.24369747899159663
longitudinal,oracle,PKL_gain,False,595,15,0.3320880362137926,-0.424844179434368,0.5343485980118645,0.057241923982962344,-6.11953854273659,0.5273463430635649,0.012845554283880675,-6.949487697856745,0.46826095970270604,0.22713203203144763,-7.0662922079174155,0.49681390684080207,-0.04544002043425883,-0.03741754878708816,0.5545608516815872,0.03333333333333333,0.16806722689075632
longitudinal,oracle,TIP_gain,False,595,15,0.3141765000314333,-0.12064401652128517,0.48065383571318065,0.3141765000314333,-0.33703169136656363,0.47722152623820085,0.22239633289745517,-1.5147368396747891,0.4400025013060708,0.4655606526877249,-1.564349509784411,0.7612792894747352,0.035239011193523545,0.028793445501663167,0.45364222362235257,0.1,0.2184873949579832
longitudinal,oracle,decision_oracle_dJ,False,595,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
longitudinal,oracle,uncertainty [scene-z],True,595,15,-0.049728980454297037,-0.12591369188419393,0.7350655774185766,0.21524497551132454,-0.7934663795398517,0.5136669014116344,0.5264961914997107,-0.8575947378797208,0.7992318890259021,0.4352828601857813,-6.5843410744853195,0.8328226988684431,0.06854882266343285,0.05579634921361043,0.4169471963066269,0.11666666666666667,0.2184873949579832
longitudinal,oracle,criticality [scene-z],True,595,15,-0.010090846887669,-0.15824780143845799,0.0,-0.10672131964133356,-0.24165787288154414,0.6746202452170904,-0.08068049580919698,-2.8832632034444883,0.8784676704247719,0.18472959506376327,-5.947876747485989,0.9796652588980599,0.030946315903878575,0.026213901576652696,0.4559669217242526,0.03333333333333333,0.15966386554621848
longitudinal,oracle,perception_oracle_dE [scene-z],True,595,15,0.2218236331512829,-0.01934594472060211,0.3881604559825698,0.2065034532544291,-0.25537847559954685,0.334109094751911,0.47228971985293106,-0.7913223504849696,0.8638676021795803,0.40359061857115086,-0.9987613464583337,0.8457301191100027,0.004531703189458689,0.0035187042407480835,0.49868817413273736,0.1,0.17647058823529413
longitudinal,oracle,best_dE_metric (E5_combined) [scene-z],True,595,15,0.2072536201945426,-0.18856809923319115,0.9126493117589947,0.1557538313436076,-1.3143613055542696,0.8229914664430796,0.45390650423010975,-0.902348138328971,0.8508500150387774,0.5059836682300699,-0.42868994203074556,0.91764967984491,0.06909491546594757,0.056233584994316924,0.4114272053550084,0.1,0.21008403361344538
longitudinal,oracle,PKL_gain [scene-z],True,595,15,0.3165358885093243,-0.06025969838402591,0.4856316205334001,0.35677402058952834,-0.10982400866458139,0.8689454408654561,0.5823075786608634,-0.13082385291262733,0.966634675055177,0.4658690969070257,-1.4223702346999156,0.934900006150291,0.024156083320145367,0.01972424766823068,0.46149430785420453,0.05,0.17647058823529413
longitudinal,oracle,TIP_gain [scene-z],True,595,15,0.3141765000314333,-0.1722349906934758,0.48273489588734864,0.2668203723524122,-1.1664471883889573,0.4440807506770307,0.25011794150405803,-1.1664471883889573,0.4441739219611782,0.1956307249173082,-1.564349509784411,0.3936063198695942,0.00045179054996496363,0.000683873075585263,0.49236622838703464,0.1,0.19327731092436976
lateral,oracle,random,False,595,15,,,,,,,,,,,,,,,,,
lateral,oracle,uncertainty,False,595,15,,,,,,,,,,,,,,,,0.0,0.21008403361344538
lateral,oracle,criticality,False,595,15,,,,,,,,,,,,,,,,0.0,0.15126050420168066
