epoch,train_mse,val_ade,val_fde
0,21.56423623363177,2.2764604091644287,5.579796314239502
1,5.984605785120618,2.1126434803009033,4.963212013244629
2,5.74209042932048,2.07755446434021,4.9323930740356445
3,5.605194602951859,2.2005536556243896,5.052036285400391
4,5.3526506920655565,2.276538372039795,5.191549777984619
5,5.1270277599493665,1.9660251140594482,4.678735733032227
6,4.841301935188698,2.094045400619507,4.811316967010498
7,4.592507486542066,2.1302132606506348,4.913172721862793
8,4.3850188268856565,2.0116922855377197,4.674278736114502
9,4.180383377680273,2.125176191329956,4.828305244445801
10,4.036218262983091,2.0833981037139893,4.750766277313232
11,3.895629093728282,2.1462767124176025,4.852148532867432
12,3.630858539857648,2.200319290161133,4.910505294799805
13,3.474362240596251,2.1415839195251465,4.863958358764648
