epoch,train_mse,val_ade,val_fde
0,21.709015336903658,2.4132375717163086,5.785889148712158
1,5.862683302073767,2.195784091949463,5.113979339599609
2,5.697865996396903,2.1781320571899414,5.0530500411987305
3,5.557138228958303,2.0756683349609375,4.929471969604492
4,5.339504878177787,2.281872034072876,5.1962690353393555
5,5.070371933958747,2.1663753986358643,5.0522074699401855
6,4.846545324181065,2.2102549076080322,5.027099609375
7,4.622233574137543,2.143084764480591,4.99098014831543
8,4.383244445152355,1.998584508895874,4.705872058868408
9,4.141482275543791,2.191730260848999,4.946565628051758
10,4.061642507260496,2.1224896907806396,4.807575702667236
11,3.9025502080718675,2.103329658508301,4.753490447998047
12,3.7340505972053064,2.2837250232696533,5.110545635223389
13,3.591109013467124,2.062431812286377,4.811573028564453
14,3.311987767842683,2.255403995513916,5.091634273529053
15,3.3037071228027344,2.419416904449463,5.354355812072754
16,3.029648842459375,2.3628017902374268,5.268308639526367
