task,variant,signal,scene_normalised,n_frames,n_scenes,eta_10,reduction_frac_10,eta_10_lo,eta_10_hi,eta_10_boot_dropped,eta_20,reduction_frac_20,eta_20_lo,eta_20_hi,eta_20_boot_dropped,eta_30,reduction_frac_30,eta_30_lo,eta_30_hi,eta_30_boot_dropped,eta_50,reduction_frac_50,eta_50_lo,eta_50_hi,eta_50_boot_dropped,spearman_vs_dJ,kendall_vs_dJ,inversion_rate_vs_dJ,top10_overlap_vs_dJ,top20_overlap_vs_dJ
longitudinal,mono,random,False,3376,85,0.04324628087819846,0.012097609329182498,-0.03810972699697919,0.17813623711828697,0.0,0.1029456037791113,0.028797752578634737,-0.026787874947771396,0.2673193507954722,0.0,0.15006973612608687,0.04198014263700849,-0.01991140789561715,0.32319800084862255,0.0,0.2586166080723362,0.07234478033635156,0.015596786769030216,0.42587407762598145,0.0,,,,,
longitudinal,mono,uncertainty,False,3376,85,0.17274138999685074,0.04832225589635277,-0.022672280701837216,0.35625813881148855,0.0,0.19781977011073765,0.055337620895739084,0.009265077887028931,0.3491005497969387,0.0,0.20828809449745497,0.05826600447439506,-0.002368493229625677,0.3666493428586579,0.0,0.35289749489680067,0.09871868608846981,0.13734782568952048,0.5061245637953149,0.0,0.017065068785421977,0.013918198875716868,0.4862601767515616,0.14497041420118342,0.19703703703703704
longitudinal,mono,criticality,False,3376,85,0.07008962838376587,0.01960670200987934,0.011992591644500603,0.16964897297501624,0.0,0.17728780160484559,0.04959405801126964,0.058996095878602405,0.34332991047436107,0.0,0.30839434368031726,0.08626948291072417,0.08706508264113988,0.442578638886334,0.0,0.42743299906315413,0.1195690665662225,0.2036093180021754,0.580796118166919,0.0,0.043117970098407656,0.0343085594716256,0.4665051552200124,0.15088757396449703,0.23851851851851852
longitudinal,mono,perception_oracle_dE,False,3376,85,-0.001740350947357407,-0.000486841537104673,-0.07389580708921248,0.07035258754055022,0.0,0.04723266773504287,0.013212751483600758,-0.08525955918147346,0.14149555424282834,0.0,0.0767915656614851,0.021481485627987074,-0.09861402151647904,0.2236528323162195,0.0,0.10671467166420258,0.0298521024529609,-0.10163170829050966,0.34670305399216955,0.0,0.0010446027778174623,0.001120494810253127,0.4959356030614938,0.08875739644970414,0.18666666666666668
longitudinal,mono,best_dE_metric (E6_risk_weighted),False,3376,85,0.10090553754626763,0.028227069417229255,-0.006412558322639134,0.2551500972162377,0.0,0.1646490591780407,0.04605852697399311,-0.011036687791056102,0.34794266948506153,0.0,0.17251465390340825,0.04825882929356541,-0.004782799109740868,0.36440018098499255,0.0,0.1506381891669974,0.0421391603067658,-0.08636846537795527,0.4089234810129801,0.0,0.020512844728279998,0.01773305673609424,0.48153237074988353,0.16272189349112426,0.2740740740740741
longitudinal,mono,multimetric_dE_oracle,False,3376,85,0.1191387472326077,0.0333275831058782,0.03332442876230071,0.21866995848871884,0.0,0.15110765672153223,0.04227048801754595,0.036666245441244236,0.2755822541331585,0.0,0.2608564365257982,0.07297134449502884,0.02620474330802577,0.4137182726025727,0.0,0.3416593707074586,0.09557496058711615,0.08277952028937118,0.5172338280135698,0.0,0.00468379078966793,0.003539809762091579,0.49580272822665267,0.15088757396449703,0.20592592592592593
longitudinal,mono,PKL_gain,False,3376,85,0.023847973403474918,0.006671174021658267,-0.05897412580412181,0.10074929828598594,0.0,0.06780696534702368,0.018968155409156653,-0.04254271534137188,0.18517329331220567,0.0,0.08072509117284345,0.02258184047831076,-0.07216046962010601,0.23086839502914452,0.0,0.06058170027028928,0.016946977346601375,-0.0761419771653528,0.2798186487502956,0.0,0.0033775906446405373,0.0030274018630205403,0.4961867079534377,0.10650887573964497,0.2162962962962963
longitudinal,mono,TIP_gain,False,3376,85,0.07087895408737653,0.019827506060582756,0.0005641399056931581,0.16010579370620578,0.0,0.027436464669855845,0.007675009832282737,-0.0895611617708715,0.1411019162500496,0.0,0.055725735173832086,0.015588581492434403,-0.09874382341562737,0.1973519016514302,0.0,0.10856525688880693,0.03036978065841572,-0.02759903649388741,0.33317805281215496,0.0,-0.007344962125055041,-0.005632105313908196,0.5040595917429436,0.11834319526627218,0.19407407407407407
longitudinal,mono,decision_oracle_dJ,False,3376,85,1.0,0.2797375654858036,1.0,1.0,0.0,1.0,0.2797375654858036,1.0,1.0,0.0,1.0,0.2797375654858036,1.0,1.0,0.0,1.0,0.2797375654858036,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
longitudinal,mono,uncertainty [scene-z],True,3376,85,0.033148213752201054,0.009272800615243758,-0.0295357198571762,0.12078013444408282,0.0,0.03136478363666341,0.008773908216509191,-0.07533514672405338,0.1854157712450484,0.0,0.1479577012341679,0.041389327138122003,0.0059459622657607,0.3490219512019213,0.0,0.30519012638359794,0.0853731429648524,0.1312881340819157,0.47862233349583333,0.0,0.06676868070692352,0.0529459027097201,0.44951670912632996,0.10650887573964497,0.22962962962962963
