geometry,quantity,value,baseline,paired_diff,lo,hi,n
oracle,spearman (all frames),-0.022923538316143507,0.0,-0.022923538316143507,-0.07272345300770425,0.03076448170402272,2655
oracle,spearman (both respond),-0.14578343437948457,0.0,-0.14578343437948457,-0.3572445252471574,0.09080258361586377,153
oracle,responsive_frac brake @10,0.46616541353383456,,,,,2655
oracle,responsive_frac plan @10,1.0,,,,,2655
oracle,responsive_frac brake @20,0.2335216572504708,,,,,2655
oracle,responsive_frac plan @20,1.0,,,,,2655
oracle,responsive_frac brake @30,0.15577889447236182,,,,,2655
oracle,responsive_frac plan @30,0.7487437185929648,,,,,2655
oracle,overlap@10,0.10009398496240601,0.10018832391713747,-9.433895473145992e-05,-0.021091180612837414,0.04650363205718473,2655
oracle,overlap@20,0.2055084745762712,0.2,0.005508474576271183,-0.023505752247435743,0.03411955060697437,2655
oracle,overlap@30,0.29805276381909546,0.2998116760828625,-0.0017589122637670651,-0.02628818525193678,0.027738617673586652,2655
oracle,cross_eta brake->plan @10,-0.016271155003746426,0.00824927533906539,-0.024520430342811816,-0.14508273051925902,0.05879497496175151,2655
oracle,cross_eta brake->plan @20,0.009915692475792803,0.043763261779180565,-0.03384756930338776,-0.11213033045545555,0.052172255001065974,2655
oracle,cross_eta brake->plan @30,0.024685478295034088,0.030275119426222193,-0.005589641131188105,-0.09520516446934274,0.05233770211646443,2655
oracle,cross_eta plan->brake @10,0.017618015669568037,0.070370019181704,-0.052752003512135964,-0.2255937980550028,0.07715049915270145,2655
oracle,cross_eta plan->brake @20,0.036677281108629584,0.11112150678863165,-0.07444422568000207,-0.24526299709693797,0.10545292394016996,2655
oracle,cross_eta plan->brake @30,0.13598461223398442,0.10203298736538824,0.03395162486859618,-0.18587548156445122,0.10911464839367169,2655
