geometry,quantity,value,baseline,paired_diff,lo,hi,n
mono,spearman (all frames),-0.01402972010543084,0.0,-0.01402972010543084,-0.06229467846335023,0.036889769744198074,2655
mono,spearman (both respond),-0.013936624054968198,0.0,-0.013936624054968198,-0.14943852034597294,0.11072112830877798,309
mono,responsive_frac brake @10,0.8270676691729323,,,,,2655
mono,responsive_frac plan @10,1.0,,,,,2655
mono,responsive_frac brake @20,0.4143126177024482,,,,,2655
mono,responsive_frac plan @20,1.0,,,,,2655
mono,responsive_frac brake @30,0.27638190954773867,,,,,2655
mono,responsive_frac plan @30,0.9309045226130653,,,,,2655
mono,overlap@10,0.15225563909774437,0.10018832391713747,0.05206731518060689,-0.0062445210718215845,0.1103974511957411,2655
mono,overlap@20,0.221045197740113,0.2,0.021045197740112986,-0.015022669979114339,0.05816648929145074,2655
mono,overlap@30,0.31736809045226133,0.2998116760828625,0.01755641436939881,-0.01486181378054996,0.04770719671137282,2655
mono,cross_eta brake->plan @10,0.10677636980637938,0.0390381803063803,0.06773818949999907,-0.06592668205395504,0.2255446997528732,2655
mono,cross_eta brake->plan @20,0.12233755958490967,0.07405207678179122,0.04828548280311845,-0.06373253213808461,0.18347888778794277,2655
mono,cross_eta brake->plan @30,0.12358087314169,0.06847653866970156,0.05510433447198844,-0.06134642382035454,0.16884778408964565,2655
mono,cross_eta plan->brake @10,0.09970253793496454,0.09087288092957854,0.008829657005386002,-0.06448819696833526,0.13875146372199418,2655
mono,cross_eta plan->brake @20,0.12474581186994194,0.12275610471127459,0.0019897071586673504,-0.10146832658303874,0.14602637100755494,2655
mono,cross_eta plan->brake @30,0.18519622625089527,0.11753224448551107,0.0676639817653842,-0.09556182180674462,0.19061504201341484,2655
