geometry,target,signal,deployable,quota,eta,lo,hi,boot_dropped,n_frames,n_scenes
oracle,brake,random,True,0.1,0.03903415072764123,,,0,3376,85
oracle,brake,random,True,0.2,0.07801386092022654,,,0,3376,85
oracle,brake,random,True,0.3,0.1261713305733973,,,0,3376,85
oracle,brake,uncertainty (cheap),True,0.1,0.06104995580162888,-0.017713301297336878,0.15494541632318864,0,3376,85
oracle,brake,uncertainty (cheap),True,0.2,0.018076897757209782,-0.11919580975796308,0.18241219573415401,0,3376,85
oracle,brake,uncertainty (cheap),True,0.3,0.09286235801027284,-0.08491007036963515,0.2489521092517378,0,3376,85
oracle,brake,linear (OOF by scene),True,0.1,0.1028244699484247,-0.034450392232277194,0.23655617278573612,0,3376,85
oracle,brake,linear (OOF by scene),True,0.2,0.16475443734763415,-0.01595885374101303,0.29977419414167145,0,3376,85
oracle,brake,linear (OOF by scene),True,0.3,0.19818036281030063,0.025151616449917175,0.4155025930800013,0,3376,85
oracle,brake,gbm (OOF by scene),True,0.1,0.16568977270180837,-0.03258981001195895,0.32782170364558805,0,3376,85
oracle,brake,gbm (OOF by scene),True,0.2,0.1748706265021373,-0.03845072863578189,0.3316009959532857,0,3376,85
oracle,brake,gbm (OOF by scene),True,0.3,0.23847220406377226,0.01270933730560917,0.4127606154710139,0,3376,85
oracle,brake,decision oracle,False,0.1,1.0,1.0,1.0,0,3376,85
oracle,brake,decision oracle,False,0.2,1.0,1.0,1.0,0,3376,85
oracle,brake,decision oracle,False,0.3,1.0,1.0,1.0,0,3376,85
oracle,plan,random,True,0.1,0.01781387668056999,,,0,2655,85
oracle,plan,random,True,0.2,0.03624088159300534,,,0,2655,85
oracle,plan,random,True,0.3,0.06812066874116941,,,0,2655,85
oracle,plan,uncertainty (cheap),True,0.1,0.10284271172831742,0.020776849812561424,0.19724060766447593,0,2655,85
oracle,plan,uncertainty (cheap),True,0.2,0.10336042573607127,-0.011743569391414571,0.209000009261518,0,2655,85
oracle,plan,uncertainty (cheap),True,0.3,0.15712783421102972,0.018055976398312093,0.279597128457913,0,2655,85
