geometry,target,model,feature,weight,kind,rank
oracle,brake,linear,feat_riskw_ent_sum,-0.20095002629050343,standardised coefficient,1
oracle,brake,linear,feat_crit_p90,0.16523447925709348,standardised coefficient,2
oracle,brake,linear,feat_riskw_unc_sum,0.1260166115713264,standardised coefficient,3
oracle,brake,linear,feat_crit_max,-0.093272063917133,standardised coefficient,4
oracle,brake,linear,feat_z_p25,0.08893458865393247,standardised coefficient,5
oracle,brake,linear,feat_conf_inv_sum,-0.08670965995580537,standardised coefficient,6
oracle,brake,linear,feat_z_min,0.07625071287439714,standardised coefficient,7
oracle,brake,linear,feat_crit_small_sum,0.07318012777171745,standardised coefficient,8
oracle,brake,linear,feat_motion_mean,0.07092943774916247,standardised coefficient,9
oracle,brake,linear,feat_n_in_corridor,-0.07007239212200322,standardised coefficient,10
oracle,brake,linear,feat_margin_mean,0.06330423675607129,standardised coefficient,11
oracle,brake,linear,feat_lat_abs_min,-0.0613207015889906,standardised coefficient,12
oracle,brake,linear,feat_crit_sum_corridor,0.06011315984842877,standardised coefficient,13
oracle,brake,linear,feat_binent_max,0.05981352226716925,standardised coefficient,14
oracle,brake,linear,feat_motion_p95,-0.05426233941706052,standardised coefficient,15
oracle,plan,linear,feat_crit_borderline_sum,0.02849933589769364,standardised coefficient,1
oracle,plan,linear,feat_crit_borderline_max,0.028035964327721645,standardised coefficient,2
oracle,plan,linear,feat_conf_std,-0.01943041112716502,standardised coefficient,3
oracle,plan,linear,feat_ttc_min,0.018177098884215443,standardised coefficient,4
oracle,plan,linear,feat_nms_ratio,0.017363516287802156,standardised coefficient,5
oracle,plan,linear,feat_ent_mean,0.017247567346051408,standardised coefficient,6
oracle,plan,linear,feat_ent_max,0.016115015955088154,standardised coefficient,7
oracle,plan,linear,feat_crit_small_sum,-0.014855323324774862,standardised coefficient,8
oracle,plan,linear,feat_ent_sum,0.014792678617349338,standardised coefficient,9
oracle,plan,linear,feat_n_in_corridor,-0.014072897013832485,standardised coefficient,10
oracle,plan,linear,feat_n_small,-0.013396422360549833,standardised coefficient,11
oracle,plan,linear,feat_riskw_unc_sum,0.013310187205089733,standardised coefficient,12
oracle,plan,linear,feat_overlap_pairs,0.012795072152442103,standardised coefficient,13
oracle,plan,linear,feat_n_ttc_lt4,0.009550973878423465,standardised coefficient,14
oracle,plan,linear,feat_motion_first,-0.00942317290298291,standardised coefficient,15
mono,brake,linear,feat_crit_small_sum,0.08913332297880854,standardised coefficient,1
mono,brake,linear,feat_crit_sum_corridor,0.07864488182712827,standardised coefficient,2
mono,brake,linear,feat_n_ttc_lt2,0.05450993080387372,standardised coefficient,3
mono,brake,linear,feat_riskw_unc_sum,0.052469858059614044,standardised coefficient,4
mono,brake,linear,feat_riskw_unc_mean,0.036910125516593895,standardised coefficient,5
mono,brake,linear,feat_ent_sum,-0.0350423814998011,standardised coefficient,6
mono,brake,linear,feat_crit_sum,-0.030264478349925572,standardised coefficient,7
mono,brake,linear,feat_img_bright_std,-0.02737342177061746,standardised coefficient,8
mono,brake,linear,feat_motion_mean,0.025747991048717556,standardised coefficient,9
mono,brake,linear,feat_ent_max,-0.025697723055488907,standardised coefficient,10
mono,brake,linear,feat_crit_borderline_sum,-0.025421560976264412,standardised coefficient,11
mono,brake,linear,feat_area_frac_mean,0.024812806763029015,standardised coefficient,12
mono,brake,linear,feat_n_in_corridor,-0.023535860299417198,standardised coefficient,13
mono,brake,linear,feat_conf_p25,-0.019799102809793665,standardised coefficient,14
mono,brake,linear,feat_n_borderline,-0.019577565884718977,standardised coefficient,15
mono,plan,linear,feat_crit_borderline_sum,0.03470111801464213,standardised coefficient,1
mono,plan,linear,feat_crit_sum_corridor,0.025943625219210082,standardised coefficient,2
mono,plan,linear,feat_ttc_min,0.0254019476609868,standardised coefficient,3
mono,plan,linear,feat_conf_std,-0.018113063839480626,standardised coefficient,4
mono,plan,linear,feat_riskw_unc_sum,0.01768931789210821,standardised coefficient,5
mono,plan,linear,feat_overlap_max,0.016025901331382906,standardised coefficient,6
mono,plan,linear,feat_n_small,-0.014187907041344597,standardised coefficient,7
mono,plan,linear,feat_borderline_max,-0.013554260469336674,standardised coefficient,8
mono,plan,linear,feat_borderline_gap,0.013554260469336669,standardised coefficient,9
mono,plan,linear,feat_ent_mean,0.013462073257271017,standardised coefficient,10
mono,plan,linear,feat_img_bright_std,-0.012572979097471406,standardised coefficient,11
mono,plan,linear,feat_conf_frac_low,0.012346791041663648,standardised coefficient,12
mono,plan,linear,feat_crit_mean,0.011088343089288303,standardised coefficient,13
mono,plan,linear,feat_conf_median,-0.010405964403095855,standardised coefficient,14
mono,plan,linear,feat_img_bright_mean,0.010035109190175884,standardised coefficient,15
