dataset,mode,split,threshold,det_per_frame,precision,recall,f1
KITTI,cheap_320,trainval,0.1,6.520348837209302,0.5078020508247882,0.5560693641618497,0.530840775575815
KITTI,cheap_320,trainval,0.11,6.158989266547406,0.5295719420542424,0.548085260115607,0.5386695788351076
KITTI,cheap_320,trainval,0.12,5.846153846153846,0.5510633414932681,0.5417991329479769,0.5463919708161216
KITTI,cheap_320,trainval,0.13,5.588327370304114,0.5695250290104438,0.5356575144508671,0.5520723490652418
KITTI,cheap_320,trainval,0.14,5.341457960644007,0.5876418135387449,0.5286127167630058,0.5565664946583169
KITTI,cheap_320,trainval,0.15,5.124105545617174,0.6037530002181977,0.5214234104046243,0.5595761614688284
KITTI,cheap_320,trainval,0.16,4.911449016100179,0.6211983245310508,0.5145231213872833,0.5628508682070793
KITTI,cheap_320,trainval,0.17,4.705948121645796,0.6380137799952483,0.5065390173410405,0.5647251466615926
KITTI,cheap_320,trainval,0.18,4.536896243291592,0.6516831780767903,0.49938583815028903,0.5654593173900876
KITTI,cheap_320,trainval,0.19,4.373881932021467,0.6647239263803681,0.4912933526011561,0.5649992474737646
KITTI,cheap_320,trainval,0.2,4.207289803220036,0.6791389848525113,0.483128612716763,0.5646057349957365
KITTI,cheap_320,trainval,0.21,4.082737030411449,0.6896155110088729,0.47626445086705205,0.5634188139430351
KITTI,cheap_320,trainval,0.22,3.959078711985689,0.7008189776899181,0.46958092485549136,0.5623568884177065
KITTI,cheap_320,trainval,0.23,3.82737030411449,0.7142439822388409,0.4629335260115607,0.5617631713364879
KITTI,cheap_320,trainval,0.24,3.7081842576028623,0.7248386902249292,0.45509393063583814,0.5591330941774523
KITTI,cheap_320,trainval,0.25,3.597495527728086,0.7370089507707608,0.4489523121387283,0.5579977742337503
KITTI,cheap_320,trainval,0.26,3.4890429338103757,0.7481894507466513,0.44216040462427747,0.555836166627949
KITTI,cheap_320,trainval,0.27,3.3989266547406083,0.7572368421052632,0.4361994219653179,0.5535381867659149
KITTI,cheap_320,trainval,0.28,3.2920393559928445,0.7681021600326042,0.4286849710982659,0.5502630229035878
KITTI,cheap_320,trainval,0.29,3.2104203935599283,0.7777390819809152,0.42326589595375724,0.5481916151904755
KITTI,cheap_320,trainval,0.3,3.1216457960644006,0.7871776504297995,0.4164378612716763,0.5447097914556513
KITTI,cheap_320,trainval,0.31,3.040026833631485,0.7961015079073188,0.4102601156069364,0.5414772656932975
KITTI,cheap_320,trainval,0.32,2.959525939177102,0.8038534189648658,0.40321531791907517,0.5370464862257773
KITTI,cheap_320,trainval,0.33,2.8839445438282647,0.8116616267348996,0.3967485549132948,0.5329739559897173
