spec,t_cheap,t_full,file,seconds
nusc_oracle,0.1,0.1,nusc_oracle__c0.100000__f0.100000.npz,0.0
nusc_oracle,0.15,0.15,nusc_oracle__c0.150000__f0.150000.npz,0.0
nusc_oracle,0.2,0.2,nusc_oracle__c0.200000__f0.200000.npz,0.0
nusc_oracle,0.25,0.25,nusc_oracle__c0.250000__f0.250000.npz,0.0
nusc_oracle,0.3,0.3,nusc_oracle__c0.300000__f0.300000.npz,0.0
nusc_oracle,0.34,0.34,nusc_oracle__c0.340000__f0.340000.npz,0.0
nusc_oracle,0.35,0.35,nusc_oracle__c0.350000__f0.350000.npz,0.0
nusc_oracle,0.4,0.4,nusc_oracle__c0.400000__f0.400000.npz,0.0
nusc_oracle,0.45,0.45,nusc_oracle__c0.450000__f0.450000.npz,0.0
nusc_oracle,0.498046875,0.498046875,nusc_oracle__c0.498047__f0.498047.npz,0.0
nusc_oracle,0.5,0.5,nusc_oracle__c0.500000__f0.500000.npz,0.0
nusc_oracle,0.55,0.55,nusc_oracle__c0.550000__f0.550000.npz,0.0
nusc_oracle,0.6,0.6,nusc_oracle__c0.600000__f0.600000.npz,0.0
nusc_oracle,0.65,0.65,nusc_oracle__c0.650000__f0.650000.npz,0.0
nusc_oracle,0.7,0.7,nusc_oracle__c0.700000__f0.700000.npz,0.0
nusc_mono,0.1,0.1,nusc_mono__c0.100000__f0.100000.npz,0.0
nusc_mono,0.15,0.15,nusc_mono__c0.150000__f0.150000.npz,0.0
nusc_mono,0.2,0.2,nusc_mono__c0.200000__f0.200000.npz,0.0
nusc_mono,0.25,0.25,nusc_mono__c0.250000__f0.250000.npz,0.0
nusc_mono,0.3,0.3,nusc_mono__c0.300000__f0.300000.npz,0.0
nusc_mono,0.34,0.34,nusc_mono__c0.340000__f0.340000.npz,0.0
nusc_mono,0.35,0.35,nusc_mono__c0.350000__f0.350000.npz,0.0
nusc_mono,0.4,0.4,nusc_mono__c0.400000__f0.400000.npz,0.0
nusc_mono,0.45,0.45,nusc_mono__c0.450000__f0.450000.npz,0.0
nusc_mono,0.498046875,0.498046875,nusc_mono__c0.498047__f0.498047.npz,0.0
nusc_mono,0.5,0.5,nusc_mono__c0.500000__f0.500000.npz,0.0
nusc_mono,0.55,0.55,nusc_mono__c0.550000__f0.550000.npz,0.0
nusc_mono,0.6,0.6,nusc_mono__c0.600000__f0.600000.npz,0.0
nusc_mono,0.65,0.65,nusc_mono__c0.650000__f0.650000.npz,0.0
nusc_mono,0.7,0.7,nusc_mono__c0.700000__f0.700000.npz,0.0
nusc_mono,0.15,0.45,nusc_mono__c0.150000__f0.450000.npz,0.0
nusc_mono,0.45,0.15,nusc_mono__c0.450000__f0.150000.npz,0.0
kitti_y8_320_mono,0.1,0.1,kitti_y8_320_mono__c0.100000__f0.100000.npz,52.273632287979126
kitti_y8_320_mono,0.15,0.15,kitti_y8_320_mono__c0.150000__f0.150000.npz,52.10570049285889
kitti_y8_320_mono,0.2,0.2,kitti_y8_320_mono__c0.200000__f0.200000.npz,52.01983094215393
kitti_y8_320_mono,0.25,0.25,kitti_y8_320_mono__c0.250000__f0.250000.npz,50.00020718574524
kitti_y8_320_mono,0.3,0.3,kitti_y8_320_mono__c0.300000__f0.300000.npz,50.49662160873413
kitti_y8_320_mono,0.35,0.35,kitti_y8_320_mono__c0.350000__f0.350000.npz,49.89424538612366
kitti_y8_320_mono,0.4,0.4,kitti_y8_320_mono__c0.400000__f0.400000.npz,49.9214448928833
kitti_y8_320_mono,0.45,0.45,kitti_y8_320_mono__c0.450000__f0.450000.npz,49.702975273132324
kitti_y8_320_mono,0.5,0.5,kitti_y8_320_mono__c0.500000__f0.500000.npz,50.43668007850647
kitti_y8_320_mono,0.55,0.55,kitti_y8_320_mono__c0.550000__f0.550000.npz,49.72580623626709
kitti_y8_320_mono,0.56396484375,0.56396484375,kitti_y8_320_mono__c0.563965__f0.563965.npz,49.85231041908264
kitti_y8_320_mono,0.6,0.6,kitti_y8_320_mono__c0.600000__f0.600000.npz,49.109052419662476
kitti_y8_320_mono,0.65,0.65,kitti_y8_320_mono__c0.650000__f0.650000.npz,49.39516282081604
kitti_y8_320_mono,0.7,0.7,kitti_y8_320_mono__c0.700000__f0.700000.npz,49.833598613739014
kitti_y8_320_oracle,0.1,0.1,kitti_y8_320_oracle__c0.100000__f0.100000.npz,57.63565921783447
kitti_y8_320_oracle,0.15,0.15,kitti_y8_320_oracle__c0.150000__f0.150000.npz,57.217628717422485
kitti_y8_320_oracle,0.2,0.2,kitti_y8_320_oracle__c0.200000__f0.200000.npz,56.88654136657715
kitti_y8_320_oracle,0.25,0.25,kitti_y8_320_oracle__c0.250000__f0.250000.npz,56.6236834526062
kitti_y8_320_oracle,0.3,0.3,kitti_y8_320_oracle__c0.300000__f0.300000.npz,56.532084703445435
kitti_y8_320_oracle,0.35,0.35,kitti_y8_320_oracle__c0.350000__f0.350000.npz,58.09253168106079
kitti_y8_320_oracle,0.4,0.4,kitti_y8_320_oracle__c0.400000__f0.400000.npz,56.08037757873535
kitti_y8_320_oracle,0.45,0.45,kitti_y8_320_oracle__c0.450000__f0.450000.npz,55.984283208847046
kitti_y8_320_oracle,0.5,0.5,kitti_y8_320_oracle__c0.500000__f0.500000.npz,56.1746768951416
kitti_y8_320_oracle,0.55,0.55,kitti_y8_320_oracle__c0.550000__f0.550000.npz,55.26361155509949
kitti_y8_320_oracle,0.56396484375,0.56396484375,kitti_y8_320_oracle__c0.563965__f0.563965.npz,55.380701780319214
kitti_y8_320_oracle,0.6,0.6,kitti_y8_320_oracle__c0.600000__f0.600000.npz,55.866058588027954
kitti_y8_320_oracle,0.65,0.65,kitti_y8_320_oracle__c0.650000__f0.650000.npz,54.59456467628479
kitti_y8_320_oracle,0.7,0.7,kitti_y8_320_oracle__c0.700000__f0.700000.npz,54.44026184082031
kitti_y8_384_mono,0.1,0.1,kitti_y8_384_mono__c0.100000__f0.100000.npz,51.99430704116821
kitti_y8_384_mono,0.15,0.15,kitti_y8_384_mono__c0.150000__f0.150000.npz,50.54421854019165
kitti_y8_384_mono,0.2,0.2,kitti_y8_384_mono__c0.200000__f0.200000.npz,50.60806107521057
kitti_y8_384_mono,0.25,0.25,kitti_y8_384_mono__c0.250000__f0.250000.npz,50.44969582557678
kitti_y8_384_mono,0.29,0.29,kitti_y8_384_mono__c0.290000__f0.290000.npz,50.1235556602478
kitti_y8_384_mono,0.3,0.3,kitti_y8_384_mono__c0.300000__f0.300000.npz,50.220643043518066
kitti_y8_384_mono,0.35,0.35,kitti_y8_384_mono__c0.350000__f0.350000.npz,50.357138872146606
kitti_y8_384_mono,0.4,0.4,kitti_y8_384_mono__c0.400000__f0.400000.npz,49.82401919364929
kitti_y8_384_mono,0.43408203125,0.43408203125,kitti_y8_384_mono__c0.434082__f0.434082.npz,49.96167206764221
kitti_y8_384_mono,0.45,0.45,kitti_y8_384_mono__c0.450000__f0.450000.npz,50.12210822105408
kitti_y8_384_mono,0.5,0.5,kitti_y8_384_mono__c0.500000__f0.500000.npz,50.86531376838684
kitti_y8_384_mono,0.55,0.55,kitti_y8_384_mono__c0.550000__f0.550000.npz,50.673046350479126
kitti_y8_384_mono,0.6,0.6,kitti_y8_384_mono__c0.600000__f0.600000.npz,49.86642360687256
kitti_y8_384_mono,0.65,0.65,kitti_y8_384_mono__c0.650000__f0.650000.npz,49.834986448287964
kitti_y8_384_mono,0.7,0.7,kitti_y8_384_mono__c0.700000__f0.700000.npz,49.28079867362976
kitti_y8_384_mono,0.15,0.45,kitti_y8_384_mono__c0.150000__f0.450000.npz,51.330456495285034
kitti_y8_384_mono,0.45,0.15,kitti_y8_384_mono__c0.450000__f0.150000.npz,50.1782443523407
kitti_y8_512_mono,0.1,0.1,kitti_y8_512_mono__c0.100000__f0.100000.npz,51.128204345703125
kitti_y8_512_mono,0.15,0.15,kitti_y8_512_mono__c0.150000__f0.150000.npz,51.980876445770264
kitti_y8_512_mono,0.2,0.2,kitti_y8_512_mono__c0.200000__f0.200000.npz,50.922293186187744
kitti_y8_512_mono,0.25,0.25,kitti_y8_512_mono__c0.250000__f0.250000.npz,50.703309774398804
kitti_y8_512_mono,0.26,0.26,kitti_y8_512_mono__c0.260000__f0.260000.npz,50.63005018234253
kitti_y8_512_mono,0.3,0.3,kitti_y8_512_mono__c0.300000__f0.300000.npz,50.8474178314209
kitti_y8_512_mono,0.30078125,0.30078125,kitti_y8_512_mono__c0.300781__f0.300781.npz,50.598331689834595
kitti_y8_512_mono,0.35,0.35,kitti_y8_512_mono__c0.350000__f0.350000.npz,50.956918716430664
kitti_y8_512_mono,0.4,0.4,kitti_y8_512_mono__c0.400000__f0.400000.npz,51.209197759628296
kitti_y8_512_mono,0.45,0.45,kitti_y8_512_mono__c0.450000__f0.450000.npz,50.15777516365051
kitti_y8_512_mono,0.5,0.5,kitti_y8_512_mono__c0.500000__f0.500000.npz,50.497525453567505
kitti_y8_512_mono,0.55,0.55,kitti_y8_512_mono__c0.550000__f0.550000.npz,50.6278510093689
kitti_y8_512_mono,0.6,0.6,kitti_y8_512_mono__c0.600000__f0.600000.npz,49.91930627822876
kitti_y8_512_mono,0.65,0.65,kitti_y8_512_mono__c0.650000__f0.650000.npz,49.54412317276001
kitti_y8_512_mono,0.7,0.7,kitti_y8_512_mono__c0.700000__f0.700000.npz,51.010677337646484
kitti_rt_480_mono,0.1,0.1,kitti_rt_480_mono__c0.100000__f0.100000.npz,54.19462585449219
kitti_rt_480_mono,0.15,0.15,kitti_rt_480_mono__c0.150000__f0.150000.npz,52.682902812957764
kitti_rt_480_mono,0.2,0.2,kitti_rt_480_mono__c0.200000__f0.200000.npz,53.00055646896362
kitti_rt_480_mono,0.25,0.25,kitti_rt_480_mono__c0.250000__f0.250000.npz,51.834261894226074
kitti_rt_480_mono,0.252685546875,0.252685546875,kitti_rt_480_mono__c0.252686__f0.252686.npz,52.488317012786865
kitti_rt_480_mono,0.3,0.3,kitti_rt_480_mono__c0.300000__f0.300000.npz,51.79022216796875
kitti_rt_480_mono,0.35,0.35,kitti_rt_480_mono__c0.350000__f0.350000.npz,51.13326621055603
kitti_rt_480_mono,0.4,0.4,kitti_rt_480_mono__c0.400000__f0.400000.npz,51.22313332557678
kitti_rt_480_mono,0.45,0.45,kitti_rt_480_mono__c0.450000__f0.450000.npz,51.18205785751343
kitti_rt_480_mono,0.5,0.5,kitti_rt_480_mono__c0.500000__f0.500000.npz,50.71453046798706
kitti_rt_480_mono,0.55,0.55,kitti_rt_480_mono__c0.550000__f0.550000.npz,50.77983331680298
kitti_rt_480_mono,0.6,0.6,kitti_rt_480_mono__c0.600000__f0.600000.npz,50.694546937942505
kitti_rt_480_mono,0.65,0.65,kitti_rt_480_mono__c0.650000__f0.650000.npz,50.14857864379883
kitti_rt_480_mono,0.7,0.7,kitti_rt_480_mono__c0.700000__f0.700000.npz,50.13248634338379
