variant,role,mode,threshold,file
oracle,cheap,ns_cheap_320,0.1,plan__oracle__cheap__t0.100000.npz
oracle,cheap,ns_cheap_320,0.15,plan__oracle__cheap__t0.150000.npz
oracle,cheap,ns_cheap_320,0.2,plan__oracle__cheap__t0.200000.npz
oracle,cheap,ns_cheap_320,0.25,plan__oracle__cheap__t0.250000.npz
oracle,cheap,ns_cheap_320,0.3,plan__oracle__cheap__t0.300000.npz
oracle,cheap,ns_cheap_320,0.35,plan__oracle__cheap__t0.350000.npz
oracle,cheap,ns_cheap_320,0.4,plan__oracle__cheap__t0.400000.npz
oracle,cheap,ns_cheap_320,0.45,plan__oracle__cheap__t0.450000.npz
oracle,cheap,ns_cheap_320,0.5,plan__oracle__cheap__t0.500000.npz
oracle,cheap,ns_cheap_320,0.55,plan__oracle__cheap__t0.550000.npz
oracle,cheap,ns_cheap_320,0.6,plan__oracle__cheap__t0.600000.npz
oracle,cheap,ns_cheap_320,0.65,plan__oracle__cheap__t0.650000.npz
oracle,cheap,ns_cheap_320,0.7,plan__oracle__cheap__t0.700000.npz
oracle,full,ns_full_640,0.1,plan__oracle__full__t0.100000.npz
oracle,full,ns_full_640,0.15,plan__oracle__full__t0.150000.npz
oracle,full,ns_full_640,0.2,plan__oracle__full__t0.200000.npz
oracle,full,ns_full_640,0.25,plan__oracle__full__t0.250000.npz
oracle,full,ns_full_640,0.3,plan__oracle__full__t0.300000.npz
oracle,full,ns_full_640,0.34,plan__oracle__full__t0.340000.npz
oracle,full,ns_full_640,0.35,plan__oracle__full__t0.350000.npz
oracle,full,ns_full_640,0.4,plan__oracle__full__t0.400000.npz
oracle,full,ns_full_640,0.45,plan__oracle__full__t0.450000.npz
oracle,full,ns_full_640,0.498046875,plan__oracle__full__t0.498047.npz
oracle,full,ns_full_640,0.5,plan__oracle__full__t0.500000.npz
oracle,full,ns_full_640,0.55,plan__oracle__full__t0.550000.npz
oracle,full,ns_full_640,0.6,plan__oracle__full__t0.600000.npz
oracle,full,ns_full_640,0.65,plan__oracle__full__t0.650000.npz
oracle,full,ns_full_640,0.7,plan__oracle__full__t0.700000.npz
mono,cheap,ns_cheap_320,0.1,plan__mono__cheap__t0.100000.npz
mono,cheap,ns_cheap_320,0.15,plan__mono__cheap__t0.150000.npz
mono,cheap,ns_cheap_320,0.2,plan__mono__cheap__t0.200000.npz
mono,cheap,ns_cheap_320,0.25,plan__mono__cheap__t0.250000.npz
mono,cheap,ns_cheap_320,0.3,plan__mono__cheap__t0.300000.npz
mono,cheap,ns_cheap_320,0.35,plan__mono__cheap__t0.350000.npz
mono,cheap,ns_cheap_320,0.4,plan__mono__cheap__t0.400000.npz
mono,cheap,ns_cheap_320,0.45,plan__mono__cheap__t0.450000.npz
mono,cheap,ns_cheap_320,0.5,plan__mono__cheap__t0.500000.npz
mono,cheap,ns_cheap_320,0.55,plan__mono__cheap__t0.550000.npz
mono,cheap,ns_cheap_320,0.6,plan__mono__cheap__t0.600000.npz
mono,cheap,ns_cheap_320,0.65,plan__mono__cheap__t0.650000.npz
mono,cheap,ns_cheap_320,0.7,plan__mono__cheap__t0.700000.npz
mono,full,ns_full_640,0.1,plan__mono__full__t0.100000.npz
mono,full,ns_full_640,0.15,plan__mono__full__t0.150000.npz
mono,full,ns_full_640,0.2,plan__mono__full__t0.200000.npz
mono,full,ns_full_640,0.25,plan__mono__full__t0.250000.npz
mono,full,ns_full_640,0.3,plan__mono__full__t0.300000.npz
mono,full,ns_full_640,0.34,plan__mono__full__t0.340000.npz
mono,full,ns_full_640,0.35,plan__mono__full__t0.350000.npz
mono,full,ns_full_640,0.4,plan__mono__full__t0.400000.npz
mono,full,ns_full_640,0.45,plan__mono__full__t0.450000.npz
mono,full,ns_full_640,0.498046875,plan__mono__full__t0.498047.npz
mono,full,ns_full_640,0.5,plan__mono__full__t0.500000.npz
mono,full,ns_full_640,0.55,plan__mono__full__t0.550000.npz
mono,full,ns_full_640,0.6,plan__mono__full__t0.600000.npz
mono,full,ns_full_640,0.65,plan__mono__full__t0.650000.npz
mono,full,ns_full_640,0.7,plan__mono__full__t0.700000.npz
