geometry,scheme,split,n_plan_frames,both_nonzero,opposite_sign
oracle,S0,all,2655,153,80
oracle,S0,test,752,32,17
oracle,S1,all,2655,120,58
oracle,S1,test,752,30,21
oracle,S2,all,2655,120,57
oracle,S2,test,752,26,17
oracle,S3,all,2655,135,71
oracle,S3,test,752,29,18
oracle,S4,all,2655,127,63
oracle,S4,test,752,26,17
mono,S0,all,2655,309,156
mono,S0,test,752,80,44
mono,S1,all,2655,261,129
mono,S1,test,752,65,35
mono,S2,all,2655,273,137
mono,S2,test,752,71,41
mono,S3,all,2655,285,149
mono,S3,test,752,74,43
mono,S4,all,2655,263,131
mono,S4,test,752,73,43
