cell,scheme,t_cheap,t_full,at_grid_floor,S3_target_not_reached,S4_tie
nuScenes oracle Y8 320->640 q_brake,S0,0.25,0.25,False,False,False
nuScenes oracle Y8 320->640 q_brake,S1,0.25,0.498046875,False,False,False
nuScenes oracle Y8 320->640 q_brake,S2,0.25,0.4,False,False,False
nuScenes oracle Y8 320->640 q_brake,S3,0.25,0.34,False,False,False
nuScenes oracle Y8 320->640 q_brake,S4,0.25,0.35,False,False,False
nuScenes oracle Y8 320->640 q_plan,S0,0.25,0.25,False,False,False
nuScenes oracle Y8 320->640 q_plan,S1,0.25,0.498046875,False,False,False
nuScenes oracle Y8 320->640 q_plan,S2,0.25,0.4,False,False,False
nuScenes oracle Y8 320->640 q_plan,S3,0.25,0.34,False,False,False
nuScenes oracle Y8 320->640 q_plan,S4,0.25,0.4,False,False,False
nuScenes mono Y8 320->640 q_brake,S0,0.25,0.25,False,False,False
nuScenes mono Y8 320->640 q_brake,S1,0.25,0.498046875,False,False,False
nuScenes mono Y8 320->640 q_brake,S2,0.25,0.4,False,False,False
nuScenes mono Y8 320->640 q_brake,S3,0.25,0.34,False,False,False
nuScenes mono Y8 320->640 q_brake,S4,0.45,0.4,False,False,False
nuScenes mono Y8 320->640 q_plan,S0,0.25,0.25,False,False,False
nuScenes mono Y8 320->640 q_plan,S1,0.25,0.498046875,False,False,False
nuScenes mono Y8 320->640 q_plan,S2,0.25,0.4,False,False,False
nuScenes mono Y8 320->640 q_plan,S3,0.25,0.34,False,False,False
nuScenes mono Y8 320->640 q_plan,S4,0.3,0.45,False,False,False
KITTI mono Y8 320->640 q_traj,S0,0.25,0.25,False,False,False
KITTI mono Y8 320->640 q_traj,S1,0.25,0.56396484375,False,False,False
KITTI mono Y8 320->640 q_traj,S2,0.2,0.35,False,False,False
KITTI mono Y8 320->640 q_traj,S3,0.25,0.3,False,False,False
KITTI mono Y8 320->640 q_traj,S4,0.1,0.35,True,False,False
KITTI mono Y8 320->640 q_brake,S0,0.25,0.25,False,False,False
KITTI mono Y8 320->640 q_brake,S1,0.25,0.56396484375,False,False,False
KITTI mono Y8 320->640 q_brake,S2,0.2,0.35,False,False,False
KITTI mono Y8 320->640 q_brake,S3,0.25,0.3,False,False,False
KITTI mono Y8 320->640 q_brake,S4,0.1,0.45,True,False,False
KITTI mono Y8 384->640 q_traj,S0,0.25,0.25,False,False,False
KITTI mono Y8 384->640 q_traj,S1,0.25,0.43408203125,False,False,False
KITTI mono Y8 384->640 q_traj,S2,0.25,0.35,False,False,False
KITTI mono Y8 384->640 q_traj,S3,0.25,0.29,False,False,False
KITTI mono Y8 384->640 q_traj,S4,0.1,0.35,True,False,False
KITTI mono Y8 384->640 q_brake,S0,0.25,0.25,False,False,False
KITTI mono Y8 384->640 q_brake,S1,0.25,0.43408203125,False,False,False
KITTI mono Y8 384->640 q_brake,S2,0.25,0.35,False,False,False
KITTI mono Y8 384->640 q_brake,S3,0.25,0.29,False,False,False
KITTI mono Y8 384->640 q_brake,S4,0.1,0.45,True,False,False
KITTI mono Y8 512->640 q_traj,S0,0.25,0.25,False,False,False
KITTI mono Y8 512->640 q_traj,S1,0.25,0.30078125,False,False,False
KITTI mono Y8 512->640 q_traj,S2,0.3,0.35,False,False,False
KITTI mono Y8 512->640 q_traj,S3,0.25,0.26,False,False,False
KITTI mono Y8 512->640 q_traj,S4,0.1,0.35,True,False,False
KITTI mono Y8 512->640 q_brake,S0,0.25,0.25,False,False,False
KITTI mono Y8 512->640 q_brake,S1,0.25,0.30078125,False,False,False
KITTI mono Y8 512->640 q_brake,S2,0.3,0.35,False,False,False
KITTI mono Y8 512->640 q_brake,S3,0.25,0.26,False,False,False
KITTI mono Y8 512->640 q_brake,S4,0.25,0.45,False,False,False
KITTI mono RT-DETR 480->640 q_traj,S0,0.25,0.25,False,False,False
KITTI mono RT-DETR 480->640 q_traj,S1,0.25,0.252685546875,False,False,False
KITTI mono RT-DETR 480->640 q_traj,S2,0.5,0.55,False,False,False
KITTI mono RT-DETR 480->640 q_traj,S3,0.25,0.25,False,False,False
KITTI mono RT-DETR 480->640 q_traj,S4,0.15,0.1,True,False,False
KITTI mono RT-DETR 480->640 q_brake,S0,0.25,0.25,False,False,False
KITTI mono RT-DETR 480->640 q_brake,S1,0.25,0.252685546875,False,False,False
KITTI mono RT-DETR 480->640 q_brake,S2,0.5,0.55,False,False,False
KITTI mono RT-DETR 480->640 q_brake,S3,0.25,0.25,False,False,False
KITTI mono RT-DETR 480->640 q_brake,S4,0.55,0.6,False,False,False
KITTI oracle Y8 320->640 q_traj,S0,0.25,0.25,False,False,False
KITTI oracle Y8 320->640 q_traj,S1,0.25,0.56396484375,False,False,False
KITTI oracle Y8 320->640 q_traj,S2,0.2,0.35,False,False,False
KITTI oracle Y8 320->640 q_traj,S3,0.25,0.3,False,False,False
KITTI oracle Y8 320->640 q_traj,S4,0.1,0.35,True,False,False
KITTI oracle Y8 320->640 q_brake,S0,0.25,0.25,False,False,False
KITTI oracle Y8 320->640 q_brake,S1,0.25,0.56396484375,False,False,False
KITTI oracle Y8 320->640 q_brake,S2,0.2,0.35,False,False,False
KITTI oracle Y8 320->640 q_brake,S3,0.25,0.3,False,False,False
KITTI oracle Y8 320->640 q_brake,S4,0.1,0.35,True,False,False
