track,geometry,system,target,split,signal,deployable,input_dim,width_mult,gflops,trt_vs_torch_spearman,quota,k,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,tie_frac,responsive_frac,boot_dropped,n_units,n_frames
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.99992077225479,0.1,354,0.02493768609290825,-0.04652015131978297,0.07988983093153285,-0.040316581931178305,-0.12509007398244393,0.0317181608315727,0.8006042296072508,0.002824858757062147,0.2401129943502825,7,6,3536
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.99992077225479,0.2,707,0.06697244015802023,-0.05246011582274197,0.17188269900748046,-0.048328076556398814,-0.14655331909606464,0.06100134647759478,0.7552870090634441,0.0014144271570014145,0.23903818953323905,7,6,3536
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.99992077225479,0.3,1061,0.13388599749778632,-0.007740517263698374,0.24813182922566485,-0.04605828519023293,-0.1883349766779579,0.08476539403119504,0.7099697885196374,0.000942507068803016,0.21394910461828465,7,6,3536
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.99992077225479,0.5,1768,0.24799772391742403,-0.001227751844617984,0.3647961613709989,-0.06748075275512748,-0.21258044001861964,0.05877020944443851,0.783484390735146,0.0011312217194570137,0.23340874811463047,7,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999082979155409,0.1,354,0.06234920189066811,0.00042035421383885646,0.14348875560643437,-0.03831843898262538,-0.09941345169339441,0.04477548554952143,0.7733773377337734,0.002824858757062147,0.07344632768361582,91,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999082979155409,0.2,707,0.1154029604781561,0.029631071184341776,0.23062816420180238,-0.09107745642324687,-0.17022476233702635,0.031885797885333154,0.9405940594059405,0.0014144271570014145,0.07637906647807638,91,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999082979155409,0.3,1061,0.14882993643336345,0.033012602812577875,0.3087275042038235,-0.1353033284097654,-0.2660831254799561,0.011969229963661177,0.9328932893289329,0.000942507068803016,0.07822808671065033,91,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999082979155409,0.5,1768,0.2515522405321434,0.09248670384117061,0.43868426553621037,-0.24082477290962293,-0.40557719615833815,-0.05778818374642003,1.0,0.0005656108597285068,0.06561085972850679,91,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999082232155649,0.1,354,0.015080469389977251,-0.03225936354584942,0.06313222910341262,-0.026296849839245184,-0.11543602325804106,0.05252923933145158,0.724,0.002824858757062147,0.3149717514124294,0,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999082232155649,0.2,707,0.0632761811194608,-0.030433039496623793,0.1484410891335108,-0.007009057206588493,-0.13227811809831402,0.1217259612071052,0.55,0.0014144271570014145,0.33097595473833097,0,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999082232155649,0.3,1061,0.10217214627287621,0.015354922399613212,0.18875951502404448,0.004763552338683655,-0.14424054840156766,0.1233055383443825,0.497,0.001885014137606032,0.36663524976437323,0,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999082232155649,0.5,1768,0.21365188880301417,-0.0963047969184849,0.3029393822005405,0.0028687311254224977,-0.15948278921806452,0.13603500542512215,0.412,0.0022624434389140274,0.3778280542986425,0,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998989694979737,0.1,354,0.12267290693067637,-0.0011094561172819276,0.3030652509745934,0.057946736065358016,-0.09098533813668423,0.277277018972128,0.3323045267489712,0.002824858757062147,0.14124293785310735,28,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998989694979737,0.2,707,0.11457398807573423,0.050519328862938806,0.24375915444868335,-0.007681727943047725,-0.1174557888390644,0.18825952370737967,0.654320987654321,0.0014144271570014145,0.14992927864214992,28,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998989694979737,0.3,1061,0.13253114808994423,0.04724551877083888,0.33415275760265,-0.05063984118153898,-0.1880728066188982,0.09131611756489685,0.6975308641975309,0.000942507068803016,0.1423185673892554,28,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998989694979737,0.5,1768,0.26399490042722207,0.0568832904493753,0.41573037585820144,-0.06203770069621976,-0.14714710656893668,0.04439379174984111,0.8611111111111112,0.0005656108597285068,0.1430995475113122,28,6,3536
