cell,g_variant,arch,constant,n_distinct_test,tie_frac_20,eta20_recomputed,eta20_in_122,matches_122
nuScenes|oracle|brake|J,primary,gate_ridge,False,955,0.005235602094240838,0.05020802933097202,0.050208029330972,True
nuScenes|oracle|brake|J,primary,gate_gbm,False,929,0.005235602094240838,0.057221893618905256,0.0572218936189052,True
nuScenes|oracle|brake|J,primary,R1_mlp_reg,False,812,0.005235602094240838,0.39574272276724476,0.3957427227672447,True
nuScenes|oracle|brake|J,primary,R1_mlp_clf,False,805,0.005235602094240838,0.2863070824042956,0.2863070824042956,True
nuScenes|oracle|brake|J,primary,R1_gbm_reg,False,756,0.005235602094240838,0.327947070048186,0.327947070048186,True
nuScenes|oracle|brake|J,primary,R1_gbm_clf,False,775,0.005235602094240838,0.07187867848138414,0.0718786784813841,True
nuScenes|oracle|brake|J,dE_exact,gate_ridge,False,955,0.005235602094240838,-0.019440074960022313,-0.0194400749600223,True
nuScenes|oracle|brake|J,dE_exact,gate_gbm,False,939,0.005235602094240838,-0.1980646622102013,-0.1980646622102013,True
nuScenes|oracle|brake|J,dE_exact,R1_mlp_reg,False,812,0.005235602094240838,0.12564857958601017,0.1256485795860101,True
nuScenes|oracle|brake|J,dE_exact,R1_mlp_clf,False,780,0.005235602094240838,0.2437457968169071,0.2437457968169071,True
nuScenes|oracle|brake|J,dE_exact,R1_gbm_reg,False,742,0.005235602094240838,-0.10926102071497208,-0.109261020714972,True
nuScenes|oracle|brake|J,dE_exact,R1_gbm_clf,False,777,0.005235602094240838,0.38209095086816985,0.3820909508681698,True
nuScenes|oracle|brake|J,dE_E6_risk_weighted,gate_ridge,False,955,0.005235602094240838,0.412974587340285,0.412974587340285,True
nuScenes|oracle|brake|J,dE_E6_risk_weighted,gate_gbm,False,940,0.005235602094240838,0.3408054002428427,0.3408054002428427,True
nuScenes|oracle|brake|J,dE_E6_risk_weighted,R1_mlp_reg,False,812,0.005235602094240838,0.3580454917635915,0.3580454917635915,True
nuScenes|oracle|brake|J,dE_E6_risk_weighted,R1_mlp_clf,False,783,0.005235602094240838,0.17041447616364927,0.1704144761636492,True
nuScenes|oracle|brake|J,dE_E6_risk_weighted,R1_gbm_reg,False,698,0.005235602094240838,0.25431167725200243,0.2543116772520024,True
nuScenes|oracle|brake|J,dE_E6_risk_weighted,R1_gbm_clf,False,767,0.005235602094240838,0.13100618173365386,0.1310061817336538,True
nuScenes|oracle|brake|J,V (official),gate_ridge,False,955,0.005235602094240838,,,
nuScenes|oracle|brake|J,V (official),gate_gbm,False,928,0.005235602094240838,,,
nuScenes|oracle|brake|J,V (official),R1_mlp_reg,False,812,0.005235602094240838,,,
nuScenes|oracle|brake|J,V (official),R1_mlp_clf,False,663,0.24083769633507854,,,
nuScenes|oracle|brake|J,V (official),R1_gbm_reg,False,761,0.005235602094240838,,,
nuScenes|oracle|brake|J,V (official),R1_gbm_clf,False,792,0.005235602094240838,,,
nuScenes|oracle|plan_ade|JC_ade,primary,gate_ridge,False,752,0.006666666666666667,0.1648044292770215,0.1648044292770215,True
nuScenes|oracle|plan_ade|JC_ade,primary,gate_gbm,False,745,0.006666666666666667,-0.0326552658849063,-0.0326552658849063,True
nuScenes|oracle|plan_ade|JC_ade,primary,R1_mlp_reg,False,653,0.006666666666666667,-0.021399763036233,-0.021399763036233,True
nuScenes|oracle|plan_ade|JC_ade,primary,R1_mlp_clf,False,646,0.006666666666666667,-0.06921724125256012,-0.0692172412525601,True
nuScenes|oracle|plan_ade|JC_ade,primary,R1_gbm_reg,False,613,0.006666666666666667,-0.024631363057759273,-0.0246313630577592,True
nuScenes|oracle|plan_ade|JC_ade,primary,R1_gbm_clf,False,631,0.006666666666666667,-0.07227387682260966,-0.0722738768226096,True
nuScenes|oracle|plan_ade|JC_ade,dE_exact,gate_ridge,False,752,0.006666666666666667,0.09815114290698511,0.0981511429069851,True
nuScenes|oracle|plan_ade|JC_ade,dE_exact,gate_gbm,False,743,0.006666666666666667,0.14137084805971728,0.1413708480597172,True
nuScenes|oracle|plan_ade|JC_ade,dE_exact,R1_mlp_reg,False,653,0.006666666666666667,0.09778138792572341,0.0977813879257234,True
nuScenes|oracle|plan_ade|JC_ade,dE_exact,R1_mlp_clf,False,616,0.006666666666666667,0.08087744767124797,0.0808774476712479,True
nuScenes|oracle|plan_ade|JC_ade,dE_exact,R1_gbm_reg,False,608,0.006666666666666667,0.09746604456187498,0.0974660445618749,True
nuScenes|oracle|plan_ade|JC_ade,dE_exact,R1_gbm_clf,False,632,0.006666666666666667,0.13912295607902106,0.139122956079021,True
nuScenes|oracle|plan_ade|JC_ade,dE_E6_risk_weighted,gate_ridge,False,752,0.006666666666666667,0.10298296190758416,0.1029829619075841,True
nuScenes|oracle|plan_ade|JC_ade,dE_E6_risk_weighted,gate_gbm,False,745,0.006666666666666667,0.021065829041427814,0.0210658290414278,True
nuScenes|oracle|plan_ade|JC_ade,dE_E6_risk_weighted,R1_mlp_reg,False,653,0.006666666666666667,0.11908550708999689,0.1190855070899968,True
nuScenes|oracle|plan_ade|JC_ade,dE_E6_risk_weighted,R1_mlp_clf,False,640,0.006666666666666667,-0.027026011716296955,-0.0270260117162969,True
nuScenes|oracle|plan_ade|JC_ade,dE_E6_risk_weighted,R1_gbm_reg,False,586,0.006666666666666667,0.14497957449471596,0.1449795744947159,True
nuScenes|oracle|plan_ade|JC_ade,dE_E6_risk_weighted,R1_gbm_clf,False,623,0.006666666666666667,0.10091590651801109,0.100915906518011,True
nuScenes|oracle|plan_ade|JC_ade,V (official),gate_ridge,False,752,0.006666666666666667,,,
nuScenes|oracle|plan_ade|JC_ade,V (official),gate_gbm,False,747,0.006666666666666667,,,
nuScenes|oracle|plan_ade|JC_ade,V (official),R1_mlp_reg,False,653,0.006666666666666667,,,
nuScenes|oracle|plan_ade|JC_ade,V (official),R1_mlp_clf,False,644,0.006666666666666667,,,
nuScenes|oracle|plan_ade|JC_ade,V (official),R1_gbm_reg,False,593,0.006666666666666667,,,
nuScenes|oracle|plan_ade|JC_ade,V (official),R1_gbm_clf,False,638,0.006666666666666667,,,
nuScenes|oracle|plan_fde|JC_fde,primary,gate_ridge,False,752,0.006666666666666667,0.27129468795721845,0.2712946879572184,True
nuScenes|oracle|plan_fde|JC_fde,primary,gate_gbm,False,745,0.006666666666666667,0.055000138457540294,0.0550001384575402,True
nuScenes|oracle|plan_fde|JC_fde,primary,R1_mlp_reg,False,653,0.006666666666666667,0.003151277090257433,0.0031512770902574,True
nuScenes|oracle|plan_fde|JC_fde,primary,R1_mlp_clf,False,646,0.006666666666666667,0.030559112753103784,0.0305591127531037,True
nuScenes|oracle|plan_fde|JC_fde,primary,R1_gbm_reg,False,613,0.006666666666666667,-0.061901490667826214,-0.0619014906678262,True
nuScenes|oracle|plan_fde|JC_fde,primary,R1_gbm_clf,False,631,0.006666666666666667,-0.06506121349855956,-0.0650612134985595,True
nuScenes|oracle|plan_fde|JC_fde,dE_exact,gate_ridge,False,752,0.006666666666666667,0.19288860416879128,0.1928886041687912,True
nuScenes|oracle|plan_fde|JC_fde,dE_exact,gate_gbm,False,743,0.006666666666666667,0.18391693989737873,0.1839169398973787,True
nuScenes|oracle|plan_fde|JC_fde,dE_exact,R1_mlp_reg,False,653,0.006666666666666667,0.1646522255597982,0.1646522255597982,True
