track,geometry,system,target,signal,max_abs_diff_vs_official
nuScenes,oracle,brake,J,R1_mlp_reg,0.0
nuScenes,oracle,brake,J,R1_mlp_clf,0.0
nuScenes,oracle,brake,J,R1_gbm_reg,0.0
nuScenes,oracle,brake,J,R1_gbm_clf,0.0
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_reg,0.0
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_clf,0.0
nuScenes,oracle,plan_ade,JC_ade,R1_gbm_reg,0.0
nuScenes,oracle,plan_ade,JC_ade,R1_gbm_clf,0.0
nuScenes,oracle,plan_fde,JC_fde,R1_mlp_reg,0.0
nuScenes,oracle,plan_fde,JC_fde,R1_mlp_clf,0.0
nuScenes,oracle,plan_fde,JC_fde,R1_gbm_reg,0.0
nuScenes,oracle,plan_fde,JC_fde,R1_gbm_clf,0.0
nuScenes,mono,brake,J,R1_mlp_reg,0.0
nuScenes,mono,brake,J,R1_mlp_clf,0.0
nuScenes,mono,brake,J,R1_gbm_reg,0.0
nuScenes,mono,brake,J,R1_gbm_clf,0.0
nuScenes,mono,plan_ade,JC_ade,R1_mlp_reg,0.0
nuScenes,mono,plan_ade,JC_ade,R1_mlp_clf,0.0
nuScenes,mono,plan_ade,JC_ade,R1_gbm_reg,0.0
nuScenes,mono,plan_ade,JC_ade,R1_gbm_clf,0.0
nuScenes,mono,plan_fde,JC_fde,R1_mlp_reg,0.0
nuScenes,mono,plan_fde,JC_fde,R1_mlp_clf,0.0
nuScenes,mono,plan_fde,JC_fde,R1_gbm_reg,0.0
nuScenes,mono,plan_fde,JC_fde,R1_gbm_clf,0.0
KITTI,oracle,brake,J,R1_mlp_reg,0.0
KITTI,oracle,brake,J,R1_mlp_clf,0.0
KITTI,oracle,brake,J,R1_gbm_reg,5.551115123125783e-17
KITTI,oracle,brake,J,R1_gbm_clf,0.0
KITTI,oracle,traj,JB,R1_mlp_reg,0.0
KITTI,oracle,traj,JB,R1_mlp_clf,0.0
KITTI,oracle,traj,JB,R1_gbm_reg,0.0
KITTI,oracle,traj,JB,R1_gbm_clf,0.0
KITTI,mono,brake,J,R1_mlp_reg,0.0
KITTI,mono,brake,J,R1_mlp_clf,0.0
KITTI,mono,brake,J,R1_gbm_reg,0.0
KITTI,mono,brake,J,R1_gbm_clf,0.0
KITTI,mono,traj,JB,R1_mlp_reg,0.0
KITTI,mono,traj,JB,R1_mlp_clf,0.0
KITTI,mono,traj,JB,R1_gbm_reg,1.1102230246251565e-16
KITTI,mono,traj,JB,R1_gbm_clf,0.0
nuPlan,n/a,pdm_closed,safety,gate_ridge,0.0
nuPlan,n/a,pdm_closed,safety,gate_gbm,0.0
nuPlan,n/a,pdm_closed,safety,R1_mlp_reg,0.0
nuPlan,n/a,pdm_closed,safety,R1_mlp_clf,0.0
nuPlan,n/a,pdm_closed,safety,R1_gbm_reg,0.0
nuPlan,n/a,pdm_closed,safety,R1_gbm_clf,0.0
nuPlan,n/a,pdm_closed,scalar_J,gate_ridge,0.0
nuPlan,n/a,pdm_closed,scalar_J,gate_gbm,0.0
nuPlan,n/a,pdm_closed,scalar_J,R1_mlp_reg,0.0
nuPlan,n/a,pdm_closed,scalar_J,R1_mlp_clf,0.0
nuPlan,n/a,pdm_closed,scalar_J,R1_gbm_reg,0.0
nuPlan,n/a,pdm_closed,scalar_J,R1_gbm_clf,0.0
nuPlan,n/a,idm,safety,gate_ridge,0.0
nuPlan,n/a,idm,safety,gate_gbm,0.0
nuPlan,n/a,idm,safety,R1_mlp_reg,0.0
nuPlan,n/a,idm,safety,R1_mlp_clf,0.0
nuPlan,n/a,idm,safety,R1_gbm_reg,0.0
nuPlan,n/a,idm,safety,R1_gbm_clf,0.0
nuPlan,n/a,idm,scalar_J,gate_ridge,0.0
nuPlan,n/a,idm,scalar_J,gate_gbm,0.0
nuPlan,n/a,idm,scalar_J,R1_mlp_reg,0.0
nuPlan,n/a,idm,scalar_J,R1_mlp_clf,0.0
nuPlan,n/a,idm,scalar_J,R1_gbm_reg,0.0
nuPlan,n/a,idm,scalar_J,R1_gbm_clf,0.0
