track,geometry,system,target,section,objective,signal,tier,n_units,n_frames,n_affected,available,quota,k,coverage,gain,prize,eta,ndg_defined,undefined_reason,pool,n_methods,kendall_tau,kendall_p,argmax_dec,argmax_perc,argmax_differs,eta_dec_of_dec,eta_dec_of_perc,regret_ndg,perc_winner_worse_than_random,cheap_loss_total,e_dec_defined,n_affected_dec,regret_gain,regret_gain_lo,regret_gain_hi,regret_share_cheap,regret_share_lo,regret_share_hi,n_draws,n_draws_kept_under_official_filter,eta_official,abs_diff,matches_to_3dp
nuScenes,oracle,brake,J,score,E_dec,random,1.0,24.0,955.0,62.0,True,0.1,96.0,1.0,2.0964059501329477,50.488453014699864,0.04152248335916676,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,random,1.0,24.0,955.0,62.0,True,0.2,191.0,1.0,4.170974338285344,50.488453014699864,0.08261244085000886,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,random,1.0,24.0,955.0,62.0,True,0.3,286.0,1.0,6.2455427264377406,50.488453014699864,0.12370239834085096,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,random,1.0,24.0,955.0,62.0,True,0.5,478.0,1.0,10.438354626703637,50.488453014699864,0.2067473650591845,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,uncertainty,1.0,24.0,955.0,62.0,True,0.1,96.0,1.0,-7.827452812838006,50.488453014699864,-0.15503451473466656,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,uncertainty,1.0,24.0,955.0,62.0,True,0.2,191.0,1.0,-6.869283501978107,50.488453014699864,-0.13605652563722034,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,uncertainty,1.0,24.0,955.0,62.0,True,0.3,286.0,1.0,9.53335624028823,50.488453014699864,0.18882250635630615,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,uncertainty,1.0,24.0,955.0,62.0,True,0.5,478.0,1.0,6.004004765917913,50.488453014699864,0.11891837454734114,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,criticality_cheap,1.0,24.0,955.0,62.0,True,0.1,96.0,1.0,14.365146876484026,50.488453014699864,0.28452341117089824,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,criticality_cheap,1.0,24.0,955.0,62.0,True,0.2,191.0,1.0,17.2609682231781,50.488453014699864,0.34187952279212275,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,criticality_cheap,1.0,24.0,955.0,62.0,True,0.3,286.0,1.0,18.22600113067056,50.488453014699864,0.36099345577817576,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,criticality_cheap,1.0,24.0,955.0,62.0,True,0.5,478.0,1.0,17.656904276490415,50.488453014699864,0.34972163380307086,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,trivial_ego_speed,1.0,24.0,955.0,62.0,True,0.1,96.0,1.0,10.849600694024522,50.488453014699864,0.2148927140006771,True,,,,,,,,,,,,,,,,,,,,,,,,,,
