signal,stat,shipped,shipped_3dp,margin,max_drift,values_3dp,n_exact_runs,macos,verdict
all_learned,ndg,-0.0890065407450026,-0.089,0.0004934592549974042,0.0001516071109593231,[-0.089],5,stable,safe
all_learned,ndg_lo,-0.14256825957006672,-0.143,6.825957006671501e-05,0.00013425957006671374,"[-0.143, -0.142]",6,-0.142434,not safe
all_learned,ndg_hi,-0.02358294075758015,-0.024,8.29407575801504e-05,0.00043880987135504895,[-0.024],5,stable,fragile
gate_ridge,ndg,-0.08983150284987337,-0.09,0.00033150284987337384,0.0,[-0.09],5,stable,safe
gate_ridge,ndg_lo,-0.22610920763167702,-0.226,0.000390792368322991,0.0,[-0.226],5,,safe
gate_ridge,ndg_hi,0.09729014639635518,0.097,0.00020985360364481664,0.0,[0.097],5,,safe
gate_gbm,ndg,-0.09644935653809486,-0.096,5.064346190513902e-05,0.0,[-0.096],5,stable,safe
gate_gbm,ndg_lo,-0.1947409841374475,-0.195,0.0002409841374474979,0.0,[-0.195],5,,safe
gate_gbm,ndg_hi,0.03536587304859785,0.035,0.00013412695140215192,0.0,[0.035],5,,safe
R1_mlp_reg,ndg,-0.014802508814345795,-0.015,0.0003025088143457939,0.0,[-0.015],5,stable,safe
R1_mlp_reg,ndg_lo,-0.0882179727346445,-0.088,0.00028202726535549513,0.0,[-0.088],5,,safe
R1_mlp_reg,ndg_hi,0.08568056509448034,0.086,0.0001805650944803432,0.0,[0.086],5,,safe
R1_mlp_clf,ndg,-0.09492111229466892,-0.095,0.00042111229466891586,0.0009096426657558554,"[-0.096, -0.095]",5,stable,not safe
R1_mlp_clf,ndg_lo,-0.1764730662342842,-0.176,2.693376571582462e-05,0.00018562765650670388,"[-0.177, -0.176]",5,,not safe
R1_mlp_clf,ndg_hi,-0.015454465864202193,-0.015,4.5534135797806744e-05,0.0012852086643415084,"[-0.017, -0.016]",5,,not safe
R1_gbm_reg,ndg,-0.11399727624794077,-0.114,0.0004972762479407748,0.0,[-0.114],5,stable,safe
R1_gbm_reg,ndg_lo,-0.21819311984937112,-0.218,0.00030688015062887075,0.0,[-0.218],5,,safe
R1_gbm_reg,ndg_hi,-0.02014103077443509,-0.02,0.0003589692255649091,0.0,[-0.02],5,,safe
R1_gbm_clf,ndg,-0.12403748772509189,-0.124,0.0004625122749081072,0.001098512274908106,"[-0.125, -0.124]",6,-0.125136,not safe
R1_gbm_clf,ndg_lo,-0.20716569541595567,-0.207,0.0003343045840443324,0.0,[-0.207],5,,safe
R1_gbm_clf,ndg_hi,-0.04963401514652908,-0.05,0.0001340151465290802,0.0,[-0.05],5,,safe
