signal,stat,shipped,3dp,2dp,1dp,quote_as
all_learned,ndg,-0.0890065407450026,-0.089 safe,-0.09 safe,-0.1 safe,-0.089
all_learned,ndg_lo,-0.14256825957006672,-0.143 not safe,-0.14 safe,-0.1 safe,-0.14
all_learned,ndg_hi,-0.02358294075758015,-0.024 fragile,-0.02 safe,+0.0 safe,-0.02
gate_ridge,ndg,-0.08983150284987337,-0.090 safe,-0.09 safe,-0.1 safe,-0.090
gate_ridge,ndg_lo,-0.22610920763167702,-0.226 safe,-0.23 safe,-0.2 safe,-0.226
gate_ridge,ndg_hi,0.09729014639635518,+0.097 safe,+0.10 safe,+0.1 safe,+0.097
gate_gbm,ndg,-0.09644935653809486,-0.096 safe (class drift 1.1e-03 >= margin 5.1e-05),-0.10 safe,-0.1 safe,-0.10
gate_gbm,ndg_lo,-0.1947409841374475,-0.195 safe (class drift 1.1e-03 >= margin 2.4e-04),-0.19 safe (class drift 1.1e-03 >= margin 2.6e-04),-0.2 safe,-0.2
gate_gbm,ndg_hi,0.03536587304859785,+0.035 safe (class drift 1.1e-03 >= margin 1.3e-04),+0.04 safe (class drift 1.1e-03 >= margin 3.7e-04),+0.0 safe,+0.0
R1_mlp_reg,ndg,-0.014802508814345795,-0.015 safe (class drift 1.3e-03 >= margin 3.0e-04),-0.01 safe (class drift 1.3e-03 >= margin 2.0e-04),+0.0 safe,+0.0
R1_mlp_reg,ndg_lo,-0.0882179727346445,-0.088 safe (class drift 1.3e-03 >= margin 2.8e-04),-0.09 safe,-0.1 safe,-0.09
R1_mlp_reg,ndg_hi,0.08568056509448034,+0.086 safe (class drift 1.3e-03 >= margin 1.8e-04),+0.09 safe (class drift 1.3e-03 >= margin 6.8e-04),+0.1 safe,+0.1
R1_mlp_clf,ndg,-0.09492111229466892,-0.095 not safe,-0.09 not safe,-0.1 safe,-0.1
R1_mlp_clf,ndg_lo,-0.1764730662342842,-0.176 not safe,-0.18 safe,-0.2 safe,-0.18
R1_mlp_clf,ndg_hi,-0.015454465864202193,-0.015 not safe,-0.02 fragile,+0.0 safe,+0.0
R1_gbm_reg,ndg,-0.11399727624794077,-0.114 safe (class drift 1.1e-03 >= margin 5.0e-04),-0.11 safe (class drift 1.1e-03 >= margin 1.0e-03),-0.1 safe,-0.1
R1_gbm_reg,ndg_lo,-0.21819311984937112,-0.218 safe (class drift 1.1e-03 >= margin 3.1e-04),-0.22 safe,-0.2 safe,-0.22
R1_gbm_reg,ndg_hi,-0.02014103077443509,-0.020 safe (class drift 1.1e-03 >= margin 3.6e-04),-0.02 safe,+0.0 safe,-0.02
R1_gbm_clf,ndg,-0.12403748772509189,-0.124 not safe,-0.12 not safe,-0.1 safe,-0.1
R1_gbm_clf,ndg_lo,-0.20716569541595567,-0.207 safe (class drift 1.1e-03 >= margin 3.3e-04),-0.21 safe,-0.2 safe,-0.21
R1_gbm_clf,ndg_hi,-0.04963401514652908,-0.050 safe (class drift 1.1e-03 >= margin 1.3e-04),-0.05 safe,+0.0 safe (class drift 1.1e-03 >= margin 3.7e-04),-0.05
